"PZ","ROG","T3","T4","T5","T6","C3","C4","CZ","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4"
0.05977,0.60625,0.24588,0.02656,0,0.02,0.08635,0.02656,0.08635,0.32557,0.37854,0.07977,0.04666,0.72479,0.18602,0.18602,4.37713,0.02656,0.02656,0.0465,0.04656
0.06006,0.60706,0.24714,0.02669,0,0.01998,0.08681,0.02669,0.08681,0.32728,0.3805,0.08016,0.0466,0.72806,0.187,0.187,4.38269,0.02669,0.02669,0.04665,0.04659
0.06006,0.6055,0.2465,0.02669,0,0.01998,0.08667,0.02669,0.08667,0.32652,0.38022,0.07992,0.04665,0.72574,0.18662,0.18662,4.37163,0.02669,0.02669,0.04675,0.04675
0.05988,0.60743,0.24636,0.02661,0,0.02004,0.08652,0.02661,0.08652,0.3262,0.37928,0.07992,0.04675,0.7262,0.18638,0.18638,4.38567,0.02661,0.02661,0.0466,0.04665
0.06006,0.60707,0.24714,0.02669,0,0.01998,0.08681,0.02669,0.08681,0.32728,0.38051,0.08016,0.0466,0.72806,0.187,0.187,4.38271,0.02669,0.02669,0.04665,0.0466
0.06006,0.6055,0.2465,0.02669,0,0.01998,0.08667,0.02669,0.08667,0.32652,0.38022,0.07992,0.04665,0.72574,0.18662,0.18662,4.37163,0.02669,0.02669,0.04675,0.04675
0.05988,0.60743,0.24636,0.02661,0,0.02004,0.08652,0.02661,0.08652,0.3262,0.37928,0.07992,0.04675,0.7262,0.18638,0.18638,4.38567,0.02661,0.02661,0.0466,0.04665
0.06006,0.60707,0.24714,0.02669,0,0.01998,0.08681,0.02669,0.08681,0.32728,0.38051,0.08016,0.0466,0.72806,0.187,0.187,4.38271,0.02669,0.02669,0.04665,0.0466
0.06006,0.6055,0.2465,0.02669,0,0.01998,0.08667,0.02669,0.08667,0.32652,0.38022,0.07992,0.04665,0.72574,0.18662,0.18662,4.37163,0.02669,0.02669,0.04675,0.04675
0.05988,0.60743,0.24636,0.02661,0,0.02004,0.08652,0.02661,0.08652,0.3262,0.37928,0.07992,0.04675,0.7262,0.18638,0.18638,4.38567,0.02661,0.02661,0.0466,0.04665
0.06006,0.60707,0.24714,0.02669,0,0.01998,0.08681,0.02669,0.08681,0.32728,0.38051,0.08016,0.0466,0.72806,0.187,0.187,4.38271,0.02669,0.02669,0.04665,0.0466
0.06006,0.6055,0.2465,0.02669,0,0.01998,0.08667,0.02669,0.08667,0.32652,0.38022,0.07992,0.04665,0.72574,0.18662,0.18662,4.37163,0.02669,0.02669,0.04675,0.04675
0.05988,0.60743,0.24636,0.02661,0,0.02004,0.08652,0.02661,0.08652,0.3262,0.37928,0.07992,0.04675,0.7262,0.18638,0.18638,4.38567,0.02661,0.02661,0.0466,0.04665
0.06006,0.60707,0.24714,0.02669,0,0.01998,0.08681,0.02669,0.08681,0.32728,0.38051,0.08016,0.0466,0.72806,0.187,0.187,4.38271,0.02669,0.02669,0.04665,0.0466
0.06006,0.6055,0.2465,0.02669,0,0.01998,0.08667,0.02669,0.08667,0.32652,0.38022,0.07992,0.04665,0.72574,0.18662,0.18662,4.37163,0.02669,0.02669,0.04675,0.04675
0.05988,0.60743,0.24636,0.02661,0,0.02004,0.08652,0.02661,0.08652,0.3262,0.37928,0.07992,0.04675,0.7262,0.18638,0.18638,4.38567,0.02661,0.02661,0.0466,0.04665
