"PZ","ROG","T3","T4","T5","T6","C3","C4","CZ","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4"
0.37947,0,0.32588,0.13977,0.12635,0.48602,0.34602,1.57947,0.2865,0.28625,2.1626,0.88479,9.60906,0.13977,0.41906,0.18,1.04588,0.13977,0.23977,0.34602,0.53947
0.38051,0,0.32728,0.13975,0.12691,0.4873,0.34724,1.58021,0.28681,0.28706,2.16292,0.88823,9.65449,0.14021,0.41935,0.17982,1.04743,0.14021,0.24023,0.34724,0.54053
0.37928,0,0.32621,0.14021,0.1265,0.48574,0.34607,1.57723,0.28613,0.28613,2.17024,0.88525,9.65755,0.13975,0.42076,0.17982,1.04464,0.13975,0.23953,0.34607,0.53895
0.38021,0,0.32652,0.14004,0.12659,0.48696,0.34669,1.58255,0.28706,0.28681,2.16684,0.88651,9.62792,0.14004,0.41988,0.18035,1.04792,0.14004,0.24023,0.34669,0.54053
0.38051,0,0.32728,0.13975,0.12691,0.4873,0.34724,1.58022,0.28681,0.28706,2.16292,0.88824,9.65453,0.14021,0.41936,0.17982,1.04744,0.14021,0.24023,0.34724,0.54053
0.37928,0,0.32621,0.14021,0.1265,0.48574,0.34607,1.57723,0.28613,0.28613,2.17024,0.88525,9.65755,0.13975,0.42076,0.17982,1.04464,0.13975,0.23953,0.34607,0.53895
0.38021,0,0.32652,0.14004,0.12659,0.48696,0.34669,1.58255,0.28706,0.28681,2.16684,0.88651,9.62792,0.14004,0.41988,0.18035,1.04792,0.14004,0.24023,0.34669,0.54053
0.38051,0,0.32728,0.13975,0.12691,0.4873,0.34724,1.58022,0.28681,0.28706,2.16292,0.88824,9.65453,0.14021,0.41936,0.17982,1.04744,0.14021,0.24023,0.34724,0.54053
0.37928,0,0.32621,0.14021,0.1265,0.48574,0.34607,1.57723,0.28613,0.28613,2.17024,0.88525,9.65755,0.13975,0.42076,0.17982,1.04464,0.13975,0.23953,0.34607,0.53895
0.38021,0,0.32652,0.14004,0.12659,0.48696,0.34669,1.58255,0.28706,0.28681,2.16684,0.88651,9.62792,0.14004,0.41988,0.18035,1.04792,0.14004,0.24023,0.34669,0.54053
0.38051,0,0.32728,0.13975,0.12691,0.4873,0.34724,1.58022,0.28681,0.28706,2.16292,0.88824,9.65453,0.14021,0.41936,0.17982,1.04744,0.14021,0.24023,0.34724,0.54053
0.37928,0,0.32621,0.14021,0.1265,0.48574,0.34607,1.57723,0.28613,0.28613,2.17024,0.88525,9.65755,0.13975,0.42076,0.17982,1.04464,0.13975,0.23953,0.34607,0.53895
0.38021,0,0.32652,0.14004,0.12659,0.48696,0.34669,1.58255,0.28706,0.28681,2.16684,0.88651,9.62792,0.14004,0.41988,0.18035,1.04792,0.14004,0.24023,0.34669,0.54053
0.38051,0,0.32728,0.13975,0.12691,0.4873,0.34724,1.58022,0.28681,0.28706,2.16292,0.88824,9.65453,0.14021,0.41936,0.17982,1.04744,0.14021,0.24023,0.34724,0.54053
0.37928,0,0.32621,0.14021,0.1265,0.48574,0.34607,1.57723,0.28613,0.28613,2.17024,0.88525,9.65755,0.13975,0.42076,0.17982,1.04464,0.13975,0.23953,0.34607,0.53895
0.38021,0,0.32652,0.14004,0.12659,0.48696,0.34669,1.58255,0.28706,0.28681,2.16684,0.88651,9.62792,0.14004,0.41988,0.18035,1.04792,0.14004,0.24023,0.34669,0.54053
0.38051,0,0.32728,0.13975,0.12691,0.4873,0.34724,1.58022,0.28681,0.28706,2.16292,0.88824,9.65453,0.14021,0.41936,0.17982,1.04744,0.14021,0.24023,0.34724,0.54053
0.37928,0,0.32621,0.14021,0.1265,0.48574,0.34607,1.57723,0.28613,0.28613,2.17024,0.88525,9.65755,0.13975,0.42076,0.17982,1.04464,0.13975,0.23953,0.34607,0.53895
0.38021,0,0.32652,0.14004,0.12659,0.48696,0.34669,1.58255,0.28706,0.28681,2.16684,0.88651,9.62792,0.14004,0.41988,0.18035,1.04792,0.14004,0.24023,0.34669,0.54053
0.38051,0,0.32728,0.13975,0.12691,0.4873,0.34724,1.58022,0.28681,0.28706,2.16292,0.88824,9.65453,0.14021,0.41936,0.17982,1.04744,0.14021,0.24023,0.34724,0.54053
0.37928,0,0.32621,0.14021,0.1265,0.48574,0.34607,1.57723,0.28613,0.28613,2.17024,0.88525,9.65755,0.13975,0.42076,0.17982,1.04464,0.13975,0.23953,0.34607,0.53895
0.38021,0,0.32652,0.14004,0.12659,0.48696,0.34669,1.58255,0.28706,0.28681,2.16684,0.88651,9.62792,0.14004,0.41988,0.18035,1.04792,0.14004,0.24023,0.34669,0.54053
0.38051,0,0.32728,0.13975,0.12691,0.4873,0.34724,1.58022,0.28681,0.28706,2.16292,0.88824,9.65453,0.14021,0.41936,0.17982,1.04744,0.14021,0.24023,0.34724,0.54053
0.37928,0,0.32621,0.14021,0.1265,0.48574,0.34607,1.57723,0.28613,0.28613,2.17024,0.88525,9.65755,0.13975,0.42076,0.17982,1.04464,0.13975,0.23953,0.34607,0.53895
0.38021,0,0.32652,0.14004,0.12659,0.48696,0.34669,1.58255,0.28706,0.28681,2.16684,0.88651,9.62792,0.14004,0.41988,0.18035,1.04792,0.14004,0.24023,0.34669,0.54053
0.38051,0,0.32728,0.13975,0.12691,0.4873,0.34724,1.58022,0.28681,0.28706,2.16292,0.88824,9.65453,0.14021,0.41936,0.17982,1.04744,0.14021,0.24023,0.34724,0.54053
0.37928,0,0.32621,0.14021,0.1265,0.48574,0.34607,1.57723,0.28613,0.28613,2.17024,0.88525,9.65755,0.13975,0.42076,0.17982,1.04464,0.13975,0.23953,0.34607,0.53895
0.38021,0,0.32652,0.14004,0.12659,0.48696,0.34669,1.58255,0.28706,0.28681,2.16684,0.88651,9.62792,0.14004,0.41988,0.18035,1.04792,0.14004,0.24023,0.34669,0.54053
0.38051,0,0.32728,0.13975,0.12691,0.4873,0.34724,1.58022,0.28681,0.28706,2.16292,0.88824,9.65453,0.14021,0.41936,0.17982,1.04744,0.14021,0.24023,0.34724,0.54053
0.37928,0,0.32621,0.14021,0.1265,0.48574,0.34607,1.57723,0.28613,0.28613,2.17024,0.88525,9.65755,0.13975,0.42076,0.17982,1.04464,0.13975,0.23953,0.34607,0.53895
0.38021,0,0.32652,0.14004,0.12659,0.48696,0.34669,1.58255,0.28706,0.28681,2.16684,0.88651,9.62792,0.14004,0.41988,0.18035,1.04792,0.14004,0.24023,0.34669,0.54053
