"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.83168,0.89268,0.01677,0.84091,0.95494,0.45798,0.53135,0.72065,0.91369,0.87144,-0.04115,0.84872,0.93396,0.33867,0.8117,0.83581,0.33283,0.41967,0.81679,0.19224,0.78867
"C4",0.83168,1,0.96927,0.05382,0.75274,0.92828,0.66375,0.59025,0.71776,0.75897,0.94272,0.04317,0.91259,0.91051,0.13362,0.96106,0.9568,0.52915,0.65029,0.91659,0.5363,0.94254
"CZ",0.89268,0.96927,1,0.02794,0.77586,0.95253,0.59972,0.56226,0.70966,0.80258,0.96677,-0.01429,0.90362,0.92485,0.19572,0.92344,0.94653,0.45651,0.57716,0.88528,0.42519,0.89238
"EMG",0.01677,0.05382,0.02794,1,-0.09325,0.03965,0.32644,0.22818,0.04067,-0.01558,0.05276,-0.05439,0.0297,-0.0263,0.06951,0.0055,0.00675,0.03478,0.31512,0.12274,0.2125,0.04404
"F3",0.84091,0.75274,0.77586,-0.09325,1,0.83853,0.3762,0.38955,0.70206,0.815,0.74019,-0.06074,0.79358,0.85451,0.18814,0.75994,0.7546,0.37509,0.35255,0.7599,0.20973,0.77423
"F4",0.95494,0.92828,0.95253,0.03965,0.83853,1,0.60931,0.60728,0.7853,0.90944,0.95122,0.02676,0.90416,0.96325,0.23936,0.89333,0.89855,0.48427,0.55523,0.91477,0.32853,0.88541
"F7",0.45798,0.66375,0.59972,0.32644,0.3762,0.60931,1,0.76646,0.51142,0.45013,0.61977,0.2136,0.6637,0.60156,0.01181,0.65936,0.63407,0.62702,0.91822,0.79873,0.64287,0.71371
"F8",0.53135,0.59025,0.56226,0.22818,0.38955,0.60728,0.76646,1,0.47548,0.49509,0.58394,0.07163,0.58758,0.57606,0.04919,0.5631,0.54649,0.41455,0.76468,0.69527,0.48564,0.60665
"FP1",0.72065,0.71776,0.70966,0.04067,0.70206,0.7853,0.51142,0.47548,1,0.89478,0.74889,0.21711,0.74932,0.76513,0.1571,0.70843,0.70846,0.46622,0.45712,0.7045,0.41251,0.74489
"FP2",0.91369,0.75897,0.80258,-0.01558,0.815,0.90944,0.45013,0.49509,0.89478,1,0.81459,0.14578,0.79388,0.88225,0.27378,0.74799,0.76484,0.42951,0.37782,0.77218,0.17826,0.74197
"FZ",0.87144,0.94272,0.96677,0.05276,0.74019,0.95122,0.61977,0.58394,0.74889,0.81459,1,0.02405,0.87675,0.89868,0.18059,0.88213,0.89623,0.47676,0.56764,0.8711,0.4034,0.86762
"LOG",-0.04115,0.04317,-0.01429,-0.05439,-0.06074,0.02676,0.2136,0.07163,0.21711,0.14578,0.02405,1,0.06316,0.05091,-0.1195,0.09114,0.07153,0.46272,0.07786,0.06476,0.07239,0.05915
"O1",0.84872,0.91259,0.90362,0.0297,0.79358,0.90416,0.6637,0.58758,0.74932,0.79388,0.87675,0.06316,1,0.96187,0.17152,0.95518,0.95898,0.51307,0.65886,0.90073,0.58487,0.95439
"O2",0.93396,0.91051,0.92485,-0.0263,0.85451,0.96325,0.60156,0.57606,0.76513,0.88225,0.89868,0.05091,0.96187,1,0.21425,0.93403,0.93731,0.49324,0.56377,0.90976,0.39079,0.92529
"P3",0.33867,0.13362,0.19572,0.06951,0.18814,0.23936,0.01181,0.04919,0.1571,0.27378,0.18059,-0.1195,0.17152,0.21425,1,0.1165,0.16662,-0.11527,0.05752,0.11541,-0.01777,0.1019
"P4",0.8117,0.96106,0.92344,0.0055,0.75994,0.89333,0.65936,0.5631,0.70843,0.74799,0.88213,0.09114,0.95518,0.93403,0.1165,1,0.97785,0.55589,0.64908,0.913,0.57359,0.96844
"PZ",0.83581,0.9568,0.94653,0.00675,0.7546,0.89855,0.63407,0.54649,0.70846,0.76484,0.89623,0.07153,0.95898,0.93731,0.16662,0.97785,1,0.51282,0.62891,0.89292,0.5615,0.94336
"ROG",0.33283,0.52915,0.45651,0.03478,0.37509,0.48427,0.62702,0.41455,0.46622,0.42951,0.47676,0.46272,0.51307,0.49324,-0.11527,0.55589,0.51282,1,0.54472,0.65318,0.37862,0.5753
"T3",0.41967,0.65029,0.57716,0.31512,0.35255,0.55523,0.91822,0.76468,0.45712,0.37782,0.56764,0.07786,0.65886,0.56377,0.05752,0.64908,0.62891,0.54472,1,0.76382,0.76222,0.70658
"T4",0.81679,0.91659,0.88528,0.12274,0.7599,0.91477,0.79873,0.69527,0.7045,0.77218,0.8711,0.06476,0.90073,0.90976,0.11541,0.913,0.89292,0.65318,0.76382,1,0.50893,0.9341
"T5",0.19224,0.5363,0.42519,0.2125,0.20973,0.32853,0.64287,0.48564,0.41251,0.17826,0.4034,0.07239,0.58487,0.39079,-0.01777,0.57359,0.5615,0.37862,0.76222,0.50893,1,0.63811
"T6",0.78867,0.94254,0.89238,0.04404,0.77423,0.88541,0.71371,0.60665,0.74489,0.74197,0.86762,0.05915,0.95439,0.92529,0.1019,0.96844,0.94336,0.5753,0.70658,0.9341,0.63811,1
