"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T5","T6"
"C3",1,0.77482,0.95367,0.36123,0.81439,0.66399,0.56634,0.4472,0.46067,0.42462,0.85481,0.40199,0.77136,0.56038,0.89673,0.81384,0.90684,0.36755,0.60696,0.60159,0.46092
"C4",0.77482,1,0.79379,0.25411,0.84761,0.74533,0.65999,0.56129,0.62345,0.54846,0.83166,0.51329,0.65769,0.65045,0.72192,0.83155,0.7626,0.36259,0.72091,0.72833,0.70693
"CZ",0.95367,0.79379,1,0.32981,0.78463,0.68818,0.63373,0.46316,0.5358,0.47862,0.87206,0.44014,0.80199,0.55917,0.88515,0.83844,0.93759,0.3916,0.5699,0.57827,0.43518
"EMG",0.36123,0.25411,0.32981,1,0.21231,0.14339,-0.01381,0.03343,-0.0589,-0.05694,0.22323,-0.02893,0.19692,0.08063,0.40175,0.25204,0.34021,-0.03446,0.20529,0.21501,0.11638
"F3",0.81439,0.84761,0.78463,0.21231,1,0.74495,0.68925,0.53466,0.66918,0.58003,0.92132,0.48758,0.60404,0.51985,0.67669,0.69922,0.7125,0.33222,0.8244,0.71356,0.53276
"F4",0.66399,0.74533,0.68818,0.14339,0.74495,1,0.62007,0.92214,0.60334,0.8218,0.87328,0.49215,0.58767,0.52076,0.60617,0.64889,0.64003,0.39517,0.50574,0.50582,0.49047
"F7",0.56634,0.65999,0.63373,-0.01381,0.68925,0.62007,1,0.55567,0.95558,0.77136,0.66278,0.81449,0.69379,0.58535,0.58557,0.69318,0.67318,0.57933,0.58386,0.55283,0.5
"F8",0.4472,0.56129,0.46316,0.03343,0.53466,0.92214,0.55567,1,0.55953,0.87508,0.66645,0.52483,0.45233,0.44489,0.42673,0.49497,0.45272,0.45098,0.34045,0.35341,0.4188
"FP1",0.46067,0.62345,0.5358,-0.0589,0.66918,0.60334,0.95558,0.55953,1,0.8273,0.61896,0.75336,0.6162,0.5296,0.50056,0.62113,0.58553,0.49187,0.61055,0.57313,0.47187
"FP2",0.42462,0.54846,0.47862,-0.05694,0.58003,0.8218,0.77136,0.87508,0.8273,1,0.6411,0.63652,0.53691,0.44848,0.45158,0.53248,0.50953,0.53726,0.45336,0.4387,0.38048
"FZ",0.85481,0.83166,0.87206,0.22323,0.92132,0.87328,0.66278,0.66645,0.61896,0.6411,1,0.47268,0.67811,0.544,0.73928,0.74105,0.78309,0.3626,0.66064,0.61892,0.49802
"LOG",0.40199,0.51329,0.44014,-0.02893,0.48758,0.49215,0.81449,0.52483,0.75336,0.63652,0.47268,1,0.49412,0.44243,0.39683,0.52031,0.47013,0.71122,0.38583,0.33261,0.41337
"O1",0.77136,0.65769,0.80199,0.19692,0.60404,0.58767,0.69379,0.45233,0.6162,0.53691,0.67811,0.49412,1,0.79424,0.90707,0.88549,0.90643,0.41024,0.48507,0.66488,0.60523
"O2",0.56038,0.65045,0.55917,0.08063,0.51985,0.52076,0.58535,0.44489,0.5296,0.44848,0.544,0.44243,0.79424,1,0.67154,0.78819,0.65295,0.27632,0.45008,0.70729,0.8884
"P3",0.89673,0.72192,0.88515,0.40175,0.67669,0.60617,0.58557,0.42673,0.50056,0.45158,0.73928,0.39683,0.90707,0.67154,1,0.87813,0.94852,0.35954,0.53873,0.67688,0.54729
"P4",0.81384,0.83155,0.83844,0.25204,0.69922,0.64889,0.69318,0.49497,0.62113,0.53248,0.74105,0.52031,0.88549,0.78819,0.87813,1,0.92454,0.40441,0.52702,0.64466,0.72534
"PZ",0.90684,0.7626,0.93759,0.34021,0.7125,0.64003,0.67318,0.45272,0.58553,0.50953,0.78309,0.47013,0.90643,0.65295,0.94852,0.92454,1,0.40289,0.53256,0.60586,0.51295
"ROG",0.36755,0.36259,0.3916,-0.03446,0.33222,0.39517,0.57933,0.45098,0.49187,0.53726,0.3626,0.71122,0.41024,0.27632,0.35954,0.40441,0.40289,1,0.26942,0.22915,0.22058
"T3",0.60696,0.72091,0.5699,0.20529,0.8244,0.50574,0.58386,0.34045,0.61055,0.45336,0.66064,0.38583,0.48507,0.45008,0.53873,0.52702,0.53256,0.26942,1,0.85499,0.49079
"T5",0.60159,0.72833,0.57827,0.21501,0.71356,0.50582,0.55283,0.35341,0.57313,0.4387,0.61892,0.33261,0.66488,0.70729,0.67688,0.64466,0.60586,0.22915,0.85499,1,0.71048
"T6",0.46092,0.70693,0.43518,0.11638,0.53276,0.49047,0.5,0.4188,0.47187,0.38048,0.49802,0.41337,0.60523,0.8884,0.54729,0.72534,0.51295,0.22058,0.49079,0.71048,1
