"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.51299,0.89373,-0.07064,0.59843,0.63683,0.24727,0.46719,0.63996,0.56022,0.86619,0.11403,0.56932,0.37528,0.74471,0.62833,0.58228,0.60053,0.73738,0.84727,0.65903,0.80463
"C4",0.51299,1,0.41242,-0.01706,0.69948,0.37218,0.38187,0.86257,0.56329,0.46543,0.50225,0.09514,0.2017,0.1138,0.30507,0.23393,0.21609,0.34268,0.625,0.51531,0.54751,0.52295
"CZ",0.89373,0.41242,1,-0.01934,0.43964,0.5299,0.1309,0.29315,0.47477,0.45228,0.87972,0.13302,0.54968,0.41436,0.72371,0.63562,0.59199,0.57759,0.51944,0.89526,0.4979,0.66482
"EMG",-0.07064,-0.01706,-0.01934,1,-0.09948,-0.03552,-0.14035,-0.07114,-0.05547,-0.04057,-0.01867,-0.02276,-0.05863,-0.04705,-0.06029,-0.033,-0.03746,-0.07575,-0.1037,-0.07409,-0.1109,-0.07512
"F3",0.59843,0.69948,0.43964,-0.09948,1,0.49047,0.72758,0.82888,0.85692,0.60633,0.61731,0.13581,0.10933,0.0465,0.21191,0.13312,0.10732,0.24904,0.79253,0.39243,0.43365,0.5226
"F4",0.63683,0.37218,0.5299,-0.03552,0.49047,1,0.23374,0.31144,0.62673,0.92715,0.66813,0.12856,0.27181,0.13612,0.27586,0.2171,0.20158,0.38081,0.53294,0.4699,0.36965,0.72499
"F7",0.24727,0.38187,0.1309,-0.14035,0.72758,0.23374,1,0.48899,0.39176,0.23693,0.17497,0.1569,-0.09446,-0.02622,-0.02304,-0.05956,-0.07262,0.07985,0.6311,0.13653,0.25573,0.33932
"F8",0.46719,0.86257,0.29315,-0.07114,0.82888,0.31144,0.48899,1,0.69173,0.44664,0.45261,0.00871,0.11753,-0.00398,0.16218,0.0865,0.07088,0.14633,0.71816,0.32878,0.52531,0.46875
"FP1",0.63996,0.56329,0.47477,-0.05547,0.85692,0.62673,0.39176,0.69173,1,0.74431,0.68011,0.10815,0.14019,0.04237,0.22963,0.15688,0.11979,0.22841,0.68669,0.37226,0.38449,0.56079
"FP2",0.56022,0.46543,0.45228,-0.04057,0.60633,0.92715,0.23693,0.44664,0.74431,1,0.64885,0.07447,0.22845,0.11689,0.22902,0.18117,0.17917,0.26324,0.46559,0.38153,0.27003,0.57576
"FZ",0.86619,0.50225,0.87972,-0.01867,0.61731,0.66813,0.17497,0.45261,0.68011,0.64885,1,0.11322,0.44591,0.30502,0.55478,0.45693,0.42053,0.51549,0.60597,0.7384,0.47259,0.67784
"LOG",0.11403,0.09514,0.13302,-0.02276,0.13581,0.12856,0.1569,0.00871,0.10815,0.07447,0.11322,1,0.09137,0.12449,0.09299,0.04844,0.10405,0.19004,0.22552,0.1278,0.3799,0.08845
"O1",0.56932,0.2017,0.54968,-0.05863,0.10933,0.27181,-0.09446,0.11753,0.14019,0.22845,0.44591,0.09137,1,0.77194,0.83622,0.87886,0.89918,0.4711,0.28355,0.5566,0.61808,0.50389
"O2",0.37528,0.1138,0.41436,-0.04705,0.0465,0.13612,-0.02622,-0.00398,0.04237,0.11689,0.30502,0.12449,0.77194,1,0.64019,0.71072,0.75014,0.33573,0.14562,0.40072,0.39277,0.37646
"P3",0.74471,0.30507,0.72371,-0.06029,0.21191,0.27586,-0.02304,0.16218,0.22963,0.22902,0.55478,0.09299,0.83622,0.64019,1,0.93517,0.94019,0.59328,0.38859,0.7794,0.5862,0.48639
"P4",0.62833,0.23393,0.63562,-0.033,0.13312,0.2171,-0.05956,0.0865,0.15688,0.18117,0.45693,0.04844,0.87886,0.71072,0.93517,1,0.97615,0.50499,0.28656,0.67989,0.55043,0.46695
"PZ",0.58228,0.21609,0.59199,-0.03746,0.10732,0.20158,-0.07262,0.07088,0.11979,0.17917,0.42053,0.10405,0.89918,0.75014,0.94019,0.97615,1,0.45648,0.25474,0.6217,0.56051,0.40971
"ROG",0.60053,0.34268,0.57759,-0.07575,0.24904,0.38081,0.07985,0.14633,0.22841,0.26324,0.51549,0.19004,0.4711,0.33573,0.59328,0.50499,0.45648,1,0.406,0.71997,0.38657,0.4962
"T3",0.73738,0.625,0.51944,-0.1037,0.79253,0.53294,0.6311,0.71816,0.68669,0.46559,0.60597,0.22552,0.28355,0.14562,0.38859,0.28656,0.25474,0.406,1,0.51567,0.73876,0.77753
"T4",0.84727,0.51531,0.89526,-0.07409,0.39243,0.4699,0.13653,0.32878,0.37226,0.38153,0.7384,0.1278,0.5566,0.40072,0.7794,0.67989,0.6217,0.71997,0.51567,1,0.51413,0.62009
"T5",0.65903,0.54751,0.4979,-0.1109,0.43365,0.36965,0.25573,0.52531,0.38449,0.27003,0.47259,0.3799,0.61808,0.39277,0.5862,0.55043,0.56051,0.38657,0.73876,0.51413,1,0.72425
"T6",0.80463,0.52295,0.66482,-0.07512,0.5226,0.72499,0.33932,0.46875,0.56079,0.57576,0.67784,0.08845,0.50389,0.37646,0.48639,0.46695,0.40971,0.4962,0.77753,0.62009,0.72425,1
