"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.99504,0.99389,0.90206,0.01525,0.1084,0.01608,0.04811,-0.02208,0.01631,0.04986,0.22471,0.98754,0.9823,0.04948,-0.01853,0.99736,0.47869,0.98493,0.99059,0.97784,0.95187
"C4",0.99504,1,0.9938,0.91065,0.01072,0.12952,0.01105,0.06149,-0.01577,0.01186,0.06461,0.23392,0.98497,0.98147,0.04942,-0.02158,0.99607,0.47948,0.97937,0.99309,0.97306,0.96432
"CZ",0.99389,0.9938,1,0.89955,0.01054,0.11404,0.01108,0.05199,-0.01768,0.01162,0.0543,0.21835,0.98379,0.9785,0.05129,-0.03127,0.99608,0.47073,0.97158,0.98662,0.97259,0.95213
"EMG",0.90206,0.91065,0.89955,1,0.01086,0.20345,0.01108,0.0845,-0.00946,0.01185,0.0986,0.24978,0.90004,0.90385,0.08581,-0.04815,0.90191,0.43505,0.91464,0.92956,0.90041,0.94097
"F3",0.01525,0.01072,0.01054,0.01086,1,0.0146,0.99355,0.0177,-0.6319,0.99391,0.01601,0.00483,0.01445,0.00868,-0.00529,-0.00819,0.01149,0.01763,0.01313,0.01213,0.00828,0.00851
"F4",0.1084,0.12952,0.11404,0.20345,0.0146,1,0.0137,0.91676,0.0012,0.01721,0.92897,0.06449,0.11531,0.123,0.06595,-0.04487,0.1147,0.05389,0.11449,0.13181,0.12047,0.17025
"F7",0.01608,0.01105,0.01108,0.01108,0.99355,0.0137,1,0.01681,-0.70408,0.99429,0.01527,0.00549,0.01512,0.00877,-0.00374,-0.00553,0.01197,0.01932,0.0137,0.01232,0.00852,0.00873
"F8",0.04811,0.06149,0.05199,0.0845,0.0177,0.91676,0.01681,1,0.00206,0.02002,0.99371,0.01336,0.05342,0.05743,0.04316,-0.03317,0.05374,0.01778,0.04855,0.05475,0.05462,0.06099
"FP1",-0.02208,-0.01577,-0.01768,-0.00946,-0.6319,0.0012,-0.70408,0.00206,1,-0.65207,-0.00098,0.00211,-0.02034,-0.01385,-0.00243,-0.01062,-0.01741,-0.02061,-0.01832,-0.0165,-0.01428,-0.01202
"FP2",0.01631,0.01186,0.01162,0.01185,0.99391,0.01721,0.99429,0.02002,-0.65207,1,0.0184,0.01,0.01533,0.00904,-0.00445,-0.00658,0.01258,0.0225,0.01375,0.01299,0.00856,0.01046
"FZ",0.04986,0.06461,0.0543,0.0986,0.01601,0.92897,0.01527,0.99371,-0.00098,0.0184,1,0.01582,0.05241,0.05664,0.05132,-0.02574,0.05538,0.0159,0.05348,0.05862,0.05447,0.06949
"LOG",0.22471,0.23392,0.21835,0.24978,0.00483,0.06449,0.00549,0.01336,0.00211,0.01,0.01582,1,0.21577,0.22044,-0.05184,-0.02793,0.2289,0.91106,0.24328,0.25396,0.21569,0.28713
"O1",0.98754,0.98497,0.98379,0.90004,0.01445,0.11531,0.01512,0.05342,-0.02034,0.01533,0.05241,0.21577,1,0.9932,0.05653,-0.02465,0.99044,0.46793,0.97607,0.98491,0.98582,0.95108
"O2",0.9823,0.98147,0.9785,0.90385,0.00868,0.123,0.00877,0.05743,-0.01385,0.00904,0.05664,0.22044,0.9932,1,0.05216,-0.02706,0.9853,0.46636,0.97618,0.98616,0.99176,0.94941
"P3",0.04948,0.04942,0.05129,0.08581,-0.00529,0.06595,-0.00374,0.04316,-0.00243,-0.00445,0.05132,-0.05184,0.05653,0.05216,1,0.0112,0.05019,-0.05262,0.04112,0.04248,0.05328,0.05898
"P4",-0.01853,-0.02158,-0.03127,-0.04815,-0.00819,-0.04487,-0.00553,-0.03317,-0.01062,-0.00658,-0.02574,-0.02793,-0.02465,-0.02706,0.0112,1,-0.0254,-0.01867,1e-04,-0.02582,-0.02824,-0.03392
"PZ",0.99736,0.99607,0.99608,0.90191,0.01149,0.1147,0.01197,0.05374,-0.01741,0.01258,0.05538,0.2289,0.99044,0.9853,0.05019,-0.0254,1,0.48259,0.98122,0.99116,0.97902,0.95445
"ROG",0.47869,0.47948,0.47073,0.43505,0.01763,0.05389,0.01932,0.01778,-0.02061,0.0225,0.0159,0.91106,0.46793,0.46636,-0.05262,-0.01867,0.48259,1,0.48237,0.48892,0.46099,0.47851
"T3",0.98493,0.97937,0.97158,0.91464,0.01313,0.11449,0.0137,0.04855,-0.01832,0.01375,0.05348,0.24328,0.97607,0.97618,0.04112,1e-04,0.98122,0.48237,1,0.98584,0.97657,0.94386
"T4",0.99059,0.99309,0.98662,0.92956,0.01213,0.13181,0.01232,0.05475,-0.0165,0.01299,0.05862,0.25396,0.98491,0.98616,0.04248,-0.02582,0.99116,0.48892,0.98584,1,0.97945,0.97208
"T5",0.97784,0.97306,0.97259,0.90041,0.00828,0.12047,0.00852,0.05462,-0.01428,0.00856,0.05447,0.21569,0.98582,0.99176,0.05328,-0.02824,0.97902,0.46099,0.97657,0.97945,1,0.93331
"T6",0.95187,0.96432,0.95213,0.94097,0.00851,0.17025,0.00873,0.06099,-0.01202,0.01046,0.06949,0.28713,0.95108,0.94941,0.05898,-0.03392,0.95445,0.47851,0.94386,0.97208,0.93331,1
