"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.93873,0.87567,0.51719,0.92038,0.90736,0.87871,0.86917,0.53142,0.78588,0.89526,0.37526,0.88942,0.79765,0.95297,0.9087,0.95149,0.331,0.7352,-0.19014,0.80445,0.90575
"C4",0.93873,1,0.88588,0.60312,0.92826,0.93998,0.85425,0.90057,0.60988,0.8541,0.91995,0.40863,0.81246,0.86116,0.90489,0.94157,0.95322,0.3715,0.59034,-0.19363,0.68191,0.91682
"CZ",0.87567,0.88588,1,0.4879,0.84423,0.84391,0.71711,0.7637,0.55062,0.70603,0.82086,0.32656,0.71055,0.72769,0.81035,0.81741,0.86189,0.2962,0.52193,-0.21883,0.60381,0.76031
"EMG",0.51719,0.60312,0.4879,1,0.58046,0.59382,0.61005,0.67223,0.68631,0.72675,0.584,0.29496,0.30857,0.74108,0.45593,0.65144,0.57342,0.38424,0.143,-0.1571,0.16189,0.6129
"F3",0.92038,0.92826,0.84423,0.58046,1,0.94666,0.84353,0.8925,0.61051,0.87063,0.96424,0.47993,0.80511,0.84035,0.8919,0.91233,0.91813,0.40814,0.55943,-0.18588,0.67012,0.89459
"F4",0.90736,0.93998,0.84391,0.59382,0.94666,1,0.84749,0.93446,0.632,0.89991,0.96552,0.47483,0.79804,0.85496,0.88725,0.92885,0.92458,0.43868,0.55986,-0.1931,0.6593,0.91318
"F7",0.87871,0.85425,0.71711,0.61005,0.84353,0.84749,1,0.8799,0.62836,0.83359,0.82345,0.38001,0.75709,0.84464,0.82987,0.86552,0.86117,0.39026,0.69665,-0.16743,0.68403,0.87819
"F8",0.86917,0.90057,0.7637,0.67223,0.8925,0.93446,0.8799,1,0.70592,0.90916,0.90565,0.44882,0.75264,0.89238,0.85416,0.92697,0.90233,0.45241,0.52309,-0.19481,0.6107,0.91026
"FP1",0.53142,0.60988,0.55062,0.68631,0.61051,0.632,0.62836,0.70592,1,0.7562,0.60679,0.36246,0.3274,0.77082,0.52463,0.67994,0.5989,0.40211,0.13915,-0.17672,0.1548,0.64163
"FP2",0.78588,0.8541,0.70603,0.72675,0.87063,0.89991,0.83359,0.90916,0.7562,1,0.90007,0.48619,0.60456,0.90507,0.74973,0.88953,0.83892,0.46521,0.3509,-0.19494,0.42131,0.87595
"FZ",0.89526,0.91995,0.82086,0.584,0.96424,0.96552,0.82345,0.90565,0.60679,0.90007,1,0.49978,0.77724,0.83652,0.86671,0.9032,0.9028,0.43193,0.52657,-0.1884,0.6301,0.89849
"LOG",0.37526,0.40863,0.32656,0.29496,0.47993,0.47483,0.38001,0.44882,0.36246,0.48619,0.49978,1,0.28724,0.40104,0.3575,0.40869,0.40252,0.86102,0.15662,-0.10041,0.20083,0.40526
"O1",0.88942,0.81246,0.71055,0.30857,0.80511,0.79804,0.75709,0.75264,0.3274,0.60456,0.77724,0.28724,1,0.63385,0.94424,0.79603,0.85315,0.23085,0.799,-0.13788,0.94647,0.82471
"O2",0.79765,0.86116,0.72769,0.74108,0.84035,0.85496,0.84464,0.89238,0.77082,0.90507,0.83652,0.40104,0.63385,1,0.7675,0.94348,0.87316,0.43484,0.39194,-0.19167,0.45363,0.90946
"P3",0.95297,0.90489,0.81035,0.45593,0.8919,0.88725,0.82987,0.85416,0.52463,0.74973,0.86671,0.3575,0.94424,0.7675,1,0.89253,0.93386,0.31643,0.72893,-0.17121,0.84471,0.90358
"P4",0.9087,0.94157,0.81741,0.65144,0.91233,0.92885,0.86552,0.92697,0.67994,0.88953,0.9032,0.40869,0.79603,0.94348,0.89253,1,0.95621,0.41161,0.53274,-0.19606,0.6372,0.95376
"PZ",0.95149,0.95322,0.86189,0.57342,0.91813,0.92458,0.86117,0.90233,0.5989,0.83892,0.9028,0.40252,0.85315,0.87316,0.93386,0.95621,1,0.37983,0.6106,-0.20216,0.72555,0.92711
"ROG",0.331,0.3715,0.2962,0.38424,0.40814,0.43868,0.39026,0.45241,0.40211,0.46521,0.43193,0.86102,0.23085,0.43484,0.31643,0.41161,0.37983,1,0.11666,-0.11318,0.13884,0.40048
"T3",0.7352,0.59034,0.52193,0.143,0.55943,0.55986,0.69665,0.52309,0.13915,0.3509,0.52657,0.15662,0.799,0.39194,0.72893,0.53274,0.6106,0.11666,1,-0.07047,0.90446,0.60475
"T4",-0.19014,-0.19363,-0.21883,-0.1571,-0.18588,-0.1931,-0.16743,-0.19481,-0.17672,-0.19494,-0.1884,-0.10041,-0.13788,-0.19167,-0.17121,-0.19606,-0.20216,-0.11318,-0.07047,1,-0.085,-0.18237
"T5",0.80445,0.68191,0.60381,0.16189,0.67012,0.6593,0.68403,0.6107,0.1548,0.42131,0.6301,0.20083,0.94647,0.45363,0.84471,0.6372,0.72555,0.13884,0.90446,-0.085,1,0.67885
"T6",0.90575,0.91682,0.76031,0.6129,0.89459,0.91318,0.87819,0.91026,0.64163,0.87595,0.89849,0.40526,0.82471,0.90946,0.90358,0.95376,0.92711,0.40048,0.60475,-0.18237,0.67885,1
