"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.77977,0.88962,0.11335,0.03613,0.04761,0.02061,0.02058,0.06939,0.01916,0.08611,0.33506,0.50832,0.41065,0.62114,0.03218,0.70791,0.26826,0.69752,0.57465,0.62063,0.30261
"C4",0.77977,1,0.87914,0.09694,0.02171,0.0414,0.01362,0.02622,0.05888,0.02565,0.08156,0.26048,0.46897,0.53487,0.57224,0.05591,0.73471,0.20307,0.51498,0.78184,0.5007,0.40265
"CZ",0.88962,0.87914,1,0.09136,0.0413,0.04184,0.02442,0.01806,0.04667,-0.00379,0.09152,0.2757,0.45257,0.41261,0.55795,0.02162,0.71377,0.21214,0.56522,0.58154,0.51637,0.29366
"EMG",0.11335,0.09694,0.09136,1,-0.02503,-0.02463,-0.02209,-0.02361,-0.02551,-0.02718,-0.04041,0.29416,0.03619,0.08013,0.05508,-0.01682,0.07581,0.30127,0.08556,0.08369,0.05211,0.05593
"F3",0.03613,0.02171,0.0413,-0.02503,1,0.41574,0.61124,0.35896,0.44539,0.36074,0.49512,0.0014,-0.00801,-0.02011,-0.01848,-0.00395,-0.00784,-0.00103,0.03142,0.03823,0.02481,0.00672
"F4",0.04761,0.0414,0.04184,-0.02463,0.41574,1,0.56712,0.92901,0.43451,0.79286,0.77706,0.02153,-0.0237,-0.01754,-0.02345,0.02916,-0.01151,0.01842,0.02112,0.06495,0.02763,-0.00704
"F7",0.02061,0.01362,0.02442,-0.02209,0.61124,0.56712,1,0.55976,0.59536,0.54632,0.63932,-3e-04,-0.01501,-0.02871,-0.02409,0.00771,-0.02557,0.00424,0.05561,0.04613,0.02715,0.00575
"F8",0.02058,0.02622,0.01806,-0.02361,0.35896,0.92901,0.55976,1,0.42773,0.80636,0.6902,0.00671,-0.0179,-0.01143,-0.02762,0.02303,-0.01989,0.00847,-0.00392,0.04599,0.01213,-0.006
"FP1",0.06939,0.05888,0.04667,-0.02551,0.44539,0.43451,0.59536,0.42773,1,0.57206,0.46848,0.06281,-0.01563,-0.01103,-0.00405,0.01649,0.01412,0.10312,0.03771,0.06332,0.03975,0.00242
"FP2",0.01916,0.02565,-0.00379,-0.02718,0.36074,0.79286,0.54632,0.80636,0.57206,1,0.62491,0.01195,-0.03008,-0.00732,-0.02566,0.03115,-0.01835,0.01289,-0.01106,0.04513,-8e-05,-0.00903
"FZ",0.08611,0.08156,0.09152,-0.04041,0.49512,0.77706,0.63932,0.6902,0.46848,0.62491,1,0.01249,0.00193,-0.02281,-0.00682,0.04383,-0.00414,0.00743,0.06398,0.1072,0.06429,-0.00824
"LOG",0.33506,0.26048,0.2757,0.29416,0.0014,0.02153,-3e-04,0.00671,0.06281,0.01195,0.01249,1,0.14481,0.17113,0.1625,-0.01596,0.19233,0.96544,0.24187,0.28198,0.15783,0.14944
"O1",0.50832,0.46897,0.45257,0.03619,-0.00801,-0.0237,-0.01501,-0.0179,-0.01563,-0.03008,0.00193,0.14481,1,0.72476,0.8677,0.06685,0.73855,0.08631,0.41802,0.41209,0.8093,0.44734
"O2",0.41065,0.53487,0.41261,0.08013,-0.02011,-0.01754,-0.02871,-0.01143,-0.01103,-0.00732,-0.02281,0.17113,0.72476,1,0.70436,0.11367,0.73173,0.11723,0.30156,0.517,0.53407,0.70918
"P3",0.62114,0.57224,0.55795,0.05508,-0.01848,-0.02345,-0.02409,-0.02762,-0.00405,-0.02566,-0.00682,0.1625,0.8677,0.70436,1,0.12022,0.92291,0.10984,0.45239,0.45386,0.78171,0.42646
"P4",0.03218,0.05591,0.02162,-0.01682,-0.00395,0.02916,0.00771,0.02303,0.01649,0.03115,0.04383,-0.01596,0.06685,0.11367,0.12022,1,0.14911,-0.00557,0.00874,0.06947,0.06476,0.07059
"PZ",0.70791,0.73471,0.71377,0.07581,-0.00784,-0.01151,-0.02557,-0.01989,0.01412,-0.01835,-0.00414,0.19233,0.73855,0.73173,0.92291,0.14911,1,0.13741,0.45721,0.53756,0.67227,0.45288
"ROG",0.26826,0.20307,0.21214,0.30127,-0.00103,0.01842,0.00424,0.00847,0.10312,0.01289,0.00743,0.96544,0.08631,0.11723,0.10984,-0.00557,0.13741,1,0.1668,0.21919,0.10514,0.10647
"T3",0.69752,0.51498,0.56522,0.08556,0.03142,0.02112,0.05561,-0.00392,0.03771,-0.01106,0.06398,0.24187,0.41802,0.30156,0.45239,0.00874,0.45721,0.1668,1,0.50348,0.59047,0.23617
"T4",0.57465,0.78184,0.58154,0.08369,0.03823,0.06495,0.04613,0.04599,0.06332,0.04513,0.1072,0.28198,0.41209,0.517,0.45386,0.06947,0.53756,0.21919,0.50348,1,0.46048,0.52308
"T5",0.62063,0.5007,0.51637,0.05211,0.02481,0.02763,0.02715,0.01213,0.03975,-8e-05,0.06429,0.15783,0.8093,0.53407,0.78171,0.06476,0.67227,0.10514,0.59047,0.46048,1,0.40123
"T6",0.30261,0.40265,0.29366,0.05593,0.00672,-0.00704,0.00575,-0.006,0.00242,-0.00903,-0.00824,0.14944,0.44734,0.70918,0.42646,0.07059,0.45288,0.10647,0.23617,0.52308,0.40123,1
