"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.97015,0.99427,0.9181,0.7825,0.97999,0.61722,0.98411,0.4346,0.42798,0.80923,0.31629,0.98793,0.98703,0.9955,0.99017,0.99363,0.57114,0.94036,0.9726,0.98923,0.97914
"C4",0.97015,1,0.98206,0.87563,0.65887,0.96879,0.47626,0.98597,0.27109,0.28028,0.71157,0.18071,0.98532,0.9826,0.9758,0.98916,0.97897,0.48875,0.88391,0.94047,0.97882,0.99779
"CZ",0.99427,0.98206,1,0.89742,0.73417,0.97317,0.5579,0.9835,0.37691,0.38174,0.78224,0.26146,0.98814,0.98615,0.99295,0.99501,0.99609,0.54976,0.91602,0.95982,0.98644,0.98657
"EMG",0.9181,0.87563,0.89742,1,0.8813,0.95319,0.79144,0.93168,0.54446,0.48039,0.78861,0.51373,0.92641,0.93491,0.90519,0.8996,0.90198,0.58606,0.97626,0.9763,0.93062,0.89946
"F3",0.7825,0.65887,0.73417,0.8813,1,0.81886,0.96154,0.77217,0.83714,0.75788,0.87788,0.72716,0.75881,0.77522,0.7509,0.72488,0.74249,0.69632,0.92234,0.8625,0.78196,0.70093
"F4",0.97999,0.96879,0.97317,0.95319,0.81886,1,0.67709,0.9958,0.45649,0.42911,0.79846,0.37844,0.99,0.99402,0.97467,0.97792,0.97425,0.57682,0.97044,0.98966,0.99099,0.98097
"F7",0.61722,0.47626,0.5579,0.79144,0.96154,0.67709,1,0.61257,0.83477,0.71065,0.75045,0.8257,0.59931,0.6206,0.58041,0.54898,0.57034,0.62046,0.82983,0.73099,0.61989,0.52662
"F8",0.98411,0.98597,0.9835,0.93168,0.77217,0.9958,0.61257,1,0.40772,0.39672,0.78415,0.31202,0.99478,0.99659,0.98247,0.98915,0.98322,0.56281,0.94649,0.98087,0.9942,0.99349
"FP1",0.4346,0.27109,0.37691,0.54446,0.83714,0.45649,0.83477,0.40772,1,0.97148,0.83608,0.70119,0.38198,0.40117,0.39271,0.35793,0.38542,0.7273,0.59805,0.53015,0.41982,0.31781
"FP2",0.42798,0.28028,0.38174,0.48039,0.75788,0.42911,0.71065,0.39672,0.97148,1,0.85703,0.56889,0.36874,0.38433,0.39056,0.36081,0.38688,0.75318,0.53437,0.49811,0.4079,0.31907
"FZ",0.80923,0.71157,0.78224,0.78861,0.87788,0.79846,0.75045,0.78415,0.83608,0.85703,1,0.4967,0.76968,0.77732,0.7836,0.76614,0.78234,0.78107,0.83326,0.83527,0.79197,0.73755
"LOG",0.31629,0.18071,0.26146,0.51373,0.72716,0.37844,0.8257,0.31202,0.70119,0.56889,0.4967,1,0.30247,0.32291,0.28073,0.25028,0.27523,0.62248,0.54393,0.43218,0.31689,0.22903
"O1",0.98793,0.98532,0.98814,0.92641,0.75881,0.99,0.59931,0.99478,0.38198,0.36874,0.76968,0.30247,1,0.99805,0.98904,0.99265,0.98976,0.5428,0.94091,0.97528,0.99448,0.99279
"O2",0.98703,0.9826,0.98615,0.93491,0.77522,0.99402,0.6206,0.99659,0.40117,0.38433,0.77732,0.32291,0.99805,1,0.98589,0.99132,0.98767,0.55327,0.95021,0.98072,0.99466,0.99173
"P3",0.9955,0.9758,0.99295,0.90519,0.7509,0.97467,0.58041,0.98247,0.39271,0.39056,0.7836,0.28073,0.98904,0.98589,1,0.99252,0.99542,0.54788,0.92514,0.96364,0.98871,0.98265
"P4",0.99017,0.98916,0.99501,0.8996,0.72488,0.97792,0.54898,0.98915,0.35793,0.36081,0.76614,0.25028,0.99265,0.99132,0.99252,1,0.9962,0.53594,0.9157,0.96179,0.98958,0.99378
"PZ",0.99363,0.97897,0.99609,0.90198,0.74249,0.97425,0.57034,0.98322,0.38542,0.38688,0.78234,0.27523,0.98976,0.98767,0.99542,0.9962,1,0.55241,0.92064,0.96207,0.98681,0.98523
"ROG",0.57114,0.48875,0.54976,0.58606,0.69632,0.57682,0.62046,0.56281,0.7273,0.75318,0.78107,0.62248,0.5428,0.55327,0.54788,0.53594,0.55241,1,0.61865,0.61096,0.55926,0.51376
"T3",0.94036,0.88391,0.91602,0.97626,0.92234,0.97044,0.82983,0.94649,0.59805,0.53437,0.83326,0.54393,0.94091,0.95021,0.92514,0.9157,0.92064,0.61865,1,0.98166,0.94769,0.90938
"T4",0.9726,0.94047,0.95982,0.9763,0.8625,0.98966,0.73099,0.98087,0.53015,0.49811,0.83527,0.43218,0.97528,0.98072,0.96364,0.96179,0.96207,0.61096,0.98166,1,0.98044,0.95835
"T5",0.98923,0.97882,0.98644,0.93062,0.78196,0.99099,0.61989,0.9942,0.41982,0.4079,0.79197,0.31689,0.99448,0.99466,0.98871,0.98958,0.98681,0.55926,0.94769,0.98044,1,0.98818
"T6",0.97914,0.99779,0.98657,0.89946,0.70093,0.98097,0.52662,0.99349,0.31781,0.31907,0.73755,0.22903,0.99279,0.99173,0.98265,0.99378,0.98523,0.51376,0.90938,0.95835,0.98818,1
