"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.97892,0.98239,0.08883,0.95928,0.98166,0.91529,0.97874,0.58872,0.56606,0.98282,0.01811,0.98708,0.98318,0.99365,0.98079,0.98334,0.01794,0.96886,0.94213,0.97901,0.97871
"C4",0.97892,1,0.99873,0.02772,0.93834,0.99917,0.88919,0.98128,0.57021,0.53044,0.99831,0.01831,0.99162,0.99613,0.9895,0.9997,0.99804,0.01693,0.9097,0.94947,0.93771,0.98965
"CZ",0.98239,0.99873,1,0.0511,0.93993,0.99743,0.89528,0.97661,0.58272,0.54292,0.99986,0.01851,0.99592,0.99859,0.99374,0.99927,0.99977,0.01772,0.92094,0.94016,0.94572,0.99393
"EMG",0.08883,0.02772,0.0511,1,0.08833,0.03476,0.1441,0.04443,0.17644,0.21585,0.05635,0.01112,0.10847,0.05594,0.10325,0.03164,0.05564,0.02239,0.18639,-0.00306,0.22251,0.0493
"F3",0.95928,0.93834,0.93993,0.08833,1,0.94114,0.87782,0.94131,0.53471,0.56106,0.94051,0.02187,0.94319,0.93966,0.9499,0.93949,0.94055,0.02094,0.92909,0.91409,0.93803,0.93428
"F4",0.98166,0.99917,0.99743,0.03476,0.94114,1,0.89248,0.98773,0.58778,0.54033,0.99696,0.02022,0.9914,0.99425,0.99021,0.99856,0.99666,0.01881,0.91202,0.95576,0.9434,0.98612
"F7",0.91529,0.88919,0.89528,0.1441,0.87782,0.89248,1,0.89004,0.61956,0.60083,0.89616,0.12674,0.90588,0.89721,0.91096,0.89157,0.89681,0.12794,0.90316,0.85112,0.91285,0.89467
"F8",0.97874,0.98128,0.97661,0.04443,0.94131,0.98773,0.89004,1,0.59566,0.54347,0.97564,0.03759,0.97316,0.9712,0.97703,0.97958,0.97559,0.03605,0.90695,0.97361,0.94816,0.95636
"FP1",0.58872,0.57021,0.58272,0.17644,0.53471,0.58778,0.61956,0.59566,1,0.648,0.58348,0.03415,0.61162,0.58642,0.60458,0.57137,0.58399,0.03439,0.57255,0.51893,0.62712,0.58238
"FP2",0.56606,0.53044,0.54292,0.21585,0.56106,0.54033,0.60083,0.54347,0.648,1,0.54512,0.02033,0.57432,0.5444,0.56966,0.53221,0.54496,0.0244,0.55564,0.48936,0.61256,0.54041
"FZ",0.98282,0.99831,0.99986,0.05635,0.94051,0.99696,0.89616,0.97564,0.58348,0.54512,1,0.01878,0.99604,0.99856,0.99384,0.99891,0.99957,0.01817,0.92313,0.93879,0.94697,0.99421
"LOG",0.01811,0.01831,0.01851,0.01112,0.02187,0.02022,0.12674,0.03759,0.03415,0.02033,0.01878,1,0.02228,0.01892,0.01918,0.01815,0.01853,0.9975,0.04889,0.02651,0.02422,0.01895
"O1",0.98708,0.99162,0.99592,0.10847,0.94319,0.9914,0.90588,0.97316,0.61162,0.57432,0.99604,0.02228,1,0.99687,0.99843,0.99333,0.99698,0.02272,0.93871,0.9308,0.96401,0.9928
"O2",0.98318,0.99613,0.99859,0.05594,0.93966,0.99425,0.89721,0.9712,0.58642,0.5444,0.99856,0.01892,0.99687,1,0.99496,0.9978,0.99911,0.01833,0.92873,0.93454,0.95069,0.99781
"P3",0.99365,0.9895,0.99374,0.10325,0.9499,0.99021,0.91096,0.97703,0.60458,0.56966,0.99384,0.01918,0.99843,0.99496,1,0.99149,0.99496,0.0196,0.95103,0.93587,0.97269,0.99088
"P4",0.98079,0.9997,0.99927,0.03164,0.93949,0.99856,0.89157,0.97958,0.57137,0.53221,0.99891,0.01815,0.99333,0.9978,0.99149,1,0.99891,0.01692,0.91506,0.94724,0.94151,0.99255
"PZ",0.98334,0.99804,0.99977,0.05564,0.94055,0.99666,0.89681,0.97559,0.58399,0.54496,0.99957,0.01853,0.99698,0.99911,0.99496,0.99891,1,0.01785,0.92426,0.93844,0.94833,0.99488
"ROG",0.01794,0.01693,0.01772,0.02239,0.02094,0.01881,0.12794,0.03605,0.03439,0.0244,0.01817,0.9975,0.02272,0.01833,0.0196,0.01692,0.01785,1,0.05076,0.02296,0.02688,0.01835
"T3",0.96886,0.9097,0.92094,0.18639,0.92909,0.91202,0.90316,0.90695,0.57255,0.55564,0.92313,0.04889,0.93871,0.92873,0.95103,0.91506,0.92426,0.05076,1,0.86205,0.97595,0.93337
"T4",0.94213,0.94947,0.94016,-0.00306,0.91409,0.95576,0.85112,0.97361,0.51893,0.48936,0.93879,0.02651,0.9308,0.93454,0.93587,0.94724,0.93844,0.02296,0.86205,1,0.90402,0.9188
"T5",0.97901,0.93771,0.94572,0.22251,0.93803,0.9434,0.91285,0.94816,0.62712,0.61256,0.94697,0.02422,0.96401,0.95069,0.97269,0.94151,0.94833,0.02688,0.97595,0.90402,1,0.94729
"T6",0.97871,0.98965,0.99393,0.0493,0.93428,0.98612,0.89467,0.95636,0.58238,0.54041,0.99421,0.01895,0.9928,0.99781,0.99088,0.99255,0.99488,0.01835,0.93337,0.9188,0.94729,1
