"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.97313,0.98326,-0.01074,-0.01561,0.92898,0.69114,0.86557,0.17673,0.51446,0.95299,0.34814,0.95696,0.96243,0.62954,0.96626,0.97459,0.022,0.71879,0.93328,0.94894,0.95371
"C4",0.97313,1,0.97849,-0.00239,-0.01482,0.91606,0.65836,0.87846,0.13848,0.49668,0.92246,0.33522,0.98057,0.98842,0.5306,0.99264,0.98071,0.01122,0.71338,0.96626,0.98305,0.98819
"CZ",0.98326,0.97849,1,-0.00648,-0.01953,0.91432,0.65211,0.84134,0.14091,0.49753,0.95351,0.34112,0.96121,0.96707,0.62264,0.97155,0.98535,0.01537,0.67329,0.92299,0.95224,0.95679
"EMG",-0.01074,-0.00239,-0.00648,1,-0.00872,-0.01188,-0.01956,-0.01323,-0.01668,-0.01756,-0.01849,-0.02199,-0.00909,-0.00611,0.00152,-0.00298,-0.00149,-0.01344,-0.00567,-0.00764,-0.00413,-0.00662
"F3",-0.01561,-0.01482,-0.01953,-0.00872,1,-0.02991,-0.01649,-0.01378,-0.02038,-0.02663,-0.02924,0.0078,-0.01207,-0.00638,-0.0546,-0.00803,-0.01478,-0.00931,-0.00969,-0.00914,-0.00225,-0.00819
"F4",0.92898,0.91606,0.91432,-0.01188,-0.02991,1,0.77216,0.90968,0.28411,0.55192,0.94032,0.37503,0.88576,0.88787,0.59595,0.89196,0.90053,0.06634,0.79726,0.90759,0.86536,0.87978
"F7",0.69114,0.65836,0.65211,-0.01956,-0.01649,0.77216,1,0.87177,0.75977,0.83983,0.6932,0.74327,0.63311,0.6317,0.42372,0.63589,0.64142,0.51127,0.75669,0.70834,0.61757,0.63223
"F8",0.86557,0.87846,0.84134,-0.01323,-0.01378,0.90968,0.87177,1,0.44762,0.65636,0.81421,0.48476,0.85857,0.86394,0.42785,0.86522,0.84605,0.23322,0.90462,0.94239,0.86385,0.87116
"FP1",0.17673,0.13848,0.14091,-0.01668,-0.02038,0.28411,0.75977,0.44762,1,0.85606,0.23392,0.80572,0.11789,0.10996,0.1431,0.11511,0.12754,0.76877,0.34394,0.19258,0.10145,0.11379
"FP2",0.51446,0.49668,0.49753,-0.01756,-0.02663,0.55192,0.83983,0.65636,0.85606,1,0.56742,0.83907,0.48277,0.47746,0.31115,0.48288,0.48627,0.69373,0.41086,0.48599,0.46982,0.47894
"FZ",0.95299,0.92246,0.95351,-0.01849,-0.02924,0.94032,0.6932,0.81421,0.23392,0.56742,1,0.37488,0.89554,0.89949,0.637,0.90469,0.92389,0.06034,0.64456,0.85719,0.87549,0.88485
"LOG",0.34814,0.33522,0.34112,-0.02199,0.0078,0.37503,0.74327,0.48476,0.80572,0.83907,0.37488,1,0.33884,0.32436,0.23663,0.32976,0.33826,0.81417,0.23617,0.31478,0.31585,0.32598
"O1",0.95696,0.98057,0.96121,-0.00909,-0.01207,0.88576,0.63311,0.85857,0.11789,0.48277,0.89554,0.33884,1,0.99228,0.53813,0.9888,0.97692,0.01378,0.68359,0.95227,0.98357,0.98627
"O2",0.96243,0.98842,0.96707,-0.00611,-0.00638,0.88787,0.6317,0.86394,0.10996,0.47746,0.89949,0.32436,0.99228,1,0.49961,0.99749,0.9801,-0.00272,0.69462,0.96248,0.9935,0.99496
"P3",0.62954,0.5306,0.62264,0.00152,-0.0546,0.59595,0.42372,0.42785,0.1431,0.31115,0.637,0.23663,0.53813,0.49961,1,0.51012,0.6258,0.02735,0.36016,0.43601,0.44385,0.46014
"P4",0.96626,0.99264,0.97155,-0.00298,-0.00803,0.89196,0.63589,0.86522,0.11511,0.48288,0.90469,0.32976,0.9888,0.99749,0.51012,1,0.98401,0.0026,0.69378,0.96297,0.99314,0.99572
"PZ",0.97459,0.98071,0.98535,-0.00149,-0.01478,0.90053,0.64142,0.84605,0.12754,0.48627,0.92389,0.33826,0.97692,0.9801,0.6258,0.98401,1,0.00915,0.6782,0.9348,0.96589,0.96936
"ROG",0.022,0.01122,0.01537,-0.01344,-0.00931,0.06634,0.51127,0.23322,0.76877,0.69373,0.06034,0.81417,0.01378,-0.00272,0.02735,0.0026,0.00915,1,0.01346,0.00865,-0.00175,0.00394
"T3",0.71879,0.71338,0.67329,-0.00567,-0.00969,0.79726,0.75669,0.90462,0.34394,0.41086,0.64456,0.23617,0.68359,0.69462,0.36016,0.69378,0.6782,0.01346,1,0.84369,0.69492,0.70133
"T4",0.93328,0.96626,0.92299,-0.00764,-0.00914,0.90759,0.70834,0.94239,0.19258,0.48599,0.85719,0.31478,0.95227,0.96248,0.43601,0.96297,0.9348,0.00865,0.84369,1,0.96644,0.97092
"T5",0.94894,0.98305,0.95224,-0.00413,-0.00225,0.86536,0.61757,0.86385,0.10145,0.46982,0.87549,0.31585,0.98357,0.9935,0.44385,0.99314,0.96589,-0.00175,0.69492,0.96644,1,0.99635
"T6",0.95371,0.98819,0.95679,-0.00662,-0.00819,0.87978,0.63223,0.87116,0.11379,0.47894,0.88485,0.32598,0.98627,0.99496,0.46014,0.99572,0.96936,0.00394,0.70133,0.97092,0.99635,1
