"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.83407,0.87598,0.18419,0.59469,0.43546,0.59761,0.53789,0.21395,0.31525,0.86673,0.18538,0.67353,0.73702,0.95569,0.84117,0.91671,0.20221,0.61433,0.6072,0.52175,0.73746
"C4",0.83407,1,0.84366,0.09768,0.51217,0.45938,0.50869,0.55811,0.2079,0.31717,0.78728,0.18416,0.58496,0.75647,0.82731,0.93144,0.86762,0.20312,0.50786,0.6199,0.4067,0.75263
"CZ",0.87598,0.84366,1,0.12766,0.4177,0.42855,0.40485,0.47345,0.14097,0.26041,0.91283,0.1372,0.57984,0.69841,0.83328,0.8688,0.92116,0.19374,0.3884,0.48853,0.37153,0.66135
"EMG",0.18419,0.09768,0.12766,1,0.14079,0.12289,0.17971,0.16882,0.00076,0.1349,0.13443,0.04953,0.24799,0.10662,0.19914,0.08761,0.15946,0.03205,0.19466,0.19045,0.24792,0.10909
"F3",0.59469,0.51217,0.4177,0.14079,1,0.56543,0.84894,0.50453,0.76854,0.54249,0.52654,0.3326,0.33689,0.48533,0.50957,0.42841,0.4218,0.2442,0.68934,0.62552,0.3237,0.53161
"F4",0.43546,0.45938,0.42855,0.12289,0.56543,1,0.3882,0.52198,0.4928,0.81663,0.44714,0.25076,0.24951,0.38115,0.37544,0.3814,0.38497,0.20096,0.23393,0.69407,0.15391,0.438
"F7",0.59761,0.50869,0.40485,0.17971,0.84894,0.3882,1,0.65727,0.54873,0.51165,0.56147,0.43849,0.34562,0.57274,0.54687,0.44736,0.43623,0.41309,0.80731,0.66611,0.33769,0.66255
"F8",0.53789,0.55811,0.47345,0.16882,0.50453,0.52198,0.65727,1,0.3709,0.72711,0.52564,0.5752,0.45149,0.59737,0.52933,0.48504,0.4939,0.55543,0.50876,0.75438,0.38568,0.67624
"FP1",0.21395,0.2079,0.14097,0.00076,0.76854,0.4928,0.54873,0.3709,1,0.63148,0.18105,0.49599,0.10205,0.18915,0.15413,0.13249,0.12032,0.44093,0.20415,0.33613,0.09198,0.21902
"FP2",0.31525,0.31717,0.26041,0.1349,0.54249,0.81663,0.51165,0.72711,0.63148,1,0.3078,0.59645,0.23479,0.3546,0.26697,0.23174,0.2359,0.51739,0.28486,0.69177,0.19907,0.42481
"FZ",0.86673,0.78728,0.91283,0.13443,0.52654,0.44714,0.56147,0.52564,0.18105,0.3078,1,0.14574,0.55929,0.71688,0.80908,0.81159,0.8391,0.20919,0.50412,0.54431,0.39407,0.72751
"LOG",0.18538,0.18416,0.1372,0.04953,0.3326,0.25076,0.43849,0.5752,0.49599,0.59645,0.14574,1,0.15485,0.25622,0.16832,0.12879,0.12209,0.92561,0.25341,0.35221,0.14295,0.2544
"O1",0.67353,0.58496,0.57984,0.24799,0.33689,0.24951,0.34562,0.45149,0.10205,0.23479,0.55929,0.15485,1,0.63739,0.71697,0.59112,0.69842,0.15682,0.3899,0.44931,0.93254,0.52453
"O2",0.73702,0.75647,0.69841,0.10662,0.48533,0.38115,0.57274,0.59737,0.18915,0.3546,0.71688,0.25622,0.63739,1,0.75482,0.8213,0.75942,0.28038,0.54154,0.59312,0.45341,0.87454
"P3",0.95569,0.82731,0.83328,0.19914,0.50957,0.37544,0.54687,0.52933,0.15413,0.26697,0.80908,0.16832,0.71697,0.75482,1,0.85944,0.93629,0.19205,0.59395,0.59063,0.55296,0.75546
"P4",0.84117,0.93144,0.8688,0.08761,0.42841,0.3814,0.44736,0.48504,0.13249,0.23174,0.81159,0.12879,0.59112,0.8213,0.85944,1,0.92061,0.18127,0.45347,0.56012,0.38729,0.80955
"PZ",0.91671,0.86762,0.92116,0.15946,0.4218,0.38497,0.43623,0.4939,0.12032,0.2359,0.8391,0.12209,0.69842,0.75942,0.93629,0.92061,1,0.17184,0.44867,0.51573,0.48791,0.72158
"ROG",0.20221,0.20312,0.19374,0.03205,0.2442,0.20096,0.41309,0.55543,0.44093,0.51739,0.20919,0.92561,0.15682,0.28038,0.19205,0.18127,0.17184,1,0.10581,0.27764,0.09782,0.29281
"T3",0.61433,0.50786,0.3884,0.19466,0.68934,0.23393,0.80731,0.50876,0.20415,0.28486,0.50412,0.25341,0.3899,0.54154,0.59395,0.45347,0.44867,0.10581,1,0.66632,0.43502,0.58404
"T4",0.6072,0.6199,0.48853,0.19045,0.62552,0.69407,0.66611,0.75438,0.33613,0.69177,0.54431,0.35221,0.44931,0.59312,0.59063,0.56012,0.51573,0.27764,0.66632,1,0.41992,0.71714
"T5",0.52175,0.4067,0.37153,0.24792,0.3237,0.15391,0.33769,0.38568,0.09198,0.19907,0.39407,0.14295,0.93254,0.45341,0.55296,0.38729,0.48791,0.09782,0.43502,0.41992,1,0.37932
"T6",0.73746,0.75263,0.66135,0.10909,0.53161,0.438,0.66255,0.67624,0.21902,0.42481,0.72751,0.2544,0.52453,0.87454,0.75546,0.80955,0.72158,0.29281,0.58404,0.71714,0.37932,1
