"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.65566,0.92789,-0.00117,0.2355,0.17182,0.72518,0.12837,0.09095,0.02929,0.50378,0.00681,0.80037,0.51613,0.97637,0.64442,0.83327,0.05934,0.975,0.3631,0.85991,0.35372
"C4",0.65566,1,0.87098,0.03498,0.36457,0.57976,0.66102,0.6233,0.36478,0.29487,0.7635,0.13842,0.77578,0.74445,0.7546,0.93781,0.91846,0.27299,0.66877,0.82556,0.70296,0.69158
"CZ",0.92789,0.87098,1,0.01918,0.30476,0.37055,0.75084,0.35588,0.21686,0.15463,0.67955,0.07315,0.84792,0.63867,0.95951,0.82561,0.94754,0.16207,0.91751,0.58927,0.86041,0.50872
"EMG",-0.00117,0.03498,0.01918,1,0.00268,0.02812,0.00991,0.02426,0.01378,0.01348,0.04248,0.00577,0.01482,0.01348,0.00962,0.0223,0.0218,0.00755,0.00094,0.04668,0.01206,0.01349
"F3",0.2355,0.36457,0.30476,0.00268,1,0.70018,0.74524,0.50201,0.83963,0.23144,0.3794,0.06335,0.21918,0.21759,0.25037,0.25967,0.25604,0.05134,0.25164,0.49435,0.21049,0.19865
"F4",0.17182,0.57976,0.37055,0.02812,0.70018,1,0.56923,0.8678,0.86558,0.73143,0.7991,0.50439,0.27294,0.31521,0.23671,0.42362,0.35561,0.31538,0.19784,0.63672,0.21752,0.32093
"F7",0.72518,0.66102,0.75084,0.00991,0.74524,0.56923,1,0.49129,0.65683,0.23168,0.56967,0.11321,0.65588,0.45962,0.73474,0.57021,0.67657,0.13044,0.76023,0.62258,0.66287,0.34564
"F8",0.12837,0.6233,0.35588,0.02426,0.50201,0.8678,0.49129,1,0.77044,0.70964,0.76497,0.49019,0.23839,0.27069,0.20538,0.43229,0.3517,0.41208,0.15298,0.76947,0.1838,0.28899
"FP1",0.09095,0.36478,0.21686,0.01378,0.83963,0.86558,0.65683,0.77044,1,0.66863,0.60379,0.45876,0.13957,0.17847,0.12421,0.22546,0.18031,0.2182,0.12132,0.50646,0.10729,0.18205
"FP2",0.02929,0.29487,0.15463,0.01348,0.23144,0.73143,0.23168,0.70964,0.66863,1,0.73978,0.84037,0.10733,0.17878,0.06472,0.20774,0.14469,0.3244,0.03953,0.2506,0.0628,0.19165
"FZ",0.50378,0.7635,0.67955,0.04248,0.3794,0.7991,0.56967,0.76497,0.60379,0.73978,1,0.56539,0.54413,0.48519,0.566,0.64434,0.64778,0.35916,0.50907,0.58728,0.51294,0.43395
"LOG",0.00681,0.13842,0.07315,0.00577,0.06335,0.50439,0.11321,0.49019,0.45876,0.84037,0.56539,1,0.0131,0.01705,0.0152,0.05444,0.04041,0.35177,0.00965,0.0906,0.00958,0.01646
"O1",0.80037,0.77578,0.84792,0.01482,0.21918,0.27294,0.65588,0.23839,0.13957,0.10733,0.54413,0.0131,1,0.80612,0.87284,0.84024,0.90439,0.15614,0.82571,0.5008,0.91078,0.67795
"O2",0.51613,0.74445,0.63867,0.01348,0.21759,0.31521,0.45962,0.27069,0.17847,0.17878,0.48519,0.01705,0.80612,1,0.60798,0.90796,0.78889,0.12143,0.53819,0.49245,0.61956,0.97337
"P3",0.97637,0.7546,0.95951,0.00962,0.25037,0.23671,0.73474,0.20538,0.12421,0.06472,0.566,0.0152,0.87284,0.60798,1,0.74878,0.90509,0.10533,0.95772,0.47105,0.93477,0.46041
"P4",0.64442,0.93781,0.82561,0.0223,0.25967,0.42362,0.57021,0.43229,0.22546,0.20774,0.64434,0.05444,0.84024,0.90796,0.74878,1,0.93926,0.20193,0.65876,0.68695,0.72241,0.86353
"PZ",0.83327,0.91846,0.94754,0.0218,0.25604,0.35561,0.67657,0.3517,0.18031,0.14469,0.64778,0.04041,0.90439,0.78889,0.90509,0.93926,1,0.18296,0.83605,0.62231,0.85134,0.68241
"ROG",0.05934,0.27299,0.16207,0.00755,0.05134,0.31538,0.13044,0.41208,0.2182,0.3244,0.35916,0.35177,0.15614,0.12143,0.10533,0.20193,0.18296,1,0.0609,0.27853,0.12686,0.11507
"T3",0.975,0.66877,0.91751,0.00094,0.25164,0.19784,0.76023,0.15298,0.12132,0.03953,0.50907,0.00965,0.82571,0.53819,0.95772,0.65876,0.83605,0.0609,1,0.40345,0.8555,0.37545
"T4",0.3631,0.82556,0.58927,0.04668,0.49435,0.63672,0.62258,0.76947,0.50646,0.2506,0.58728,0.0906,0.5008,0.49245,0.47105,0.68695,0.62231,0.27853,0.40345,1,0.45813,0.49345
"T5",0.85991,0.70296,0.86041,0.01206,0.21049,0.21752,0.66287,0.1838,0.10729,0.0628,0.51294,0.00958,0.91078,0.61956,0.93477,0.72241,0.85134,0.12686,0.8555,0.45813,1,0.48512
"T6",0.35372,0.69158,0.50872,0.01349,0.19865,0.32093,0.34564,0.28899,0.18205,0.19165,0.43395,0.01646,0.67795,0.97337,0.46041,0.86353,0.68241,0.11507,0.37545,0.49345,0.48512,1
