"","C3","C4","EMG","F3","F4","F7","F8","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.93733,0.79572,0.60171,0.55572,0.76447,0.88333,0.66649,0.96827,0.3712,0.8614,0.87589,0.93819,0.94571,0.94934,0.68559,0.94971,0.73493,0.43938,0.87647
"C4",0.93733,1,0.68159,0.78976,0.75139,0.89024,0.92932,0.8326,0.93228,0.45379,0.76921,0.77844,0.89496,0.86016,0.87181,0.66703,0.92871,0.77501,0.40156,0.82226
"EMG",0.79572,0.68159,1,0.36188,0.29715,0.5805,0.74994,0.40345,0.77098,0.23626,0.86546,0.94708,0.78588,0.87665,0.74328,0.4396,0.83009,0.72055,0.31149,0.93232
"F3",0.60171,0.78976,0.36188,1,0.99373,0.9521,0.83255,0.98446,0.57481,0.40328,0.41731,0.44522,0.50916,0.47488,0.45207,0.45109,0.67892,0.5965,0.10309,0.58033
"F4",0.55572,0.75139,0.29715,0.99373,1,0.92481,0.79393,0.98404,0.53095,0.39287,0.34729,0.37545,0.44719,0.41456,0.39298,0.43732,0.63453,0.54197,0.06718,0.51553
"F7",0.76447,0.89024,0.5805,0.9521,0.92481,1,0.95108,0.95237,0.72894,0.36815,0.63999,0.67249,0.70033,0.66827,0.63449,0.53503,0.84391,0.70401,0.14345,0.77761
"F8",0.88333,0.92932,0.74994,0.83255,0.79393,0.95108,1,0.86137,0.85456,0.34587,0.78832,0.82913,0.82516,0.82116,0.76699,0.58774,0.95485,0.76869,0.19931,0.89448
"FP2",0.66649,0.8326,0.40345,0.98446,0.98404,0.95237,0.86137,1,0.64933,0.46822,0.45039,0.48303,0.55685,0.54305,0.51061,0.54488,0.73755,0.63419,0.14201,0.60448
"FZ",0.96827,0.93228,0.77098,0.57481,0.53095,0.72894,0.85456,0.64933,1,0.45878,0.81151,0.83893,0.91213,0.9357,0.91865,0.68884,0.93997,0.78183,0.43304,0.82969
"LOG",0.3712,0.45379,0.23626,0.40328,0.39287,0.36815,0.34587,0.46822,0.45878,1,0.1818,0.22557,0.29177,0.46107,0.34925,0.5598,0.37281,0.73362,0.41831,0.2456
"O1",0.8614,0.76921,0.86546,0.41731,0.34729,0.63999,0.78832,0.45039,0.81151,0.1818,1,0.95321,0.92101,0.89758,0.88114,0.51204,0.84165,0.68103,0.41829,0.92837
"O2",0.87589,0.77844,0.94708,0.44522,0.37545,0.67249,0.82913,0.48303,0.83893,0.22557,0.95321,1,0.88892,0.93426,0.85208,0.50856,0.89209,0.74458,0.32976,0.97757
"P3",0.93819,0.89496,0.78588,0.50916,0.44719,0.70033,0.82516,0.55685,0.91213,0.29177,0.92101,0.88892,1,0.92433,0.95761,0.64014,0.88883,0.70602,0.51359,0.87311
"P4",0.94571,0.86016,0.87665,0.47488,0.41456,0.66827,0.82116,0.54305,0.9357,0.46107,0.89758,0.93426,0.92433,1,0.93261,0.63929,0.91631,0.83569,0.49239,0.9073
"PZ",0.94934,0.87181,0.74328,0.45207,0.39298,0.63449,0.76699,0.51061,0.91865,0.34925,0.88114,0.85208,0.95761,0.93261,1,0.65766,0.85249,0.69578,0.55847,0.82176
"ROG",0.68559,0.66703,0.4396,0.45109,0.43732,0.53503,0.58774,0.54488,0.68884,0.5598,0.51204,0.50856,0.64014,0.63929,0.65766,1,0.64618,0.50019,0.41134,0.50664
"T3",0.94971,0.92871,0.83009,0.67892,0.63453,0.84391,0.95485,0.73755,0.93997,0.37281,0.84165,0.89209,0.88883,0.91631,0.85249,0.64618,1,0.78681,0.28151,0.91261
"T4",0.73493,0.77501,0.72055,0.5965,0.54197,0.70401,0.76869,0.63419,0.78183,0.73362,0.68103,0.74458,0.70602,0.83569,0.69578,0.50019,0.78681,1,0.40897,0.76303
"T5",0.43938,0.40156,0.31149,0.10309,0.06718,0.14345,0.19931,0.14201,0.43304,0.41831,0.41829,0.32976,0.51359,0.49239,0.55847,0.41134,0.28151,0.40897,1,0.28768
"T6",0.87647,0.82226,0.93232,0.58033,0.51553,0.77761,0.89448,0.60448,0.82969,0.2456,0.92837,0.97757,0.87311,0.9073,0.82176,0.50664,0.91261,0.76303,0.28768,1
