"","C3","C4","CZ","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,-0.07196,-0.10538,0.08704,0.07416,0.08646,0.04146,-0.00293,-0.01263,0.07304,0.02668,-0.11677,-0.11674,-0.14126,-0.1172,-0.1143,-0.00515,-0.07512,-0.08034,-0.14791,-0.10383
"C4",-0.07196,1,0.79241,-0.04053,-0.02735,0.00239,0.03778,0.12748,0.11508,-0.03657,0.0165,0.36678,0.33399,0.65877,0.35133,0.39236,0.02836,0.02282,0.90383,0.59957,0.31587
"CZ",-0.10538,0.79241,1,-0.04279,-0.02241,-0.00449,0.01311,0.11185,0.08473,-0.03461,0.01534,0.42189,0.40302,0.91975,0.42041,0.4402,0.03341,0.05164,0.8241,0.79582,0.35953
"F3",0.08704,-0.04053,-0.04279,1,0.92279,0.46529,0.44618,0.36688,0.29068,0.95394,-0.05973,-0.12339,-0.12718,-0.04383,-0.08687,-0.07692,-0.02115,-0.02634,-0.04408,-0.07276,-0.11178
"F4",0.07416,-0.02735,-0.02241,0.92279,1,0.31643,0.52839,0.35732,0.34884,0.98226,-0.04774,-0.1097,-0.10908,-0.02538,-0.07433,-0.07152,-0.02051,-0.02395,-0.03343,-0.06016,-0.0938
"F7",0.08646,0.00239,-0.00449,0.46529,0.31643,1,0.4961,0.68566,0.45521,0.31777,-0.0507,-0.01999,0.00233,-0.00621,0.01851,0.04168,0.01237,0.06213,-0.00938,-0.00572,0.00775
"F8",0.04146,0.03778,0.01311,0.44618,0.52839,0.4961,1,0.61552,0.74434,0.47039,-0.02917,-0.03126,-0.01587,0.00525,0.01116,0.01559,0.01526,0.00826,0.02509,-0.00189,-0.01329
"FP1",-0.00293,0.12748,0.11185,0.36688,0.35732,0.68566,0.61552,1,0.85846,0.35322,-0.01457,0.1029,0.14391,0.11191,0.1611,0.19659,0.03413,0.10913,0.12002,0.10791,0.13876
"FP2",-0.01263,0.11508,0.08473,0.29068,0.34884,0.45521,0.74434,0.85846,1,0.31685,-0.00264,0.06117,0.0863,0.07756,0.10255,0.12801,0.03078,0.06248,0.10322,0.07388,0.07862
"FZ",0.07304,-0.03657,-0.03461,0.95394,0.98226,0.31777,0.47039,0.35322,0.31685,1,-0.04759,-0.1174,-0.11497,-0.03406,-0.07726,-0.07218,-0.01751,-0.02392,-0.04256,-0.06734,-0.09848
"LOG",0.02668,0.0165,0.01534,-0.05973,-0.04774,-0.0507,-0.02917,-0.01457,-0.00264,-0.04759,1,0.12812,0.15828,0.01151,0.1766,0.16677,0.77285,0.091,0.02731,0.01935,0.16444
"O1",-0.11677,0.36678,0.42189,-0.12339,-0.1097,-0.01999,-0.03126,0.1029,0.06117,-0.1174,0.12812,1,0.91185,0.45055,0.84393,0.85522,0.15545,0.1644,0.44323,0.47125,0.81907
"O2",-0.11674,0.33399,0.40302,-0.12718,-0.10908,0.00233,-0.01587,0.14391,0.0863,-0.11497,0.15828,0.91185,1,0.43241,0.94485,0.92563,0.18886,0.20408,0.39615,0.45121,0.93618
"P3",-0.14126,0.65877,0.91975,-0.04383,-0.02538,-0.00621,0.00525,0.11191,0.07756,-0.03406,0.01151,0.45055,0.43241,1,0.43138,0.4535,0.04585,0.10207,0.72197,0.90475,0.37335
"P4",-0.1172,0.35133,0.42041,-0.08687,-0.07433,0.01851,0.01116,0.1611,0.10255,-0.07726,0.1766,0.84393,0.94485,0.43138,1,0.96622,0.2238,0.14566,0.40287,0.42115,0.90916
"PZ",-0.1143,0.39236,0.4402,-0.07692,-0.07152,0.04168,0.01559,0.19659,0.12801,-0.07218,0.16677,0.85522,0.92563,0.4535,0.96622,1,0.22363,0.13965,0.4421,0.44756,0.87123
"ROG",-0.00515,0.02836,0.03341,-0.02115,-0.02051,0.01237,0.01526,0.03413,0.03078,-0.01751,0.77285,0.15545,0.18886,0.04585,0.2238,0.22363,1,0.09172,0.04074,0.05324,0.2026
"T3",-0.07512,0.02282,0.05164,-0.02634,-0.02395,0.06213,0.00826,0.10913,0.06248,-0.02392,0.091,0.1644,0.20408,0.10207,0.14566,0.13965,0.09172,1,0.0291,0.1546,0.15705
"T4",-0.08034,0.90383,0.8241,-0.04408,-0.03343,-0.00938,0.02509,0.12002,0.10322,-0.04256,0.02731,0.44323,0.39615,0.72197,0.40287,0.4421,0.04074,0.0291,1,0.69124,0.356
"T5",-0.14791,0.59957,0.79582,-0.07276,-0.06016,-0.00572,-0.00189,0.10791,0.07388,-0.06734,0.01935,0.47125,0.45121,0.90475,0.42115,0.44756,0.05324,0.1546,0.69124,1,0.38199
"T6",-0.10383,0.31587,0.35953,-0.11178,-0.0938,0.00775,-0.01329,0.13876,0.07862,-0.09848,0.16444,0.81907,0.93618,0.37335,0.90916,0.87123,0.2026,0.15705,0.356,0.38199,1
