"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.27598,0.78286,0.08454,0.06507,0.00156,0.06676,0.20582,0.084,0.17854,0.1154,0.05165,0.15321,0.1848,0.82927,0.27953,0.5118,0.04882,0.90217,0.14271,0.49264,0.21685
"C4",0.27598,1,0.67632,0.09646,0.01743,-2e-05,0.02214,0.93812,0.03881,0.11122,0.07371,0.20483,0.59429,0.62931,0.58376,0.76873,0.74049,0.19486,0.39608,0.91102,0.61802,0.79328
"CZ",0.78286,0.67632,1,0.12572,0.04763,0.00091,0.05191,0.60907,0.07012,0.1526,0.10373,0.2236,0.65553,0.69718,0.9791,0.77671,0.92472,0.2126,0.84337,0.57239,0.85602,0.70989
"EMG",0.08454,0.09646,0.12572,1,-0.00205,-0.00422,0.00049,0.14395,0.00848,0.05395,0.02596,0.06773,0.09019,0.08767,0.11513,0.08607,0.11437,0.07213,0.10586,0.10513,0.11932,0.10912
"F3",0.06507,0.01743,0.04763,-0.00205,1,0.00513,0.98503,0.00486,0.93541,0.31734,0.82792,-0.00149,0.00558,0.00469,0.07945,0.02155,0.04397,-0.00138,0.17703,0.00364,0.04404,0.0133
"F4",0.00156,-2e-05,0.00091,-0.00422,0.00513,1,0.00369,-0.00445,0.00407,0.01161,0.00503,-0.00401,-0.00254,-0.00044,0.00108,-0.00086,-0.0014,-0.00355,0.00139,-0.00252,-0.00082,-0.00194
"F7",0.06676,0.02214,0.05191,0.00049,0.98503,0.00369,1,0.01156,0.92871,0.33794,0.83645,-0.00189,0.00555,0.00489,0.08265,0.0241,0.04819,-0.00175,0.17975,0.00666,0.04558,0.01505
"F8",0.20582,0.93812,0.60907,0.14395,0.00486,-0.00445,0.01156,1,0.03602,0.1228,0.07716,0.20249,0.58229,0.56505,0.51433,0.70199,0.68516,0.19315,0.31097,0.93881,0.55421,0.79293
"FP1",0.084,0.03881,0.07012,0.00848,0.93541,0.00407,0.92871,0.03602,1,0.52605,0.95843,-0.00222,0.00647,0.00838,0.10269,0.0345,0.06552,-0.002,0.1883,0.0187,0.055,0.02145
"FP2",0.17854,0.11122,0.1526,0.05395,0.31734,0.01161,0.33794,0.1228,0.52605,1,0.65842,-0.00158,0.01171,0.02882,0.17239,0.06568,0.11669,-0.00135,0.2152,0.07836,0.09484,0.05493
"FZ",0.1154,0.07371,0.10373,0.02596,0.82792,0.00503,0.83645,0.07716,0.95843,0.65842,1,-0.00239,0.01081,0.0192,0.13198,0.05214,0.09087,-0.00214,0.20661,0.04699,0.07206,0.03726
"LOG",0.05165,0.20483,0.2236,0.06773,-0.00149,-0.00401,-0.00189,0.20249,-0.00222,-0.00158,-0.00239,1,0.31047,0.23413,0.21024,0.2665,0.28943,0.99925,0.0886,0.19564,0.23688,0.28659
"O1",0.15321,0.59429,0.65553,0.09019,0.00558,-0.00254,0.00555,0.58229,0.00647,0.01171,0.01081,0.31047,1,0.83385,0.63403,0.83961,0.85676,0.29614,0.34204,0.59159,0.84465,0.81232
"O2",0.1848,0.62931,0.69718,0.08767,0.00469,-0.00044,0.00489,0.56505,0.00838,0.02882,0.0192,0.23413,0.83385,1,0.66,0.92216,0.87474,0.222,0.44634,0.612,0.88307,0.79618
"P3",0.82927,0.58376,0.9791,0.11513,0.07945,0.00108,0.08265,0.51433,0.10269,0.17239,0.13198,0.21024,0.63403,0.66,1,0.72693,0.8959,0.20032,0.906,0.47781,0.86464,0.64287
"P4",0.27953,0.76873,0.77671,0.08607,0.02155,-0.00086,0.0241,0.70199,0.0345,0.06568,0.05214,0.2665,0.83961,0.92216,0.72693,1,0.92286,0.25314,0.4905,0.7237,0.87424,0.86845
"PZ",0.5118,0.74049,0.92472,0.11437,0.04397,-0.0014,0.04819,0.68516,0.06552,0.11669,0.09087,0.28943,0.85676,0.87474,0.8959,0.92286,1,0.27544,0.67073,0.67835,0.92879,0.85907
"ROG",0.04882,0.19486,0.2126,0.07213,-0.00138,-0.00355,-0.00175,0.19315,-0.002,-0.00135,-0.00214,0.99925,0.29614,0.222,0.20032,0.25314,0.27544,1,0.08451,0.18602,0.22745,0.27243
"T3",0.90217,0.39608,0.84337,0.10586,0.17703,0.00139,0.17975,0.31097,0.1883,0.2152,0.20661,0.0886,0.34204,0.44634,0.906,0.4905,0.67073,0.08451,1,0.27817,0.72543,0.38649
"T4",0.14271,0.91102,0.57239,0.10513,0.00364,-0.00252,0.00666,0.93881,0.0187,0.07836,0.04699,0.19564,0.59159,0.612,0.47781,0.7237,0.67835,0.18602,0.27817,1,0.55529,0.8634
"T5",0.49264,0.61802,0.85602,0.11932,0.04404,-0.00082,0.04558,0.55421,0.055,0.09484,0.07206,0.23688,0.84465,0.88307,0.86464,0.87424,0.92879,0.22745,0.72543,0.55529,1,0.74509
"T6",0.21685,0.79328,0.70989,0.10912,0.0133,-0.00194,0.01505,0.79293,0.02145,0.05493,0.03726,0.28659,0.81232,0.79618,0.64287,0.86845,0.85907,0.27243,0.38649,0.8634,0.74509,1
