"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.61695,0.64173,0.34147,0.13617,0.57318,0.37643,0.37192,0.49778,0.46912,0.61026,0.03086,0.54563,0.47809,0.60962,0.54969,0.60017,0.12319,0.43589,0.4318,0.58158,0.50497
"C4",0.61695,1,0.94403,0.19148,0.41489,0.91744,0.60826,0.41259,0.70925,0.66738,0.90039,0.28687,0.7975,0.83112,0.04594,0.91148,0.89467,0.5382,0.59979,0.79757,0.70983,0.87381
"CZ",0.64173,0.94403,1,0.16548,0.38856,0.87826,0.557,0.34027,0.64928,0.59514,0.90552,0.18826,0.7762,0.78929,0.06094,0.85374,0.88142,0.45038,0.55107,0.71375,0.66608,0.80437
"EMG",0.34147,0.19148,0.16548,1,-0.15608,0.24181,0.55157,0.35862,0.33425,0.35275,0.17133,0.08094,0.23679,0.17655,0.3086,0.15037,0.16801,0.08349,0.53895,0.33858,0.33975,0.22254
"F3",0.13617,0.41489,0.38856,-0.15608,1,0.35844,0.17195,0.05758,0.35669,0.2853,0.33711,0.04989,0.37294,0.39623,-0.22572,0.40269,0.36193,0.28742,0.16157,0.37176,0.29619,0.46884
"F4",0.57318,0.91744,0.87826,0.24181,0.35844,1,0.70405,0.51294,0.80645,0.77792,0.95148,0.33222,0.77343,0.79209,0.01878,0.80758,0.78442,0.62563,0.66698,0.84729,0.72849,0.84453
"F7",0.37643,0.60826,0.557,0.55157,0.17195,0.70405,1,0.72229,0.70047,0.71063,0.60928,0.37185,0.66505,0.67331,-0.0154,0.59772,0.57601,0.64331,0.91151,0.85352,0.68756,0.69167
"F8",0.37192,0.41259,0.34027,0.35862,0.05758,0.51294,0.72229,1,0.48457,0.51176,0.41653,0.21316,0.42041,0.43111,0.25322,0.39424,0.34099,0.43335,0.74745,0.63776,0.52929,0.47559
"FP1",0.49778,0.70925,0.64928,0.33425,0.35669,0.80645,0.70047,0.48457,1,0.90352,0.76003,0.43836,0.74134,0.72572,0.13364,0.68933,0.67085,0.60191,0.63361,0.7312,0.74186,0.77008
"FP2",0.46912,0.66738,0.59514,0.35275,0.2853,0.77792,0.71063,0.51176,0.90352,1,0.71875,0.4436,0.72313,0.71014,0.13693,0.68011,0.64068,0.66662,0.63537,0.71519,0.74457,0.75081
"FZ",0.61026,0.90039,0.90552,0.17133,0.33711,0.95148,0.60928,0.41653,0.76003,0.71875,1,0.26462,0.75756,0.77429,0.04174,0.79268,0.7895,0.52825,0.58248,0.75497,0.68181,0.80148
"LOG",0.03086,0.28687,0.18826,0.08094,0.04989,0.33222,0.37185,0.21316,0.43836,0.4436,0.26462,1,0.30204,0.32304,-0.10489,0.31455,0.26316,0.4406,0.20952,0.30371,0.2196,0.32861
"O1",0.54563,0.7975,0.7762,0.23679,0.37294,0.77343,0.66505,0.42041,0.74134,0.72313,0.75756,0.30204,1,0.94241,0.15199,0.89086,0.89626,0.55351,0.67227,0.75647,0.87716,0.90375
"O2",0.47809,0.83112,0.78929,0.17655,0.39623,0.79209,0.67331,0.43111,0.72572,0.71014,0.77429,0.32304,0.94241,1,0.03782,0.92542,0.90103,0.59414,0.65235,0.79108,0.79107,0.93392
"P3",0.60962,0.04594,0.06094,0.3086,-0.22572,0.01878,-0.0154,0.25322,0.13364,0.13693,0.04174,-0.10489,0.15199,0.03782,1,0.08807,0.13633,-0.2855,0.11962,-0.10745,0.28212,0.027
"P4",0.54969,0.91148,0.85374,0.15037,0.40269,0.80758,0.59772,0.39424,0.68933,0.68011,0.79268,0.31455,0.89086,0.92542,0.08807,1,0.94473,0.55113,0.59225,0.7672,0.77121,0.92949
"PZ",0.60017,0.89467,0.88142,0.16801,0.36193,0.78442,0.57601,0.34099,0.67085,0.64068,0.7895,0.26316,0.89626,0.90103,0.13633,0.94473,1,0.489,0.58307,0.72028,0.77895,0.8767
"ROG",0.12319,0.5382,0.45038,0.08349,0.28742,0.62563,0.64331,0.43335,0.60191,0.66662,0.52825,0.4406,0.55351,0.59414,-0.2855,0.55113,0.489,1,0.53251,0.71028,0.51803,0.61609
"T3",0.43589,0.59979,0.55107,0.53895,0.16157,0.66698,0.91151,0.74745,0.63361,0.63537,0.58248,0.20952,0.67227,0.65235,0.11962,0.59225,0.58307,0.53251,1,0.82831,0.74716,0.67159
"T4",0.4318,0.79757,0.71375,0.33858,0.37176,0.84729,0.85352,0.63776,0.7312,0.71519,0.75497,0.30371,0.75647,0.79108,-0.10745,0.7672,0.72028,0.71028,0.82831,1,0.73634,0.86405
"T5",0.58158,0.70983,0.66608,0.33975,0.29619,0.72849,0.68756,0.52929,0.74186,0.74457,0.68181,0.2196,0.87716,0.79107,0.28212,0.77121,0.77895,0.51803,0.74716,0.73634,1,0.81462
"T6",0.50497,0.87381,0.80437,0.22254,0.46884,0.84453,0.69167,0.47559,0.77008,0.75081,0.80148,0.32861,0.90375,0.93392,0.027,0.92949,0.8767,0.61609,0.67159,0.86405,0.81462,1
