"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T5","T6"
"C3",1,0.73318,0.93498,0.43745,0.88177,0.83895,0.73022,0.66504,0.63825,0.5821,0.89445,0.69528,0.75792,0.55288,0.85816,0.75601,0.88391,0.28869,0.84022,0.73286,0.37487
"C4",0.73318,1,0.78566,0.28935,0.74656,0.83581,0.64618,0.72082,0.58361,0.58575,0.77277,0.65945,0.61222,0.62042,0.66283,0.79181,0.73196,0.31269,0.5766,0.5977,0.64363
"CZ",0.93498,0.78566,1,0.47659,0.8449,0.89614,0.77722,0.72771,0.69518,0.63934,0.92027,0.74504,0.80676,0.58195,0.8658,0.81261,0.93165,0.28724,0.77665,0.7459,0.39071
"EMG",0.43745,0.28935,0.47659,1,0.3197,0.43816,0.3772,0.37883,0.31033,0.26398,0.42588,0.35106,0.43701,0.29318,0.42648,0.34374,0.44535,-0.04196,0.4174,0.45529,0.09475
"F3",0.88177,0.74656,0.8449,0.3197,1,0.83231,0.71863,0.6706,0.64321,0.59861,0.91459,0.69646,0.62213,0.53228,0.70808,0.68841,0.75537,0.31808,0.75053,0.60557,0.43995
"F4",0.83895,0.83581,0.89614,0.43816,0.83231,1,0.81518,0.87612,0.76197,0.7569,0.92355,0.79539,0.72786,0.62116,0.76993,0.78009,0.8246,0.35311,0.70838,0.70268,0.47671
"F7",0.73022,0.64618,0.77722,0.3772,0.71863,0.81518,1,0.81917,0.95001,0.86968,0.75921,0.91703,0.76438,0.66272,0.74757,0.74813,0.79159,0.35695,0.65245,0.70941,0.46474
"F8",0.66504,0.72082,0.72771,0.37883,0.6706,0.87612,0.81917,1,0.81978,0.88078,0.74522,0.82657,0.66494,0.66416,0.65705,0.7055,0.70463,0.39519,0.56496,0.63839,0.52238
"FP1",0.63825,0.58361,0.69518,0.31033,0.64321,0.76197,0.95001,0.81978,1,0.92122,0.68756,0.89225,0.70948,0.63609,0.68251,0.69537,0.71777,0.36189,0.56222,0.66463,0.44705
"FP2",0.5821,0.58575,0.63934,0.26398,0.59861,0.7569,0.86968,0.88078,0.92122,1,0.65264,0.82651,0.66464,0.65074,0.63775,0.66364,0.66884,0.42458,0.52158,0.63487,0.4724
"FZ",0.89445,0.77277,0.92027,0.42588,0.91459,0.92355,0.75921,0.74522,0.68756,0.65264,1,0.73343,0.69471,0.54627,0.76373,0.71918,0.81549,0.30091,0.75066,0.67024,0.39359
"LOG",0.69528,0.65945,0.74504,0.35106,0.69646,0.79539,0.91703,0.82657,0.89225,0.82651,0.73343,1,0.7313,0.6415,0.71538,0.73173,0.76378,0.37155,0.58347,0.67362,0.46702
"O1",0.75792,0.61222,0.80676,0.43701,0.62213,0.72786,0.76438,0.66494,0.70948,0.66464,0.69471,0.7313,1,0.75874,0.91764,0.84416,0.90703,0.30323,0.69102,0.85336,0.4851
"O2",0.55288,0.62042,0.58195,0.29318,0.53228,0.62116,0.66272,0.66416,0.63609,0.65074,0.54627,0.6415,0.75874,1,0.64074,0.79407,0.67714,0.32268,0.51204,0.65522,0.76892
"P3",0.85816,0.66283,0.8658,0.42648,0.70808,0.76993,0.74757,0.65705,0.68251,0.63775,0.76373,0.71538,0.91764,0.64074,1,0.81698,0.92284,0.30484,0.77172,0.88441,0.43407
"P4",0.75601,0.79181,0.81261,0.34374,0.68841,0.78009,0.74813,0.7055,0.69537,0.66364,0.71918,0.73173,0.84416,0.79407,0.81698,1,0.89595,0.34307,0.63634,0.71852,0.69489
"PZ",0.88391,0.73196,0.93165,0.44535,0.75537,0.8246,0.79159,0.70463,0.71777,0.66884,0.81549,0.76378,0.90703,0.67714,0.92284,0.89595,1,0.30399,0.75966,0.79702,0.45611
"ROG",0.28869,0.31269,0.28724,-0.04196,0.31808,0.35311,0.35695,0.39519,0.36189,0.42458,0.30091,0.37155,0.30323,0.32268,0.30484,0.34307,0.30399,1,0.26154,0.28983,0.27433
"T3",0.84022,0.5766,0.77665,0.4174,0.75053,0.70838,0.65245,0.56496,0.56222,0.52158,0.75066,0.58347,0.69102,0.51204,0.77172,0.63634,0.75966,0.26154,1,0.74278,0.31091
"T5",0.73286,0.5977,0.7459,0.45529,0.60557,0.70268,0.70941,0.63839,0.66463,0.63487,0.67024,0.67362,0.85336,0.65522,0.88441,0.71852,0.79702,0.28983,0.74278,1,0.43538
"T6",0.37487,0.64363,0.39071,0.09475,0.43995,0.47671,0.46474,0.52238,0.44705,0.4724,0.39359,0.46702,0.4851,0.76892,0.43407,0.69489,0.45611,0.27433,0.31091,0.43538,1
