"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.63398,0.88791,0.13709,0.51382,0.74246,0.24226,0.42715,0.44819,0.73004,0.863,0.57999,0.70997,0.4698,0.91134,0.85225,0.84969,0.56473,0.63623,0.86536,0.79859,0.77733
"C4",0.63398,1,0.58806,0.41994,0.58426,0.74925,0.4562,0.67458,0.49194,0.71763,0.56622,0.4685,0.45222,0.3406,0.57601,0.64602,0.60077,0.55964,0.65239,0.69605,0.63021,0.71988
"CZ",0.88791,0.58806,1,0.17399,0.39317,0.74959,0.16034,0.31386,0.34632,0.69123,0.92866,0.66758,0.70332,0.52134,0.90094,0.91721,0.91544,0.60853,0.48401,0.9328,0.68403,0.71472
"EMG",0.13709,0.41994,0.17399,1,0.51955,0.25234,0.58316,0.55336,0.39768,0.23472,0.09188,0.14646,-0.03052,0.00204,0.08097,0.14087,0.09245,0.08094,0.41534,0.20805,0.03279,0.28097
"F3",0.51382,0.58426,0.39317,0.51955,1,0.50036,0.88949,0.83931,0.7439,0.42851,0.37762,0.22661,0.24287,0.25581,0.30361,0.2933,0.30821,0.20186,0.84638,0.40636,0.44676,0.52673
"F4",0.74246,0.74925,0.74959,0.25234,0.50036,1,0.24632,0.5728,0.38867,0.84902,0.80379,0.52146,0.57949,0.3009,0.71879,0.70889,0.69403,0.56938,0.56454,0.8012,0.74065,0.70384
"F7",0.24226,0.4562,0.16034,0.58316,0.88949,0.24632,1,0.79768,0.69608,0.18006,0.08666,0.1219,0.03445,0.16788,0.04328,0.06123,0.06559,0.04431,0.71893,0.18664,0.19886,0.35775
"F8",0.42715,0.67458,0.31386,0.55336,0.83931,0.5728,0.79768,1,0.70665,0.48403,0.29332,0.18594,0.20068,0.14819,0.25955,0.26121,0.25255,0.13794,0.84092,0.38735,0.4551,0.52648
"FP1",0.44819,0.49194,0.34632,0.39768,0.7439,0.38867,0.69608,0.70665,1,0.4124,0.32933,0.37204,0.24454,0.26609,0.3299,0.31293,0.31447,0.244,0.72287,0.36912,0.37896,0.42873
"FP2",0.73004,0.71763,0.69123,0.23472,0.42851,0.84902,0.18006,0.48403,0.4124,1,0.74694,0.53249,0.61763,0.28817,0.73417,0.7301,0.68852,0.63423,0.50881,0.77298,0.77142,0.71868
"FZ",0.863,0.56622,0.92866,0.09188,0.37762,0.80379,0.08666,0.29332,0.32933,0.74694,1,0.65105,0.7326,0.5108,0.87315,0.86255,0.87062,0.61391,0.46387,0.86445,0.70895,0.69665
"LOG",0.57999,0.4685,0.66758,0.14646,0.22661,0.52146,0.1219,0.18594,0.37204,0.53249,0.65105,1,0.55188,0.3653,0.62745,0.64276,0.64772,0.58725,0.35239,0.63441,0.47,0.50034
"O1",0.70997,0.45222,0.70332,-0.03052,0.24287,0.57949,0.03445,0.20068,0.24454,0.61763,0.7326,0.55188,1,0.58846,0.75621,0.73269,0.76779,0.53561,0.40506,0.67829,0.7441,0.71854
"O2",0.4698,0.3406,0.52134,0.00204,0.25581,0.3009,0.16788,0.14819,0.26609,0.28817,0.5108,0.3653,0.58846,1,0.49772,0.56101,0.639,0.29988,0.35975,0.47814,0.36716,0.59291
"P3",0.91134,0.57601,0.90094,0.08097,0.30361,0.71879,0.04328,0.25955,0.3299,0.73417,0.87315,0.62745,0.75621,0.49772,1,0.9275,0.94163,0.62173,0.459,0.88228,0.75775,0.71651
"P4",0.85225,0.64602,0.91721,0.14087,0.2933,0.70889,0.06123,0.26121,0.31293,0.7301,0.86255,0.64276,0.73269,0.56101,0.9275,1,0.95217,0.67697,0.44123,0.93405,0.69277,0.74754
"PZ",0.84969,0.60077,0.91544,0.09245,0.30821,0.69403,0.06559,0.25255,0.31447,0.68852,0.87062,0.64772,0.76779,0.639,0.94163,0.95217,1,0.61417,0.46097,0.88726,0.70634,0.71115
"ROG",0.56473,0.55964,0.60853,0.08094,0.20186,0.56938,0.04431,0.13794,0.244,0.63423,0.61391,0.58725,0.53561,0.29988,0.62173,0.67697,0.61417,1,0.2938,0.67655,0.52222,0.52828
"T3",0.63623,0.65239,0.48401,0.41534,0.84638,0.56454,0.71893,0.84092,0.72287,0.50881,0.46387,0.35239,0.40506,0.35975,0.459,0.44123,0.46097,0.2938,1,0.50729,0.65916,0.66423
"T4",0.86536,0.69605,0.9328,0.20805,0.40636,0.8012,0.18664,0.38735,0.36912,0.77298,0.86445,0.63441,0.67829,0.47814,0.88228,0.93405,0.88726,0.67655,0.50729,1,0.7107,0.7573
"T5",0.79859,0.63021,0.68403,0.03279,0.44676,0.74065,0.19886,0.4551,0.37896,0.77142,0.70895,0.47,0.7441,0.36716,0.75775,0.69277,0.70634,0.52222,0.65916,0.7107,1,0.75538
"T6",0.77733,0.71988,0.71472,0.28097,0.52673,0.70384,0.35775,0.52648,0.42873,0.71868,0.69665,0.50034,0.71854,0.59291,0.71651,0.74754,0.71115,0.52828,0.66423,0.7573,0.75538,1
