"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.80657,0.82155,0.48812,0.00833,0.275,0.01289,0.06948,-0.02264,0.0108,0.39563,0.23904,0.76612,0.68553,0.30952,-0.26429,0.84071,0.23692,0.76616,0.59881,0.75125,0.68787
"C4",0.80657,1,0.81848,0.51558,-0.0148,0.20412,-0.0142,0.03233,0.01875,-0.01287,0.3165,0.20378,0.72379,0.77078,0.18416,-0.22822,0.87018,0.22635,0.63272,0.77744,0.65557,0.81226
"CZ",0.82155,0.81848,1,0.50647,0.00452,0.22813,0.00151,0.0397,0.01307,0.00595,0.31069,0.14969,0.64972,0.66619,0.21953,-0.27583,0.83251,0.1554,0.57785,0.6042,0.66336,0.68162
"EMG",0.48812,0.51558,0.50647,1,-0.01362,0.34396,-0.01495,0.05954,0.01198,-0.01746,0.24873,0.03881,0.52162,0.62648,0.43643,-0.3387,0.48161,0.11147,0.42046,0.5882,0.57247,0.67415
"F3",0.00833,-0.0148,0.00452,-0.01362,1,-0.02367,0.97,-0.01629,-0.39184,0.85652,-0.023,0.00283,0.00214,-0.02393,0.01551,0.00781,-0.03067,-0.00146,-0.00222,-0.00753,-0.01719,-0.0276
"F4",0.275,0.20412,0.22813,0.34396,-0.02367,1,-0.02452,0.77571,0.01753,-0.00857,0.78059,0.11059,0.29336,0.22143,0.35673,-0.46926,0.23478,0.11792,0.30137,0.08494,0.38048,0.25835
"F7",0.01289,-0.0142,0.00151,-0.01495,0.97,-0.02452,1,-0.01945,-0.42214,0.83173,-0.02952,0.00929,0.00433,-0.02228,0.01095,0.01015,-0.02811,0.00302,-0.00819,-0.00439,-0.02219,-0.02718
"F8",0.06948,0.03233,0.0397,0.05954,-0.01629,0.77571,-0.01945,1,0.03387,-0.0125,0.63058,0.212,0.10837,0.05863,0.03876,-0.31942,0.06561,0.19922,0.16967,-0.02117,0.17146,0.08123
"FP1",-0.02264,0.01875,0.01307,0.01198,-0.39184,0.01753,-0.42214,0.03387,1,-0.41628,0.00865,0.03102,-0.01236,-0.00114,-0.0167,-0.01232,0.01108,0.00401,-0.00065,0.02152,-0.00925,0.03106
"FP2",0.0108,-0.01287,0.00595,-0.01746,0.85652,-0.00857,0.83173,-0.0125,-0.41628,1,-0.00318,0.00965,0.01498,-0.00593,0.01584,0.00929,-0.01982,0.00698,-0.01144,-0.00844,-0.01695,-0.02213
"FZ",0.39563,0.3165,0.31069,0.24873,-0.023,0.78059,-0.02952,0.63058,0.00865,-0.00318,1,0.15228,0.39629,0.29759,0.24361,-0.30264,0.33671,0.16714,0.43587,0.18755,0.39883,0.32873
"LOG",0.23904,0.20378,0.14969,0.03881,0.00283,0.11059,0.00929,0.212,0.03102,0.00965,0.15228,1,0.32528,0.26634,-0.16562,-0.10563,0.30635,0.85721,0.38281,0.25051,0.27565,0.23093
"O1",0.76612,0.72379,0.64972,0.52162,0.00214,0.29336,0.00433,0.10837,-0.01236,0.01498,0.39629,0.32528,1,0.78795,0.28296,-0.24676,0.80353,0.3487,0.74707,0.61847,0.78685,0.7153
"O2",0.68553,0.77078,0.66619,0.62648,-0.02393,0.22143,-0.02228,0.05863,-0.00114,-0.00593,0.29759,0.26634,0.78795,1,0.20529,-0.26685,0.76073,0.31644,0.65926,0.81703,0.68619,0.87618
"P3",0.30952,0.18416,0.21953,0.43643,0.01551,0.35673,0.01095,0.03876,-0.0167,0.01584,0.24361,-0.16562,0.28296,0.20529,1,-0.19196,0.19549,-0.14629,0.23391,0.07403,0.31485,0.23612
"P4",-0.26429,-0.22822,-0.27583,-0.3387,0.00781,-0.46926,0.01015,-0.31942,-0.01232,0.00929,-0.30264,-0.10563,-0.24676,-0.26685,-0.19196,1,-0.2397,-0.12618,-0.25641,-0.21266,-0.36177,-0.34125
"PZ",0.84071,0.87018,0.83251,0.48161,-0.03067,0.23478,-0.02811,0.06561,0.01108,-0.01982,0.33671,0.30635,0.80353,0.76073,0.19549,-0.2397,1,0.30747,0.67596,0.66989,0.73287,0.73739
"ROG",0.23692,0.22635,0.1554,0.11147,-0.00146,0.11792,0.00302,0.19922,0.00401,0.00698,0.16714,0.85721,0.3487,0.31644,-0.14629,-0.12618,0.30747,1,0.38615,0.34127,0.29816,0.30477
"T3",0.76616,0.63272,0.57785,0.42046,-0.00222,0.30137,-0.00819,0.16967,-0.00065,-0.01144,0.43587,0.38281,0.74707,0.65926,0.23391,-0.25641,0.67596,0.38615,1,0.56361,0.69767,0.66573
"T4",0.59881,0.77744,0.6042,0.5882,-0.00753,0.08494,-0.00439,-0.02117,0.02152,-0.00844,0.18755,0.25051,0.61847,0.81703,0.07403,-0.21266,0.66989,0.34127,0.56361,1,0.53714,0.8727
"T5",0.75125,0.65557,0.66336,0.57247,-0.01719,0.38048,-0.02219,0.17146,-0.00925,-0.01695,0.39883,0.27565,0.78685,0.68619,0.31485,-0.36177,0.73287,0.29816,0.69767,0.53714,1,0.64442
"T6",0.68787,0.81226,0.68162,0.67415,-0.0276,0.25835,-0.02718,0.08123,0.03106,-0.02213,0.32873,0.23093,0.7153,0.87618,0.23612,-0.34125,0.73739,0.30477,0.66573,0.8727,0.64442,1
