"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.91413,0.87272,0.6857,0.88694,0.87043,0.83171,0.82793,0.65911,0.83862,0.86564,0.74829,0.86209,0.80908,0.92481,0.88327,0.91951,0.73041,0.86399,0.50361,0.87384,0.8437
"C4",0.91413,1,0.87237,0.70124,0.87772,0.88899,0.81805,0.84783,0.67971,0.84145,0.85682,0.73191,0.84286,0.82737,0.87811,0.90521,0.92023,0.74757,0.82197,0.53404,0.83648,0.84722
"CZ",0.87272,0.87237,1,0.60638,0.8226,0.82138,0.69357,0.74243,0.61182,0.73624,0.80125,0.72093,0.7353,0.71323,0.81059,0.79512,0.84436,0.68126,0.7203,0.41346,0.71856,0.70344
"EMG",0.6857,0.70124,0.60638,1,0.68029,0.67473,0.69607,0.71019,0.74243,0.70007,0.66469,0.58159,0.65608,0.67978,0.67017,0.6791,0.676,0.68443,0.67419,0.46524,0.67701,0.68999
"F3",0.88694,0.87772,0.8226,0.68029,1,0.90448,0.83041,0.84837,0.68305,0.88101,0.93939,0.79345,0.82711,0.79258,0.86096,0.84274,0.84599,0.77435,0.81417,0.53928,0.81089,0.82355
"F4",0.87043,0.88899,0.82138,0.67473,0.90448,1,0.8296,0.90064,0.68954,0.90766,0.93789,0.76457,0.83438,0.79956,0.85441,0.86376,0.86268,0.7896,0.81475,0.54111,0.82509,0.84181
"F7",0.83171,0.81805,0.69357,0.69607,0.83041,0.8296,1,0.83898,0.69717,0.85063,0.82021,0.70262,0.83345,0.82439,0.82722,0.82813,0.80804,0.7431,0.83247,0.54053,0.82651,0.85649
"F8",0.82793,0.84783,0.74243,0.71019,0.84837,0.90064,0.83898,1,0.6956,0.86516,0.87714,0.722,0.82562,0.80621,0.84032,0.84565,0.83107,0.76625,0.84835,0.53568,0.84034,0.85037
"FP1",0.65911,0.67971,0.61182,0.74243,0.68305,0.68954,0.69717,0.6956,1,0.70387,0.67028,0.63173,0.66733,0.7158,0.68993,0.69017,0.6672,0.68871,0.66706,0.51408,0.65146,0.70228
"FP2",0.83862,0.84145,0.73624,0.70007,0.88101,0.90766,0.85063,0.86516,0.70387,1,0.91333,0.78244,0.82018,0.78702,0.81765,0.82376,0.81308,0.80171,0.79689,0.54875,0.80614,0.85402
"FZ",0.86564,0.85682,0.80125,0.66469,0.93939,0.93789,0.82021,0.87714,0.67028,0.91333,1,0.7892,0.82806,0.78834,0.83387,0.84019,0.83439,0.79958,0.8097,0.53695,0.81093,0.84572
"LOG",0.74829,0.73191,0.72093,0.58159,0.79345,0.76457,0.70262,0.722,0.63173,0.78244,0.7892,1,0.69256,0.68074,0.72904,0.75656,0.74623,0.76964,0.65931,0.44656,0.66867,0.70446
"O1",0.86209,0.84286,0.7353,0.65608,0.82711,0.83438,0.83345,0.82562,0.66733,0.82018,0.82806,0.69256,1,0.82964,0.92018,0.85876,0.85552,0.75309,0.87915,0.51356,0.94148,0.87445
"O2",0.80908,0.82737,0.71323,0.67978,0.79258,0.79956,0.82439,0.80621,0.7158,0.78702,0.78834,0.68074,0.82964,1,0.82132,0.91823,0.85246,0.74315,0.80397,0.5156,0.82261,0.88055
"P3",0.92481,0.87811,0.81059,0.67017,0.86096,0.85441,0.82722,0.84032,0.68993,0.81765,0.83387,0.72904,0.92018,0.82132,1,0.86741,0.89715,0.73634,0.90085,0.5235,0.903,0.85542
"P4",0.88327,0.90521,0.79512,0.6791,0.84274,0.86376,0.82813,0.84565,0.69017,0.82376,0.84019,0.75656,0.85876,0.91823,0.86741,1,0.9228,0.77472,0.81724,0.52376,0.84516,0.88115
"PZ",0.91951,0.92023,0.84436,0.676,0.84599,0.86268,0.80804,0.83107,0.6672,0.81308,0.83439,0.74623,0.85552,0.85246,0.89715,0.9228,1,0.74272,0.81849,0.49895,0.84713,0.85321
"ROG",0.73041,0.74757,0.68126,0.68443,0.77435,0.7896,0.7431,0.76625,0.68871,0.80171,0.79958,0.76964,0.75309,0.74315,0.73634,0.77472,0.74272,1,0.71989,0.47308,0.73408,0.75532
"T3",0.86399,0.82197,0.7203,0.67419,0.81417,0.81475,0.83247,0.84835,0.66706,0.79689,0.8097,0.65931,0.87915,0.80397,0.90085,0.81724,0.81849,0.71989,1,0.50322,0.90242,0.85538
"T4",0.50361,0.53404,0.41346,0.46524,0.53928,0.54111,0.54053,0.53568,0.51408,0.54875,0.53695,0.44656,0.51356,0.5156,0.5235,0.52376,0.49895,0.47308,0.50322,1,0.49076,0.52977
"T5",0.87384,0.83648,0.71856,0.67701,0.81089,0.82509,0.82651,0.84034,0.65146,0.80614,0.81093,0.66867,0.94148,0.82261,0.903,0.84516,0.84713,0.73408,0.90242,0.49076,1,0.86351
"T6",0.8437,0.84722,0.70344,0.68999,0.82355,0.84181,0.85649,0.85037,0.70228,0.85402,0.84572,0.70446,0.87445,0.88055,0.85542,0.88115,0.85321,0.75532,0.85538,0.52977,0.86351,1
