"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.81396,0.90294,0.18463,0.02111,0.02765,-0.00346,0.01927,-0.01966,-0.01785,0.05419,0.51027,0.56292,0.46256,0.72083,0.21706,0.80868,0.47787,0.7856,0.60052,0.65773,0.46069
"C4",0.81396,1,0.89397,0.11932,0.03958,0.05126,0.02283,0.0485,-0.0017,0.00307,0.07061,0.50432,0.52129,0.52708,0.65905,0.28286,0.79004,0.52712,0.62495,0.77201,0.56382,0.55486
"CZ",0.90294,0.89397,1,0.20291,0.01748,0.01903,-0.00541,0.00527,-0.02482,-0.03422,0.04936,0.47325,0.50636,0.42779,0.65363,0.21369,0.79595,0.45206,0.66456,0.58579,0.56734,0.42299
"EMG",0.18463,0.11932,0.20291,1,-0.05376,-0.08897,-0.05706,-0.11392,-0.07367,-0.13252,-0.03066,0.11358,0.2069,0.03433,0.18089,-0.07264,0.17026,0.02783,0.25386,0.01815,0.22832,-0.00164
"F3",0.02111,0.03958,0.01748,-0.05376,1,0.73503,0.89239,0.67465,0.80039,0.63667,0.86295,0.03467,-0.02116,0.00369,-0.02917,-0.00096,-0.01026,0.00731,0.05632,0.09858,0.02296,0.02229
"F4",0.02765,0.05126,0.01903,-0.08897,0.73503,1,0.66121,0.93914,0.66294,0.81679,0.82647,0.03915,-0.01228,0.00093,-0.01023,-0.01413,0.00144,0.0269,0.01963,0.09808,0.03086,0.02609
"F7",-0.00346,0.02283,-0.00541,-0.05706,0.89239,0.66121,1,0.64167,0.80416,0.59414,0.71536,0.01218,-0.02121,0.00972,-0.02612,0.02464,-0.01169,-0.0273,0.0317,0.09564,0.01285,0.02702
"F8",0.01927,0.0485,0.00527,-0.11392,0.67465,0.93914,0.64167,1,0.66335,0.83142,0.7436,0.024,-0.00473,0.01438,-0.00504,0.00196,0.00532,0.03746,0.01682,0.0972,0.03563,0.02789
"FP1",-0.01966,-0.0017,-0.02482,-0.07367,0.80039,0.66294,0.80416,0.66335,1,0.75823,0.67812,0.02329,-0.03347,-0.00826,-0.04716,-0.02536,-0.03803,0.00468,0.01488,0.05427,-0.00473,0.00926
"FP2",-0.01785,0.00307,-0.03422,-0.13252,0.63667,0.81679,0.59414,0.83142,0.75823,1,0.67702,0.03413,-0.03869,0.00224,-0.04617,-0.02751,-0.03375,0.03879,-0.02184,0.05151,-0.02735,0.01761
"FZ",0.05419,0.07061,0.04936,-0.03066,0.86295,0.82647,0.71536,0.7436,0.67812,0.67702,1,0.03382,-0.00564,-0.00921,-0.00884,0.0022,0.00716,0.02382,0.06342,0.10695,0.04329,0.00273
"LOG",0.51027,0.50432,0.47325,0.11358,0.03467,0.03915,0.01218,0.024,0.02329,0.03413,0.03382,1,0.42576,0.43844,0.4497,0.08298,0.47007,0.65103,0.52418,0.52116,0.40887,0.46058
"O1",0.56292,0.52129,0.50636,0.2069,-0.02116,-0.01228,-0.02121,-0.00473,-0.03347,-0.03869,-0.00564,0.42576,1,0.69947,0.85324,0.18778,0.73588,0.37347,0.52861,0.46742,0.81062,0.57291
"O2",0.46256,0.52708,0.42779,0.03433,0.00369,0.00093,0.00972,0.01438,-0.00826,0.00224,-0.00921,0.43844,0.69947,1,0.68244,0.26586,0.66559,0.37792,0.4006,0.56599,0.52177,0.87397
"P3",0.72083,0.65905,0.65363,0.18089,-0.02917,-0.01023,-0.02612,-0.00504,-0.04716,-0.04617,-0.00884,0.4497,0.85324,0.68244,1,0.29032,0.92734,0.40427,0.61011,0.5507,0.82287,0.60579
"P4",0.21706,0.28286,0.21369,-0.07264,-0.00096,-0.01413,0.02464,0.00196,-0.02536,-0.02751,0.0022,0.08298,0.18778,0.26586,0.29032,1,0.32397,0.12028,0.1731,0.27419,0.19174,0.2715
"PZ",0.80868,0.79004,0.79595,0.17026,-0.01026,0.00144,-0.01169,0.00532,-0.03803,-0.03375,0.00716,0.47007,0.73588,0.66559,0.92734,0.32397,1,0.43616,0.6207,0.61356,0.72462,0.60942
"ROG",0.47787,0.52712,0.45206,0.02783,0.00731,0.0269,-0.0273,0.03746,0.00468,0.03879,0.02382,0.65103,0.37347,0.37792,0.40427,0.12028,0.43616,1,0.47849,0.56224,0.39317,0.37518
"T3",0.7856,0.62495,0.66456,0.25386,0.05632,0.01963,0.0317,0.01682,0.01488,-0.02184,0.06342,0.52418,0.52861,0.4006,0.61011,0.1731,0.6207,0.47849,1,0.56901,0.69777,0.40949
"T4",0.60052,0.77201,0.58579,0.01815,0.09858,0.09808,0.09564,0.0972,0.05427,0.05151,0.10695,0.52116,0.46742,0.56599,0.5507,0.27419,0.61356,0.56224,0.56901,1,0.5167,0.66388
"T5",0.65773,0.56382,0.56734,0.22832,0.02296,0.03086,0.01285,0.03563,-0.00473,-0.02735,0.04329,0.40887,0.81062,0.52177,0.82287,0.19174,0.72462,0.39317,0.69777,0.5167,1,0.5039
"T6",0.46069,0.55486,0.42299,-0.00164,0.02229,0.02609,0.02702,0.02789,0.00926,0.01761,0.00273,0.46058,0.57291,0.87397,0.60579,0.2715,0.60942,0.37518,0.40949,0.66388,0.5039,1
