"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.81096,0.88073,0.2983,0.76728,0.68519,0.64863,0.58331,0.70085,0.67355,0.79185,0.20531,0.64359,0.60835,0.85793,0.72634,0.7968,0.01758,0.77455,0.61638,0.60801,0.64087
"C4",0.81096,1,0.9019,0.35893,0.74248,0.7976,0.67669,0.70524,0.72261,0.75633,0.84244,0.24313,0.62631,0.68038,0.722,0.80541,0.77797,0.05518,0.72005,0.75201,0.5855,0.71153
"CZ",0.88073,0.9019,1,0.32955,0.71166,0.69852,0.66978,0.64925,0.72074,0.71678,0.81263,0.29405,0.62884,0.65834,0.74893,0.76598,0.82745,0.08913,0.70541,0.66447,0.57183,0.67244
"EMG",0.2983,0.35893,0.32955,1,0.32815,0.3985,0.31586,0.42623,0.35279,0.39351,0.35944,0.04071,0.24742,0.31384,0.26418,0.28292,0.27772,0.04194,0.3281,0.51417,0.35882,0.36267
"F3",0.76728,0.74248,0.71166,0.32815,1,0.81408,0.74782,0.58758,0.8244,0.74281,0.89406,0.1173,0.51283,0.52248,0.64826,0.58488,0.57109,-0.06724,0.76113,0.59495,0.52292,0.531
"F4",0.68519,0.7976,0.69852,0.3985,0.81408,1,0.66164,0.78409,0.77089,0.88301,0.88342,0.15875,0.51279,0.5502,0.61033,0.59653,0.58157,0.05777,0.66534,0.71886,0.51786,0.57057
"F7",0.64863,0.67669,0.66978,0.31586,0.74782,0.66164,1,0.73456,0.84284,0.75344,0.68316,0.5084,0.55074,0.57968,0.58327,0.62341,0.62279,0.18618,0.73847,0.66702,0.50698,0.63516
"F8",0.58331,0.70524,0.64925,0.42623,0.58758,0.78409,0.73456,1,0.73164,0.85382,0.6713,0.40178,0.51566,0.58301,0.54876,0.59459,0.60201,0.24179,0.61593,0.82536,0.52416,0.62954
"FP1",0.70085,0.72261,0.72074,0.35279,0.8244,0.77089,0.84284,0.73164,1,0.88722,0.80689,0.40935,0.55874,0.57641,0.63498,0.643,0.64609,0.16852,0.66146,0.63269,0.53008,0.61922
"FP2",0.67355,0.75633,0.71678,0.39351,0.74281,0.88301,0.75344,0.85382,0.88722,1,0.82784,0.36597,0.55084,0.5869,0.62164,0.64402,0.64715,0.21263,0.63115,0.7147,0.5296,0.63652
"FZ",0.79185,0.84244,0.81263,0.35944,0.89406,0.88342,0.68316,0.6713,0.80689,0.82784,1,0.12997,0.56502,0.59002,0.6913,0.66434,0.64316,-0.02959,0.73265,0.67694,0.56276,0.60199
"LOG",0.20531,0.24313,0.29405,0.04071,0.1173,0.15875,0.5084,0.40178,0.40935,0.36597,0.12997,1,0.25823,0.26541,0.21149,0.29342,0.33939,0.76773,0.12852,0.22935,0.18555,0.35007
"O1",0.64359,0.62631,0.62884,0.24742,0.51283,0.51279,0.55074,0.51566,0.55874,0.55084,0.56502,0.25823,1,0.82619,0.74314,0.71923,0.7607,0.07672,0.58177,0.54758,0.65242,0.68876
"O2",0.60835,0.68038,0.65834,0.31384,0.52248,0.5502,0.57968,0.58301,0.57641,0.5869,0.59002,0.26541,0.82619,1,0.64266,0.78603,0.75069,0.06351,0.59619,0.63499,0.62125,0.77568
"P3",0.85793,0.722,0.74893,0.26418,0.64826,0.61033,0.58327,0.54876,0.63498,0.62164,0.6913,0.21149,0.74314,0.64266,1,0.74227,0.82665,0.03463,0.72829,0.59524,0.70715,0.6547
"P4",0.72634,0.80541,0.76598,0.28292,0.58488,0.59653,0.62341,0.59459,0.643,0.64402,0.66434,0.29342,0.71923,0.78603,0.74227,1,0.86408,0.08131,0.636,0.68054,0.54941,0.86607
"PZ",0.7968,0.77797,0.82745,0.27772,0.57109,0.58157,0.62279,0.60201,0.64609,0.64715,0.64316,0.33939,0.7607,0.75069,0.82665,0.86408,1,0.12772,0.63313,0.62383,0.57513,0.74446
"ROG",0.01758,0.05518,0.08913,0.04194,-0.06724,0.05777,0.18618,0.24179,0.16852,0.21263,-0.02959,0.76773,0.07672,0.06351,0.03463,0.08131,0.12772,1,-0.10552,0.06373,0.0287,0.15407
"T3",0.77455,0.72005,0.70541,0.3281,0.76113,0.66534,0.73847,0.61593,0.66146,0.63115,0.73265,0.12852,0.58177,0.59619,0.72829,0.636,0.63313,-0.10552,1,0.69736,0.70024,0.62885
"T4",0.61638,0.75201,0.66447,0.51417,0.59495,0.71886,0.66702,0.82536,0.63269,0.7147,0.67694,0.22935,0.54758,0.63499,0.59524,0.68054,0.62383,0.06373,0.69736,1,0.61403,0.77086
"T5",0.60801,0.5855,0.57183,0.35882,0.52292,0.51786,0.50698,0.52416,0.53008,0.5296,0.56276,0.18555,0.65242,0.62125,0.70715,0.54941,0.57513,0.0287,0.70024,0.61403,1,0.60001
"T6",0.64087,0.71153,0.67244,0.36267,0.531,0.57057,0.63516,0.62954,0.61922,0.63652,0.60199,0.35007,0.68876,0.77568,0.6547,0.86607,0.74446,0.15407,0.62885,0.77086,0.60001,1
