"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.81737,0.85774,0.50033,0.19003,0.74936,0.70475,0.61617,0.52816,0.63887,0.82288,0.4888,0.76627,0.67739,0.87005,0.76928,0.8185,0.48402,0.7679,-0.17874,0.77176,0.65631
"C4",0.81737,1,0.89744,0.48688,0.17111,0.85589,0.68491,0.68194,0.57885,0.63012,0.84014,0.4724,0.73389,0.74024,0.7787,0.86657,0.85175,0.5003,0.67052,-0.17582,0.71282,0.71515
"CZ",0.85774,0.89744,1,0.43675,0.19083,0.80353,0.66175,0.61652,0.5571,0.62592,0.86141,0.48375,0.74083,0.66659,0.79968,0.7744,0.87802,0.50455,0.64573,-0.2017,0.70002,0.61237
"EMG",0.50033,0.48688,0.43675,1,0.14169,0.5546,0.57279,0.55548,0.354,0.43175,0.48878,0.20207,0.39761,0.4272,0.4414,0.45608,0.44658,0.24888,0.70023,-0.07422,0.53249,0.46112
"F3",0.19003,0.17111,0.19083,0.14169,1,0.16268,0.15873,0.14836,0.12227,0.12503,0.1824,0.0918,0.17892,0.13978,0.18017,0.15233,0.18277,0.09998,0.19317,0.0017,0.19529,0.1298
"F4",0.74936,0.85589,0.80353,0.5546,0.16268,1,0.71977,0.7866,0.66285,0.68672,0.86785,0.47612,0.65901,0.64527,0.6821,0.70574,0.71353,0.54757,0.67476,-0.11276,0.69179,0.6481
"F7",0.70475,0.68491,0.66175,0.57279,0.15873,0.71977,1,0.84664,0.80715,0.8997,0.61946,0.72198,0.67592,0.65593,0.68782,0.67802,0.67866,0.67272,0.76058,-0.04167,0.7144,0.65392
"F8",0.61617,0.68194,0.61652,0.55548,0.14836,0.7866,0.84664,1,0.86957,0.83327,0.58504,0.63696,0.62521,0.62135,0.63488,0.6496,0.63028,0.7262,0.64276,0.06526,0.66721,0.65128
"FP1",0.52816,0.57885,0.5571,0.354,0.12227,0.66285,0.80715,0.86957,1,0.90037,0.50345,0.75184,0.55876,0.52621,0.55373,0.52849,0.52926,0.77118,0.46385,0.10385,0.52833,0.52514
"FP2",0.63887,0.63012,0.62592,0.43175,0.12503,0.68672,0.8997,0.83327,0.90037,1,0.59841,0.78253,0.61702,0.58043,0.61938,0.59462,0.60225,0.71167,0.59547,-0.00462,0.60758,0.57616
"FZ",0.82288,0.84014,0.86141,0.48878,0.1824,0.86785,0.61946,0.58504,0.50345,0.59841,1,0.40989,0.65137,0.61309,0.69338,0.69228,0.7268,0.42156,0.64952,-0.20964,0.65137,0.59332
"LOG",0.4888,0.4724,0.48375,0.20207,0.0918,0.47612,0.72198,0.63696,0.75184,0.78253,0.40989,1,0.54299,0.5227,0.523,0.50194,0.50668,0.77006,0.3977,0.01865,0.48188,0.50196
"O1",0.76627,0.73389,0.74083,0.39761,0.17892,0.65901,0.67592,0.62521,0.55876,0.61702,0.65137,0.54299,1,0.80018,0.89238,0.79212,0.86062,0.58014,0.66796,-0.14127,0.85172,0.71801
"O2",0.67739,0.74024,0.66659,0.4272,0.13978,0.64527,0.65593,0.62135,0.52621,0.58043,0.61309,0.5227,0.80018,1,0.75101,0.88836,0.79447,0.53236,0.63053,-0.0689,0.75065,0.914
"P3",0.87005,0.7787,0.79968,0.4414,0.18017,0.6821,0.68782,0.63488,0.55373,0.61938,0.69338,0.523,0.89238,0.75101,1,0.80727,0.87791,0.55218,0.72838,-0.17567,0.84993,0.69078
"P4",0.76928,0.86657,0.7744,0.45608,0.15233,0.70574,0.67802,0.6496,0.52849,0.59462,0.69228,0.50194,0.79212,0.88836,0.80727,1,0.89413,0.51214,0.67467,-0.12487,0.76703,0.8469
"PZ",0.8185,0.85175,0.87802,0.44658,0.18277,0.71353,0.67866,0.63028,0.52926,0.60225,0.7268,0.50668,0.86062,0.79447,0.87791,0.89413,1,0.53431,0.67236,-0.17782,0.79455,0.7243
"ROG",0.48402,0.5003,0.50455,0.24888,0.09998,0.54757,0.67272,0.7262,0.77118,0.71167,0.42156,0.77006,0.58014,0.53236,0.55218,0.51214,0.53431,1,0.42346,0.04517,0.55654,0.49774
"T3",0.7679,0.67052,0.64573,0.70023,0.19317,0.67476,0.76058,0.64276,0.46385,0.59547,0.64952,0.3977,0.66796,0.63053,0.72838,0.67467,0.67236,0.42346,1,-0.21687,0.79351,0.628
"T4",-0.17874,-0.17582,-0.2017,-0.07422,0.0017,-0.11276,-0.04167,0.06526,0.10385,-0.00462,-0.20964,0.01865,-0.14127,-0.0689,-0.17567,-0.12487,-0.17782,0.04517,-0.21687,1,-0.17422,-0.00093
"T5",0.77176,0.71282,0.70002,0.53249,0.19529,0.69179,0.7144,0.66721,0.52833,0.60758,0.65137,0.48188,0.85172,0.75065,0.84993,0.76703,0.79455,0.55654,0.79351,-0.17422,1,0.71381
"T6",0.65631,0.71515,0.61237,0.46112,0.1298,0.6481,0.65392,0.65128,0.52514,0.57616,0.59332,0.50196,0.71801,0.914,0.69078,0.8469,0.7243,0.49774,0.628,-0.00093,0.71381,1
