"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.65679,0.81404,0.15258,-0.05309,0.57916,0.62132,0.49326,0.58203,0.52624,0.7742,0.48004,0.40803,0.47922,0.69668,0.55885,0.68049,0.45109,0.67109,0.43038,0.58402,0.44057
"C4",0.65679,1,0.77529,0.10487,-0.10015,0.68626,0.51847,0.6221,0.53218,0.57585,0.70294,0.47723,0.46329,0.55291,0.60154,0.75342,0.71284,0.53539,0.46531,0.68296,0.50021,0.65725
"CZ",0.81404,0.77529,1,0.12886,-0.06022,0.60687,0.53211,0.50755,0.53368,0.52808,0.8085,0.46253,0.43477,0.53628,0.66763,0.63544,0.7625,0.44442,0.51263,0.44349,0.5071,0.46127
"EMG",0.15258,0.10487,0.12886,1,0.31768,-0.02068,0.0993,0.0271,-0.03615,-0.06698,0.09984,-0.00207,-0.14822,0.04707,0.08108,0.07714,0.10567,-0.04439,0.29059,0.07986,0.25876,-0.06025
"F3",-0.05309,-0.10015,-0.06022,0.31768,1,-0.24144,-0.13194,-0.2298,-0.29606,-0.31341,-0.11048,-0.17844,-0.37699,-0.14465,-0.13815,-0.12988,-0.08507,-0.25465,0.11907,-0.20021,0.13427,-0.33492
"F4",0.57916,0.68626,0.60687,-0.02068,-0.24144,1,0.62304,0.84919,0.68038,0.80146,0.78231,0.51129,0.46051,0.45636,0.49804,0.52904,0.52018,0.59047,0.37953,0.58717,0.37059,0.53117
"F7",0.62132,0.51847,0.53211,0.0993,-0.13194,0.62304,1,0.65028,0.84863,0.6962,0.62928,0.80327,0.43903,0.45189,0.46379,0.49247,0.50611,0.54586,0.51737,0.46457,0.38546,0.46272
"F8",0.49326,0.6221,0.50755,0.0271,-0.2298,0.84919,0.65028,1,0.66975,0.81967,0.61907,0.57354,0.47379,0.46704,0.45954,0.5103,0.49456,0.72316,0.39379,0.6743,0.405,0.56042
"FP1",0.58203,0.53218,0.53368,-0.03615,-0.29606,0.68038,0.84863,0.66975,1,0.79259,0.66035,0.78254,0.55031,0.47548,0.50479,0.51909,0.52927,0.59547,0.3789,0.49162,0.33928,0.52553
"FP2",0.52624,0.57585,0.52808,-0.06698,-0.31341,0.80146,0.6962,0.81967,0.79259,1,0.69078,0.64562,0.55923,0.49667,0.48557,0.53119,0.5216,0.70871,0.31447,0.52198,0.324,0.55431
"FZ",0.7742,0.70294,0.8085,0.09984,-0.11048,0.78231,0.62928,0.61907,0.66035,0.69078,1,0.50576,0.42007,0.46362,0.5638,0.54689,0.61013,0.50183,0.50139,0.46396,0.45636,0.443
"LOG",0.48004,0.47723,0.46253,-0.00207,-0.17844,0.51129,0.80327,0.57354,0.78254,0.64562,0.50576,1,0.51266,0.4516,0.48491,0.50808,0.52709,0.65447,0.33579,0.41911,0.32999,0.45492
"O1",0.40803,0.46329,0.43477,-0.14822,-0.37699,0.46051,0.43903,0.47379,0.55031,0.55923,0.42007,0.51266,1,0.72595,0.69444,0.574,0.63776,0.50992,0.21127,0.40975,0.41993,0.55578
"O2",0.47922,0.55291,0.53628,0.04707,-0.14465,0.45636,0.45189,0.46704,0.47548,0.49667,0.46362,0.4516,0.72595,1,0.62413,0.78644,0.71854,0.41926,0.35855,0.45605,0.47692,0.65906
"P3",0.69668,0.60154,0.66763,0.08108,-0.13815,0.49804,0.46379,0.45954,0.50479,0.48557,0.5638,0.48491,0.69444,0.62413,1,0.66265,0.82357,0.47168,0.49612,0.43,0.72038,0.50909
"P4",0.55885,0.75342,0.63544,0.07714,-0.12988,0.52904,0.49247,0.5103,0.51909,0.53119,0.54689,0.50808,0.574,0.78644,0.66265,1,0.83047,0.50997,0.41231,0.57489,0.49534,0.77509
"PZ",0.68049,0.71284,0.7625,0.10567,-0.08507,0.52018,0.50611,0.49456,0.52927,0.5216,0.61013,0.52709,0.63776,0.71854,0.82357,0.83047,1,0.50175,0.44215,0.47634,0.57955,0.57837
"ROG",0.45109,0.53539,0.44442,-0.04439,-0.25465,0.59047,0.54586,0.72316,0.59547,0.70871,0.50183,0.65447,0.50992,0.41926,0.47168,0.50997,0.50175,1,0.32471,0.55843,0.35107,0.5239
"T3",0.67109,0.46531,0.51263,0.29059,0.11907,0.37953,0.51737,0.39379,0.3789,0.31447,0.50139,0.33579,0.21127,0.35855,0.49612,0.41231,0.44215,0.32471,1,0.42444,0.64917,0.31248
"T4",0.43038,0.68296,0.44349,0.07986,-0.20021,0.58717,0.46457,0.6743,0.49162,0.52198,0.46396,0.41911,0.40975,0.45605,0.43,0.57489,0.47634,0.55843,0.42444,1,0.41118,0.74935
"T5",0.58402,0.50021,0.5071,0.25876,0.13427,0.37059,0.38546,0.405,0.33928,0.324,0.45636,0.32999,0.41993,0.47692,0.72038,0.49534,0.57955,0.35107,0.64917,0.41118,1,0.33364
"T6",0.44057,0.65725,0.46127,-0.06025,-0.33492,0.53117,0.46272,0.56042,0.52553,0.55431,0.443,0.45492,0.55578,0.65906,0.50909,0.77509,0.57837,0.5239,0.31248,0.74935,0.33364,1
