"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.83907,0.90402,0.11065,0.8268,0.80398,0.57602,0.64865,0.57185,0.59307,0.82808,0.5613,0.73879,0.68463,0.91877,0.84852,0.90249,0.57602,0.70825,0.6606,0.59006,0.67835
"C4",0.83907,1,0.84491,0.07848,0.72836,0.83343,0.50385,0.69598,0.55884,0.57859,0.75292,0.54213,0.6898,0.66498,0.79746,0.92813,0.84622,0.53201,0.61572,0.71799,0.56221,0.71889
"CZ",0.90402,0.84491,1,0.09602,0.81905,0.86034,0.54971,0.63091,0.54491,0.57667,0.91355,0.51261,0.65702,0.6675,0.81251,0.84484,0.87453,0.55417,0.63928,0.62183,0.48311,0.66712
"EMG",0.11065,0.07848,0.09602,1,0.06343,0.09268,0.0869,0.14095,0.0812,0.12964,0.10427,0.08442,0.20689,0.08681,0.16361,0.0832,0.14689,0.06213,0.13397,0.16689,0.21456,0.06109
"F3",0.8268,0.72836,0.81905,0.06343,1,0.81539,0.76751,0.63848,0.67074,0.6335,0.86025,0.56642,0.59507,0.65732,0.72927,0.71553,0.72759,0.66183,0.74714,0.66632,0.47222,0.68351
"F4",0.80398,0.83343,0.86034,0.09268,0.81539,1,0.61064,0.75196,0.62855,0.7027,0.89095,0.60561,0.61775,0.67624,0.72351,0.78092,0.75786,0.62421,0.63538,0.70615,0.47382,0.69708
"F7",0.57602,0.50385,0.54971,0.0869,0.76751,0.61064,1,0.65004,0.80805,0.69153,0.58753,0.66955,0.43767,0.57553,0.52527,0.51089,0.51303,0.85121,0.64377,0.61165,0.35351,0.60469
"F8",0.64865,0.69598,0.63091,0.14095,0.63848,0.75196,0.65004,1,0.75664,0.86068,0.62474,0.79232,0.57501,0.61949,0.61006,0.6232,0.63517,0.74444,0.53955,0.74424,0.46839,0.63908
"FP1",0.57185,0.55884,0.54491,0.0812,0.67074,0.62855,0.80805,0.75664,1,0.89509,0.58007,0.82191,0.44078,0.58824,0.52308,0.51596,0.51232,0.872,0.46482,0.58422,0.32863,0.60316
"FP2",0.59307,0.57859,0.57667,0.12964,0.6335,0.7027,0.69153,0.86068,0.89509,1,0.62619,0.84459,0.49072,0.62481,0.53719,0.52925,0.54567,0.80554,0.4431,0.5889,0.35947,0.61311
"FZ",0.82808,0.75292,0.91355,0.10427,0.86025,0.89095,0.58753,0.62474,0.58007,0.62619,1,0.51799,0.61207,0.65064,0.73433,0.73746,0.75811,0.57269,0.64245,0.62208,0.4624,0.64282
"LOG",0.5613,0.54213,0.51261,0.08442,0.56642,0.60561,0.66955,0.79232,0.82191,0.84459,0.51799,1,0.48763,0.61832,0.54023,0.51366,0.52539,0.80206,0.50212,0.58668,0.37025,0.59108
"O1",0.73879,0.6898,0.65702,0.20689,0.59507,0.61775,0.43767,0.57501,0.44078,0.49072,0.61207,0.48763,1,0.71599,0.81688,0.71266,0.80036,0.44823,0.59968,0.61589,0.88783,0.65034
"O2",0.68463,0.66498,0.6675,0.08681,0.65732,0.67624,0.57553,0.61949,0.58824,0.62481,0.65064,0.61832,0.71599,1,0.706,0.74466,0.73323,0.59287,0.58422,0.59491,0.504,0.86763
"P3",0.91877,0.79746,0.81251,0.16361,0.72927,0.72351,0.52527,0.61006,0.52308,0.53719,0.73433,0.54023,0.81688,0.706,1,0.84672,0.91244,0.54309,0.7354,0.66362,0.66705,0.69262
"P4",0.84852,0.92813,0.84484,0.0832,0.71553,0.78092,0.51089,0.6232,0.51596,0.52925,0.73746,0.51366,0.71266,0.74466,0.84672,1,0.90424,0.53148,0.63841,0.69473,0.5501,0.78214
"PZ",0.90249,0.84622,0.87453,0.14689,0.72759,0.75786,0.51303,0.63517,0.51232,0.54567,0.75811,0.52539,0.80036,0.73323,0.91244,0.90424,1,0.52773,0.66417,0.65715,0.61966,0.72016
"ROG",0.57602,0.53201,0.55417,0.06213,0.66183,0.62421,0.85121,0.74444,0.872,0.80554,0.57269,0.80206,0.44823,0.59287,0.54309,0.53148,0.52773,1,0.54901,0.60849,0.36144,0.61926
"T3",0.70825,0.61572,0.63928,0.13397,0.74714,0.63538,0.64377,0.53955,0.46482,0.4431,0.64245,0.50212,0.59968,0.58422,0.7354,0.63841,0.66417,0.54901,1,0.67892,0.57012,0.61331
"T4",0.6606,0.71799,0.62183,0.16689,0.66632,0.70615,0.61165,0.74424,0.58422,0.5889,0.62208,0.58668,0.61589,0.59491,0.66362,0.69473,0.65715,0.60849,0.67892,1,0.58773,0.6948
"T5",0.59006,0.56221,0.48311,0.21456,0.47222,0.47382,0.35351,0.46839,0.32863,0.35947,0.4624,0.37025,0.88783,0.504,0.66705,0.5501,0.61966,0.36144,0.57012,0.58773,1,0.47784
"T6",0.67835,0.71889,0.66712,0.06109,0.68351,0.69708,0.60469,0.63908,0.60316,0.61311,0.64282,0.59108,0.65034,0.86763,0.69262,0.78214,0.72016,0.61926,0.61331,0.6948,0.47784,1
