"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.69637,0.75747,0.3542,0.70833,0.62499,0.49736,0.54019,0.52568,0.45761,0.69794,0.37538,0.61206,0.60457,0.81279,0.67551,0.71006,0.37973,0.65083,0.54621,0.64418,0.54238
"C4",0.69637,1,0.83771,0.29672,0.59779,0.67011,0.38429,0.53659,0.44691,0.43608,0.70132,0.31473,0.51811,0.59741,0.63298,0.78504,0.69949,0.3164,0.47202,0.59197,0.48094,0.60303
"CZ",0.75747,0.83771,1,0.33734,0.61933,0.65716,0.36153,0.49553,0.41974,0.39316,0.73894,0.28786,0.48663,0.53709,0.65301,0.69465,0.69363,0.30791,0.46539,0.54052,0.47168,0.50767
"EMG",0.3542,0.29672,0.33734,1,0.31812,0.30251,0.26223,0.30562,0.27037,0.24268,0.31616,0.16132,0.27979,0.25597,0.32757,0.27256,0.29429,0.22368,0.33851,0.32848,0.30169,0.25231
"F3",0.70833,0.59779,0.61933,0.31812,1,0.77791,0.7596,0.72643,0.82977,0.7327,0.84917,0.6118,0.52736,0.5381,0.60084,0.54194,0.57359,0.55595,0.69875,0.55743,0.52214,0.47553
"F4",0.62499,0.67011,0.65716,0.30251,0.77791,1,0.52066,0.82509,0.64138,0.73075,0.88839,0.4106,0.45098,0.49164,0.52718,0.52654,0.53478,0.5185,0.52271,0.59518,0.43624,0.45057
"F7",0.49736,0.38429,0.36153,0.26223,0.7596,0.52066,1,0.64309,0.85559,0.7758,0.5191,0.74313,0.51151,0.49226,0.48672,0.43567,0.46097,0.59807,0.79067,0.47007,0.49944,0.44674
"F8",0.54019,0.53659,0.49553,0.30562,0.72643,0.82509,0.64309,1,0.73022,0.85027,0.69541,0.55718,0.46231,0.4973,0.49638,0.47808,0.49871,0.6985,0.57468,0.60571,0.44113,0.44415
"FP1",0.52568,0.44691,0.41974,0.27037,0.82977,0.64138,0.85559,0.73022,1,0.85387,0.64351,0.74467,0.48697,0.49197,0.48188,0.45044,0.48269,0.66701,0.68868,0.49924,0.47396,0.4396
"FP2",0.45761,0.43608,0.39316,0.24268,0.7327,0.73075,0.7758,0.85027,0.85387,1,0.62707,0.65522,0.45955,0.47442,0.43641,0.42536,0.45408,0.71811,0.61406,0.50556,0.42532,0.42304
"FZ",0.69794,0.70132,0.73894,0.31616,0.84917,0.88839,0.5191,0.69541,0.64351,0.62707,1,0.4128,0.46058,0.50046,0.56787,0.55723,0.572,0.44529,0.54064,0.5581,0.4616,0.45543
"LOG",0.37538,0.31473,0.28786,0.16132,0.6118,0.4106,0.74313,0.55718,0.74467,0.65522,0.4128,1,0.3838,0.3748,0.36951,0.33673,0.3637,0.70784,0.55833,0.34696,0.35777,0.34363
"O1",0.61206,0.51811,0.48663,0.27979,0.52736,0.45098,0.51151,0.46231,0.48697,0.45955,0.46058,0.3838,1,0.78602,0.74263,0.65631,0.72521,0.36324,0.5888,0.44578,0.78149,0.60656
"O2",0.60457,0.59741,0.53709,0.25597,0.5381,0.49164,0.49226,0.4973,0.49197,0.47442,0.50046,0.3748,0.78602,1,0.70772,0.75754,0.79444,0.37293,0.54763,0.50014,0.67144,0.68665
"P3",0.81279,0.63298,0.65301,0.32757,0.60084,0.52718,0.48672,0.49638,0.48188,0.43641,0.56787,0.36951,0.74263,0.70772,1,0.71053,0.79142,0.36111,0.63264,0.51608,0.75619,0.59904
"P4",0.67551,0.78504,0.69465,0.27256,0.54194,0.52654,0.43567,0.47808,0.45044,0.42536,0.55723,0.33673,0.65631,0.75754,0.71053,1,0.83092,0.31965,0.51525,0.54454,0.57078,0.69229
"PZ",0.71006,0.69949,0.69363,0.29429,0.57359,0.53478,0.46097,0.49871,0.48269,0.45408,0.572,0.3637,0.72521,0.79444,0.79142,0.83092,1,0.37245,0.53756,0.52267,0.63228,0.6398
"ROG",0.37973,0.3164,0.30791,0.22368,0.55595,0.5185,0.59807,0.6985,0.66701,0.71811,0.44529,0.70784,0.36324,0.37293,0.36111,0.31965,0.37245,1,0.47282,0.39281,0.34809,0.32326
"T3",0.65083,0.47202,0.46539,0.33851,0.69875,0.52271,0.79067,0.57468,0.68868,0.61406,0.54064,0.55833,0.5888,0.54763,0.63264,0.51525,0.53756,0.47282,1,0.50842,0.62408,0.49862
"T4",0.54621,0.59197,0.54052,0.32848,0.55743,0.59518,0.47007,0.60571,0.49924,0.50556,0.5581,0.34696,0.44578,0.50014,0.51608,0.54454,0.52267,0.39281,0.50842,1,0.44217,0.51166
"T5",0.64418,0.48094,0.47168,0.30169,0.52214,0.43624,0.49944,0.44113,0.47396,0.42532,0.4616,0.35777,0.78149,0.67144,0.75619,0.57078,0.63228,0.34809,0.62408,0.44217,1,0.54749
"T6",0.54238,0.60303,0.50767,0.25231,0.47553,0.45057,0.44674,0.44415,0.4396,0.42304,0.45543,0.34363,0.60656,0.68665,0.59904,0.69229,0.6398,0.32326,0.49862,0.51166,0.54749,1
