"","C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
"C3",1,0.76318,0.85625,0.36556,0.26772,0.13589,0.29438,0.67013,0.27556,0.25282,0.24036,0.40481,0.55125,0.42664,0.81813,0.64265,0.76413,0.42081,0.72877,0.6394,0.67251,0.53859
"C4",0.76318,1,0.84572,0.32474,0.21903,0.0888,0.25097,0.7324,0.24175,0.22283,0.20061,0.47995,0.52155,0.49367,0.69812,0.80723,0.81364,0.48946,0.57381,0.72569,0.56617,0.62943
"CZ",0.85625,0.84572,1,0.34018,0.24907,0.12782,0.27357,0.70612,0.25409,0.23441,0.22471,0.40365,0.47231,0.41374,0.65398,0.61341,0.74493,0.42316,0.5806,0.60897,0.53619,0.48345
"EMG",0.36556,0.32474,0.34018,1,0.30061,0.14845,0.32523,0.37351,0.27727,0.27207,0.28573,0.07927,0.2489,0.19086,0.29913,0.29545,0.31865,0.1021,0.41664,0.37351,0.33296,0.29238
"F3",0.26772,0.21903,0.24907,0.30061,1,0.53823,0.84133,0.24756,0.86832,0.80261,0.89699,0.01273,0.15752,0.0634,0.20269,0.17819,0.2106,0.02694,0.30043,0.24779,0.23587,0.16681
"F4",0.13589,0.0888,0.12782,0.14845,0.53823,1,0.429,0.06222,0.50163,0.58566,0.60495,-0.06128,0.01278,-0.06233,0.0871,0.07254,0.09035,-0.02862,0.17122,0.13561,0.09898,0.04726
"F7",0.29438,0.25097,0.27357,0.32523,0.84133,0.429,1,0.2859,0.87518,0.73521,0.70076,0.05329,0.17742,0.06911,0.23133,0.20173,0.24046,0.06922,0.34536,0.28828,0.2769,0.20136
"F8",0.67013,0.7324,0.70612,0.37351,0.24756,0.06222,0.2859,1,0.25759,0.25887,0.23582,0.58474,0.50278,0.46797,0.56966,0.5693,0.59071,0.60304,0.58488,0.736,0.55852,0.55912
"FP1",0.27556,0.24175,0.25409,0.27727,0.86832,0.50163,0.87518,0.25759,1,0.86733,0.8051,0.04569,0.14867,0.05911,0.21671,0.1967,0.2254,0.05798,0.30761,0.27213,0.23998,0.19312
"FP2",0.25282,0.22283,0.23441,0.27207,0.80261,0.58566,0.73521,0.25887,0.86733,1,0.85256,0.0336,0.1293,0.05345,0.19036,0.16989,0.20022,0.04545,0.28259,0.26153,0.21203,0.18272
"FZ",0.24036,0.20061,0.22471,0.28573,0.89699,0.60495,0.70076,0.23582,0.8051,0.85256,1,0.00049,0.14628,0.06878,0.17806,0.15089,0.18117,0.01204,0.2705,0.23309,0.2087,0.15189
"LOG",0.40481,0.47995,0.40365,0.07927,0.01273,-0.06128,0.05329,0.58474,0.04569,0.0336,0.00049,1,0.47836,0.51441,0.45102,0.47645,0.45864,0.98607,0.3707,0.46212,0.45918,0.51083
"O1",0.55125,0.52155,0.47231,0.2489,0.15752,0.01278,0.17742,0.50278,0.14867,0.1293,0.14628,0.47836,1,0.7254,0.70313,0.62681,0.67027,0.48433,0.58747,0.49127,0.84394,0.62163
"O2",0.42664,0.49367,0.41374,0.19086,0.0634,-0.06233,0.06911,0.46797,0.05911,0.05345,0.06878,0.51441,0.7254,1,0.51388,0.61189,0.56015,0.51682,0.39588,0.42228,0.55715,0.71606
"P3",0.81813,0.69812,0.65398,0.29913,0.20269,0.0871,0.23133,0.56966,0.21671,0.19036,0.17806,0.45102,0.70313,0.51388,1,0.76265,0.86549,0.45804,0.71149,0.62187,0.79557,0.63055
"P4",0.64265,0.80723,0.61341,0.29545,0.17819,0.07254,0.20173,0.5693,0.1967,0.16989,0.15089,0.47645,0.62681,0.61189,0.76265,1,0.87395,0.48216,0.60129,0.69422,0.66062,0.77775
"PZ",0.76413,0.81364,0.74493,0.31865,0.2106,0.09035,0.24046,0.59071,0.2254,0.20022,0.18117,0.45864,0.67027,0.56015,0.86549,0.87395,1,0.46665,0.62587,0.62695,0.69323,0.65556
"ROG",0.42081,0.48946,0.42316,0.1021,0.02694,-0.02862,0.06922,0.60304,0.05798,0.04545,0.01204,0.98607,0.48433,0.51682,0.45804,0.48216,0.46665,1,0.38831,0.47426,0.47032,0.50993
"T3",0.72877,0.57381,0.5806,0.41664,0.30043,0.17122,0.34536,0.58488,0.30761,0.28259,0.2705,0.3707,0.58747,0.39588,0.71149,0.60129,0.62587,0.38831,1,0.68837,0.81545,0.58469
"T4",0.6394,0.72569,0.60897,0.37351,0.24779,0.13561,0.28828,0.736,0.27213,0.26153,0.23309,0.46212,0.49127,0.42228,0.62187,0.69422,0.62695,0.47426,0.68837,1,0.62264,0.69035
"T5",0.67251,0.56617,0.53619,0.33296,0.23587,0.09898,0.2769,0.55852,0.23998,0.21203,0.2087,0.45918,0.84394,0.55715,0.79557,0.66062,0.69323,0.47032,0.81545,0.62264,1,0.6407
"T6",0.53859,0.62943,0.48345,0.29238,0.16681,0.04726,0.20136,0.55912,0.19312,0.18272,0.15189,0.51083,0.62163,0.71606,0.63055,0.77775,0.65556,0.50993,0.58469,0.69035,0.6407,1
