"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
0.0084,0.00807,0.00822,0.01875,1.10281,0.0067,0.00801,0.0077,0.00793,0.00744,0.00688,0.0024,0.00693,0.0067,0.00844,0.00717,0.00838,0.00348,0.00676,0.00646,0.00615,0.00592
0.01232,0.01037,0.01254,0.36302,0.59292,0.01374,0.01568,0.01451,0.01671,0.01746,0.01222,0.0026,0.00753,0.00732,0.00949,0.00816,0.00834,0.00368,0.01107,0.00993,0.00845,0.00702
0.01288,0.01229,0.01463,0.55026,0.76872,0.01173,0.01181,0.01093,0.01415,0.01283,0.01323,0.00231,0.00804,0.00802,0.01029,0.00892,0.01011,0.00376,0.00897,0.00887,0.00769,0.00751
0.0094,0.00965,0.01181,0.01617,0.99166,0.00799,0.00819,0.00844,0.00815,0.00782,0.00794,0.00241,0.00798,0.0081,0.00916,0.00836,0.00959,0.0036,0.00777,0.00728,0.00763,0.00689
0.01008,0.00945,0.0109,0.00888,1.38313,0.00914,0.00896,0.00904,0.01002,0.00834,0.00931,0.00241,0.00968,0.00953,0.00902,0.00879,0.01002,0.00327,0.00847,0.00874,0.00802,0.00833
0.01186,0.01254,0.01289,0.15621,0.84104,0.01439,0.0167,0.01625,0.01375,0.01463,0.01363,0.00241,0.01035,0.01164,0.01068,0.01064,0.01076,0.00424,0.01273,0.01258,0.00941,0.01062
0.01457,0.01547,0.01397,0.34029,0.55266,0.01614,0.01872,0.01872,0.01616,0.01782,0.01469,0.00317,0.01137,0.01118,0.01231,0.01264,0.01252,0.00444,0.01426,0.01501,0.01207,0.01119
0.01007,0.01159,0.01075,0.02336,0.79057,0.00913,0.00996,0.01025,0.01056,0.00834,0.00927,0.00286,0.00703,0.0077,0.00926,0.00905,0.00922,0.00352,0.00839,0.00845,0.00692,0.00793
0.00807,0.00887,0.00846,0.01069,1.08934,0.00943,0.00861,0.00906,0.00965,0.00724,0.00931,0.00253,0.00597,0.00597,0.00654,0.00722,0.00703,0.00348,0.00757,0.00738,0.00552,0.00597
0.01041,0.00972,0.0114,0.01488,0.82482,0.00969,0.01181,0.01019,0.01066,0.00886,0.00894,0.0027,0.00814,0.00898,0.00968,0.00873,0.00966,0.00407,0.0106,0.00892,0.00905,0.00775
0.01328,0.01303,0.01565,0.04517,0.58112,0.01394,0.01278,0.01391,0.01358,0.01463,0.01478,0.00239,0.00912,0.00972,0.01119,0.01082,0.01129,0.00395,0.01053,0.01119,0.00877,0.00931
0.01022,0.01042,0.01114,0.01812,0.63545,0.01036,0.01139,0.01069,0.00987,0.01036,0.00935,0.00206,0.00994,0.00965,0.00944,0.0092,0.00994,0.0043,0.01018,0.00947,0.00927,0.00793
0.00928,0.00924,0.01016,0.00849,0.94306,0.00795,0.00893,0.0093,0.00842,0.00813,0.00816,0.00233,0.00834,0.00783,0.00799,0.00797,0.00893,0.00374,0.00811,0.00726,0.00754,0.00695
0.01008,0.01098,0.01272,0.00828,0.73987,0.00927,0.00789,0.00859,0.00822,0.00767,0.00904,0.00209,0.00709,0.00789,0.00896,0.00941,0.00974,0.00343,0.00767,0.00736,0.00736,0.00734
