"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T5","T6"
1.39711,1.58045,2.04373,51.02326,1.02264,1.39307,0.43811,1.08639,0.51861,0.86016,1.32709,0.22938,1.41578,1.0108,1.86889,1.89391,2.51104,0.31982,0.66119,1.01434,1.13916
1.19521,0.96703,1.85829,29.38079,0.84626,0.87926,0.44353,0.65267,0.46408,0.60715,1.11365,0.18807,0.93028,0.70746,1.2114,0.96071,1.46049,0.19994,0.56239,0.71337,0.59963
0.64689,0.74738,1.1099,18.78111,0.56181,0.72887,0.35204,0.64252,0.44432,0.63263,0.7677,0.16228,0.76551,0.7388,0.6542,0.88742,0.89369,0.18586,0.33706,0.47512,0.64684
0.4989,0.76035,0.85625,13.64537,0.3793,0.62994,0.2492,0.57252,0.30618,0.5102,0.61814,0.14944,0.64138,0.57711,0.74776,0.74271,0.85278,0.14814,0.28412,0.53216,0.55128
0.77326,0.86949,1.20261,21.37673,0.55318,0.71221,0.35383,0.62899,0.39261,0.58969,0.77474,0.16668,0.85832,0.68499,0.93336,1.01331,1.24124,0.20265,0.38159,0.61063,0.71807
0.65374,0.85213,1.05772,9.19079,0.5413,0.76997,0.33948,0.67041,0.44534,0.6182,0.78874,0.18603,0.75056,0.65712,0.72292,0.92307,1.0017,0.20506,0.36805,0.49424,0.69539
0.66063,0.78791,1.00654,4.73375,0.53821,0.78494,0.31664,0.71727,0.39593,0.60082,0.77607,0.16054,0.79348,0.6347,0.77901,0.76171,0.89838,0.2071,0.39445,0.52007,0.60046
0.54625,0.67166,0.87142,4.03087,0.5098,0.62999,0.31726,0.62056,0.39429,0.55947,0.68144,0.17522,0.82255,0.68026,0.59586,0.68631,0.92877,0.19492,0.3297,0.44523,0.51162
0.50368,0.48701,0.72485,2.41041,0.42373,0.6317,0.30574,0.7616,0.32659,0.75715,0.56242,0.11089,0.96069,0.87377,0.71568,0.75015,0.90304,0.18759,0.3698,0.45149,0.55246
0.60413,0.79511,0.93112,0.58756,0.47415,0.73219,0.28974,0.7419,0.33671,0.60542,0.63303,0.12063,0.75305,0.81698,0.60302,0.96244,0.96268,0.25416,0.3016,0.41414,0.72047
0.46442,0.59671,0.76875,0.36521,0.44114,0.64219,0.3259,0.58162,0.40538,0.57743,0.65489,0.1402,0.73317,0.64175,0.56003,0.74571,0.84475,0.15796,0.32866,0.39843,0.53268
