"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
0.01016,0.00895,0.0133,0.00262,0.01213,0.01223,0.01539,0.00906,0.01219,0.00979,0.011,0.00318,0.0102,0.01109,0.01213,0.01311,0.01279,0.00471,0.00766,0.01234,0.00869,0.00984
0.01533,0.0081,0.0211,0.00268,0.01006,0.01084,0.00839,0.00849,0.01413,0.01201,0.01477,0.00458,0.02133,0.02147,0.03174,0.02331,0.03385,0.00554,0.00753,0.01506,0.01154,0.01045
0.02085,0.00834,0.02479,0.00319,0.01063,0.00992,0.0082,0.00802,0.01345,0.00987,0.01558,0.00333,0.05127,0.0358,0.05465,0.06637,0.08311,0.0056,0.01027,0.02095,0.02201,0.01863
0.01133,0.00816,0.01409,0.002,0.01024,0.01051,0.00658,0.00818,0.01471,0.01357,0.01476,0.00419,0.01547,0.0114,0.01511,0.01392,0.01276,0.00484,0.00633,0.0109,0.01014,0.00937
0.01875,0.02849,0.0218,0.00145,0.07984,0.01383,0.04882,0.08529,0.72448,0.25331,0.02645,0.00315,0.01546,0.01356,0.02126,0.0186,0.02112,0.00476,0.01458,0.01826,0.01227,0.01017
0.01279,0.00675,0.01871,0.00158,0.01098,0.01083,0.00791,0.00825,0.01331,0.01145,0.01544,0.00387,0.02255,0.01268,0.01584,0.01312,0.01682,0.0045,0.00763,0.01146,0.01165,0.01068
0.01559,0.00898,0.02183,0.0019,0.01172,0.01063,0.00836,0.00859,0.01182,0.01026,0.01603,0.00374,0.02036,0.02581,0.01939,0.02128,0.02333,0.0053,0.00701,0.01662,0.00985,0.01654
0.01456,0.00791,0.01994,0.00164,0.01241,0.0126,0.00875,0.00959,0.01436,0.01184,0.01728,0.00419,0.02176,0.02601,0.01736,0.01684,0.0188,0.00538,0.00728,0.01517,0.01006,0.01523
0.01173,0.00752,0.01479,0.0016,0.01051,0.0103,0.00748,0.00789,0.01386,0.00983,0.01427,0.00337,0.01494,0.01499,0.01324,0.01249,0.01355,0.00423,0.00632,0.01108,0.00834,0.01032
0.01223,0.00714,0.01489,0.00174,0.01045,0.00955,0.00708,0.00832,0.01083,0.01076,0.01169,0.00303,0.01333,0.01399,0.01467,0.01413,0.01413,0.0047,0.00681,0.01254,0.00847,0.01106
0.01114,0.00638,0.01423,0.00137,0.00955,0.00969,0.00728,0.00756,0.01463,0.01119,0.01231,0.00393,0.01514,0.01335,0.01378,0.01259,0.01505,0.00585,0.00667,0.0104,0.00906,0.00971
0.01074,0.00693,0.01456,0.001,0.00984,0.01035,0.0073,0.00814,0.01528,0.01078,0.01399,0.00587,0.01583,0.01651,0.01427,0.01358,0.0144,0.00573,0.0072,0.01195,0.0092,0.01182
0.00992,0.00745,0.01409,0.00197,0.0101,0.011,0.00648,0.00808,0.01312,0.00834,0.013,0.00318,0.01263,0.01212,0.01288,0.01184,0.01276,0.00415,0.00638,0.01061,0.00822,0.00899
0.0099,0.00621,0.01126,0.00184,0.00939,0.00781,0.00771,0.00742,0.01294,0.00746,0.0101,0.00327,0.01217,0.00938,0.01169,0.01032,0.0101,0.00436,0.00656,0.00871,0.00892,0.00883
0.01037,0.00618,0.01112,0.00166,0.00992,0.00943,0.00699,0.00714,0.01149,0.00853,0.01049,0.00276,0.0112,0.01121,0.01362,0.0109,0.01209,0.00358,0.0063,0.00894,0.0083,0.00804
0.01051,0.00564,0.01219,0.00168,0.01037,0.00914,0.00605,0.00714,0.01164,0.00945,0.01098,0.00284,0.01119,0.00932,0.01175,0.00934,0.01043,0.00387,0.00675,0.00771,0.0092,0.00677
0.00942,0.00581,0.01131,0.00133,0.0093,0.00918,0.0062,0.00759,0.01422,0.00908,0.01082,0.00317,0.00973,0.00959,0.01166,0.00978,0.01065,0.00401,0.00619,0.00867,0.00746,0.00761
0.00818,0.00722,0.00914,0.0018,0.00803,0.00879,0.00685,0.00748,0.01188,0.00861,0.00883,0.00278,0.01004,0.00935,0.00924,0.01061,0.01002,0.00425,0.0064,0.00875,0.00843,0.00734
0.01244,0.00779,0.01629,0.00153,0.01129,0.01195,0.00804,0.00875,0.01213,0.00922,0.01365,0.00237,0.0159,0.0134,0.01508,0.01402,0.01482,0.00409,0.0071,0.01277,0.00945,0.00982
0.01165,0.00617,0.01402,0.00141,0.01012,0.00961,0.00705,0.00691,0.0125,0.00775,0.01167,0.00268,0.01109,0.0113,0.01308,0.01231,0.01224,0.00399,0.00658,0.01088,0.00834,0.00893
0.0166,0.00716,0.02173,0.00157,0.0115,0.01197,0.00808,0.0091,0.01354,0.00919,0.01522,0.00311,0.01469,0.01285,0.01997,0.01735,0.01817,0.00401,0.00685,0.01682,0.00898,0.01019
0.01216,0.0071,0.01323,0.00182,0.01071,0.01067,0.00877,0.00765,0.01407,0.0106,0.01304,0.00284,0.01128,0.00977,0.01383,0.01189,0.01228,0.00409,0.00628,0.0107,0.00855,0.00857
0.00852,0.00621,0.01118,0.00161,0.00858,0.01008,0.00748,0.00779,0.01116,0.00813,0.0102,0.00321,0.00989,0.00955,0.01102,0.00932,0.0101,0.00374,0.0062,0.00965,0.008,0.00818
0.00967,0.0063,0.01192,0.00211,0.01039,0.01088,0.00718,0.00851,0.01145,0.01023,0.01213,0.00247,0.01045,0.00912,0.01242,0.01178,0.01147,0.00469,0.00681,0.01049,0.00906,0.00621
0.01082,0.00921,0.01514,0.00172,0.02338,0.0111,0.03484,0.0124,0.09334,0.00904,0.01307,0.05473,0.01512,0.0175,0.01364,0.01161,0.01908,0.00405,0.01171,0.01059,0.01986,0.00878
0.00869,0.00662,0.01106,0.00137,0.0088,0.0077,0.00733,0.0069,0.01182,0.00777,0.00874,0.00298,0.00938,0.00876,0.01094,0.01,0.00978,0.0038,0.00641,0.00856,0.00764,0.00734
0.00982,0.00886,0.01037,0.00129,0.00908,0.01043,0.00695,0.00884,0.01299,0.00923,0.00978,0.00307,0.00867,0.00816,0.01143,0.01148,0.01066,0.00468,0.0057,0.00918,0.00714,0.00818
0.00949,0.00728,0.01217,0.00164,0.00918,0.01031,0.00634,0.00875,0.01098,0.00869,0.01121,0.0027,0.01201,0.00923,0.01137,0.01166,0.01199,0.00425,0.00581,0.00996,0.00769,0.00853
0.00939,0.00802,0.00965,0.00184,0.00877,0.00908,0.00784,0.00802,0.01112,0.00937,0.00834,0.00311,0.01188,0.01127,0.01188,0.01282,0.01157,0.00509,0.00653,0.00951,0.00878,0.01021
0.00801,0.00703,0.00906,0.00188,0.00986,0.00922,0.00615,0.00775,0.01258,0.00898,0.00996,0.00426,0.00993,0.00735,0.00944,0.00852,0.00879,0.00413,0.00658,0.00908,0.00758,0.00656
0.01201,0.01373,0.02031,0.06105,0.01324,0.01602,0.03014,0.01369,0.02004,0.03023,0.01197,0.00811,0.01275,0.00967,0.01562,0.01396,0.01344,0.00449,0.00664,0.0176,0.00926,0.01375
0.0102,0.00848,0.01266,0.86346,0.01044,0.01073,0.0084,0.00915,0.01262,0.00842,0.01192,0.00367,0.01112,0.01027,0.01114,0.01091,0.01108,0.00413,0.00702,0.00898,0.0075,0.00844
0.01059,0.00826,0.01602,0.32669,0.01043,0.01168,0.00773,0.00908,0.01206,0.00953,0.01516,0.00294,0.01289,0.01498,0.01338,0.01365,0.01463,0.00425,0.00681,0.01119,0.00781,0.01029
0.00856,0.00777,0.01222,0.04583,0.01178,0.01207,0.01513,0.00892,0.01172,0.01726,0.01222,0.00344,0.01415,0.01067,0.01137,0.01094,0.01186,0.00388,0.0066,0.01012,0.0083,0.0092
0.01363,0.00711,0.02166,0.19884,0.01149,0.00989,0.00978,0.00898,0.01428,0.0099,0.0144,0.0046,0.0118,0.01358,0.0191,0.0202,0.02196,0.00364,0.00693,0.01527,0.00853,0.01172
0.00817,0.00779,0.00914,0.05738,0.00983,0.00805,0.01273,0.00875,0.00891,0.0074,0.00716,0.00253,0.00977,0.00942,0.01109,0.00916,0.01016,0.00446,0.00591,0.00819,0.00689,0.00819
0.01002,0.00755,0.01209,0.00923,0.02066,0.00902,0.03807,0.00838,0.01074,0.00783,0.01019,0.0029,0.00932,0.0123,0.01096,0.00986,0.01074,0.00434,0.00663,0.00947,0.00695,0.00957
