"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
0.00916,0.01205,0.01129,0.05594,0.01186,1.00416,0.04617,0.79352,0.00771,0.07934,0.72012,0.00258,0.00705,0.01447,0.0674,0.01111,0.01033,0.00361,0.0067,0.01148,0.00676,0.02963
0.00738,0.00707,0.00977,0.01161,0.0062,1.07624,0.00429,0.80276,0.00849,0.03406,0.66504,0.00301,0.00523,0.00671,0.069,0.0116,0.00809,0.00237,0.00523,0.00494,0.00572,0.00742
0.00867,0.00927,0.01086,0.025,0.0114,1.12738,0.04604,0.62348,0.00761,0.07825,0.61659,0.00239,0.00696,0.00972,0.07554,0.01217,0.00933,0.00297,0.0061,0.00712,0.00671,0.00925
0.0089,0.01035,0.01065,0.04468,0.00625,1.32279,0.00425,0.98008,0.00847,0.03285,0.91036,0.00225,0.00826,0.00951,0.0687,0.01497,0.0093,0.00282,0.0057,0.00703,0.00658,0.009
0.0072,0.00861,0.00844,0.06714,0.01132,1.90877,0.04598,1.54516,0.00756,0.0785,1.22469,0.00227,0.00627,0.00803,0.06605,0.01735,0.00846,0.00313,0.00546,0.00597,0.00605,0.00978
0.01035,0.01129,0.0116,0.06044,0.00621,2.40486,0.00429,1.32108,0.00841,0.03316,1.11099,0.00252,0.00607,0.00902,0.07009,0.01912,0.00959,0.0034,0.00646,0.00794,0.0062,0.02283
0.01201,0.01623,0.01334,0.06533,0.01142,1.47892,0.04593,1.01256,0.00756,0.07881,1.00422,0.00239,0.01073,0.01699,0.06809,0.01265,0.01344,0.0035,0.01144,0.01478,0.0107,0.0346
0.0103,0.01462,0.01356,0.06925,0.00621,0.9114,0.00441,0.84182,0.00857,0.03295,0.6329,0.00274,0.00715,0.00984,0.0549,0.01586,0.01012,0.00425,0.00741,0.01198,0.00707,0.03304
0.01164,0.0114,0.01288,0.02619,0.01136,0.83696,0.04589,0.67768,0.00744,0.07883,0.73819,0.00348,0.00753,0.01006,0.05989,0.02353,0.011,0.00366,0.01019,0.00911,0.00767,0.02878
0.00856,0.0094,0.00893,0.01107,0.00643,0.7474,0.00448,0.56451,0.00876,0.03353,0.61589,0.00255,0.00767,0.00793,0.08359,0.01315,0.00936,0.00288,0.00959,0.00881,0.0075,0.00941
0.00959,0.01025,0.01215,0.00567,0.01118,0.98535,0.04585,0.67528,0.00744,0.07837,0.70616,0.00364,0.0065,0.00798,0.08141,0.01131,0.01019,0.00325,0.0066,0.00715,0.00576,0.00767
0.00744,0.00783,0.00922,0.01677,0.00641,1.29495,0.00445,0.86398,0.00869,0.0332,0.94825,0.00216,0.00679,0.00834,0.08453,0.01699,0.00857,0.00325,0.00534,0.00515,0.0056,0.0082
