"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
0.03135,0.0265,0.03065,2e-04,0.0356,0.026,0.0769,0.02305,0.07375,0.06265,0.02955,0.00655,0.03385,0.09755,0.03075,0.03355,0.0291,0.00755,0.0313,0.03865,0.0334,0.054
0.03181,0.03078,0.0303,3e-04,0.03483,0.02603,0.07188,0.02247,0.07397,0.06881,0.02545,0.00743,0.03387,0.15334,0.02975,0.04792,0.03915,0.00799,0.02956,0.03964,0.03802,0.07592
0.03741,0.0361,0.038,3e-04,0.03257,0.03253,0.06681,0.03181,0.07252,0.07089,0.04073,0.00939,0.03897,0.11227,0.0347,0.04759,0.03775,0.01059,0.0364,0.043,0.03924,0.06818
0.03799,0.04063,0.04309,2e-04,0.04131,0.03876,0.06793,0.03521,0.06971,0.0702,0.0359,0.0087,0.03924,0.12526,0.03492,0.05364,0.03964,0.00705,0.03808,0.05011,0.0442,0.06954
0.03284,0.034,0.04017,2e-04,0.04436,0.03204,0.07599,0.02703,0.07635,0.06825,0.03968,0.01124,0.0339,0.10528,0.03272,0.04352,0.0376,0.00969,0.02894,0.04465,0.03392,0.0489
0.03056,0.02612,0.02795,1e-04,0.02612,0.02411,0.06183,0.02569,0.07183,0.05574,0.03405,0.00861,0.03822,0.08643,0.02846,0.03687,0.03439,0.0087,0.02519,0.04302,0.03562,0.05879
0.04955,0.04653,0.05774,3e-04,0.04803,0.04322,0.06411,0.03553,0.08006,0.07478,0.05387,0.01284,0.05674,0.11728,0.04024,0.05443,0.04752,0.01059,0.03948,0.05542,0.05918,0.07654
0.03685,0.03313,0.03559,2e-04,0.03774,0.03112,0.07052,0.02973,0.08065,0.06452,0.03197,0.00761,0.04728,0.12284,0.0371,0.04307,0.03744,0.0097,0.0336,0.04533,0.04845,0.06173
0.03748,0.03357,0.03983,3e-04,0.03569,0.03301,0.05625,0.0284,0.0684,0.06637,0.03231,0.00789,0.04419,0.10366,0.03504,0.04887,0.03999,0.0079,0.02797,0.04093,0.04349,0.05701
0.02994,0.02827,0.02875,2e-04,0.03388,0.02537,0.05173,0.02849,0.06954,0.07288,0.03091,0.00804,0.03462,0.10042,0.03198,0.03589,0.03485,0.00884,0.02539,0.0358,0.03632,0.05514
0.03885,0.03859,0.04024,2e-04,0.04372,0.03733,0.07146,0.03404,0.08935,0.08336,0.0435,0.00824,0.04847,0.19,0.04241,0.05783,0.04892,0.00859,0.03733,0.04848,0.04823,0.09273
0.03804,0.03634,0.04385,2e-04,0.03662,0.03924,0.08391,0.03767,0.0805,0.07282,0.04177,0.00764,0.04629,0.1955,0.03871,0.05789,0.04714,0.00734,0.03644,0.04819,0.04829,0.09721
0.03634,0.03538,0.03787,2e-04,0.03993,0.0345,0.06642,0.03229,0.0746,0.06376,0.03771,0.01004,0.04383,0.19173,0.03789,0.05944,0.04749,0.00839,0.03133,0.04544,0.04174,0.07719
0.03203,0.03393,0.03839,1e-04,0.0359,0.03487,0.05868,0.03051,0.09532,0.06402,0.03499,0.0058,0.03802,0.17096,0.03699,0.05015,0.04129,0.00629,0.03076,0.04758,0.03961,0.06699
0.03021,0.03332,0.03244,1e-04,0.03563,0.03457,0.06589,0.0308,0.06938,0.08242,0.04387,0.00733,0.03874,0.1397,0.03238,0.0473,0.03806,0.00923,0.027,0.05044,0.04065,0.06838
0.03185,0.03587,0.03491,3e-04,0.03538,0.02872,0.07763,0.0308,0.0829,0.05481,0.03377,0.00744,0.03844,0.14765,0.03161,0.05024,0.03369,0.0079,0.03224,0.04915,0.04015,0.07479
0.02531,0.02873,0.02682,2e-04,0.02853,0.03239,0.07759,0.02865,0.07461,0.06772,0.03082,0.00569,0.04154,0.16259,0.02946,0.0503,0.03397,0.00839,0.03021,0.03095,0.0391,0.08307
0.03128,0.02889,0.03048,3e-04,0.03879,0.03891,0.07314,0.04029,0.09842,0.07414,0.0409,0.05423,0.03286,0.13691,0.03305,0.0487,0.03912,0.07139,0.02825,0.0569,0.03125,0.07207
0.03821,0.03889,0.0324,1e-04,0.05729,0.05034,0.07152,0.03915,0.08079,0.12732,0.0629,0.04047,0.04946,0.15723,0.03612,0.04859,0.0418,0.01891,0.04569,0.07223,0.04756,0.10141
0.04414,0.04839,0.04416,3e-04,0.05464,0.04285,0.07801,0.0376,0.09145,0.09669,0.05856,0.0255,0.04775,0.15199,0.04453,0.05724,0.04541,0.01284,0.04468,0.07906,0.05489,0.07531
0.03242,0.03744,0.03522,0,0.04402,0.03516,0.06894,0.03894,0.06801,0.08673,0.04399,0.01183,0.04669,0.14071,0.03367,0.05539,0.03808,0.01106,0.03477,0.0607,0.04417,0.07208
0.04251,0.03694,0.04108,2e-04,0.04872,0.03918,0.08564,0.03349,0.06974,0.08058,0.04727,0.00851,0.05373,0.1458,0.04617,0.05878,0.04669,0.00931,0.04997,0.04975,0.05412,0.07846
0.03951,0.04918,0.04306,2e-04,0.05199,0.0488,0.07233,0.03997,0.0825,0.10065,0.04894,0.00904,0.04737,0.14208,0.04453,0.07099,0.05548,0.01115,0.04685,0.0542,0.05582,0.09219
0.0353,0.03655,0.03772,2e-04,0.03471,0.03459,0.08851,0.02895,0.06336,0.07495,0.03389,0.00745,0.04309,0.12281,0.03812,0.0497,0.04458,0.00831,0.03938,0.05837,0.04198,0.07176
0.04218,0.03343,0.03969,1e-04,0.04417,0.03387,0.06859,0.02849,0.06517,0.08267,0.04172,0.01104,0.05112,0.14161,0.04769,0.0524,0.04197,0.00914,0.038,0.04389,0.05416,0.07271
0.04006,0.04212,0.0362,1e-04,0.03672,0.03722,0.07814,0.03829,0.05758,0.08436,0.04286,0.00646,0.05421,0.14091,0.04854,0.05281,0.04691,0.0086,0.04289,0.05732,0.05212,0.08936
0.04645,0.05176,0.05028,1e-04,0.04318,0.05219,0.07334,0.04509,0.07244,0.11277,0.06306,0.01268,0.05152,0.15245,0.04899,0.05311,0.04923,0.01399,0.04731,0.07474,0.04571,0.0894
0.03353,0.03221,0.0335,2e-04,0.04167,0.03346,0.04947,0.03528,0.07576,0.08996,0.04152,0.00966,0.04001,0.13741,0.03304,0.04542,0.0356,0.00752,0.03079,0.05902,0.03683,0.0722
0.02852,0.02671,0.02592,1e-04,0.03531,0.02732,0.07505,0.03478,0.06663,0.07,0.04006,0.00795,0.03895,0.18979,0.03117,0.04698,0.03648,0.00914,0.0365,0.0587,0.03313,0.09081
0.03994,0.03338,0.04013,0,0.04703,0.03559,0.08063,0.03447,0.07578,0.09635,0.04445,0.00839,0.05014,0.1628,0.04931,0.05433,0.03993,0.01045,0.05193,0.07384,0.05317,0.10955
0.0348,0.02952,0.0401,2e-04,0.04119,0.03578,0.0669,0.03327,0.07798,0.08353,0.03977,0.00729,0.0448,0.14791,0.04,0.04877,0.03775,0.00645,0.03376,0.05742,0.04167,0.0798
0.03467,0.02515,0.03715,2e-04,0.04091,0.02983,0.08008,0.02972,0.07414,0.07067,0.04355,0.00639,0.05377,0.16739,0.042,0.04769,0.04449,0.00868,0.03897,0.04304,0.04581,0.0814
