"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
0.11695,0.13825,0.1424,0.04355,18.8348,42.1927,9.04245,19.12815,13.8025,21.39625,44.6768,0.02985,0.10215,0.0819,0.11325,0.10965,0.1035,0.02635,0.04315,0.0453,0.07235,0.06845
0.16693,0.16979,0.18816,0.03947,77.93512,33.52856,43.28291,18.21399,76.66476,15.57553,39.33473,0.0571,0.06626,0.08266,0.11297,0.12765,0.13172,0.01798,0.06982,0.06383,0.07011,0.07374
0.16118,0.13725,0.22709,0.0378,36.21768,71.58089,14.58451,33.82467,23.26637,60.82463,47.16562,0.04604,0.05403,0.06266,0.08871,0.09154,0.10016,0.02439,0.06195,0.05152,0.06625,0.05282
0.18651,0.15364,0.30324,0.03554,19.75539,39.37045,11.64132,20.26487,16.48883,26.69847,27.75968,0.02623,0.07947,0.07741,0.10734,0.11276,0.12925,0.02587,0.06466,0.05511,0.07723,0.06546
0.19873,0.22797,0.30367,0.03033,12.19033,12.7188,6.04661,7.26207,6.69304,7.47199,17.7997,0.05003,0.074,0.08134,0.09759,0.12261,0.1322,0.04578,0.07887,0.06763,0.07699,0.06878
0.18494,0.17389,0.29457,0.0335,15.2552,30.95749,6.42278,17.70976,10.53302,13.41201,30.7024,0.0323,0.09637,0.07831,0.12839,0.09741,0.13021,0.03898,0.05744,0.06074,0.10608,0.05689
0.21132,0.16217,0.28942,0.03057,21.89773,21.50889,9.18166,10.8523,15.42642,12.44426,21.69221,0.18991,0.09358,0.11129,0.12749,0.16059,0.12375,0.02519,0.09259,0.0667,0.07068,0.09743
0.22541,0.26181,0.3197,0.0328,22.31464,30.53729,11.85831,20.71166,16.47163,28.76082,27.38246,0.04195,0.10527,0.09916,0.21789,0.19685,0.22117,0.04033,0.06471,0.08823,0.0916,0.06984
0.13448,0.19896,0.19975,0.02676,37.77582,19.85174,20.11394,10.15296,19.28496,16.9161,31.83961,0.04181,0.06803,0.0844,0.10529,0.13508,0.12951,0.0353,0.06747,0.08064,0.06566,0.05675
0.15687,0.16039,0.1938,0.03323,13.23508,13.54121,6.94417,8.02536,9.47492,7.72788,14.17255,0.02201,0.10039,0.09787,0.15778,0.17643,0.1901,0.02003,0.06049,0.0648,0.08423,0.06848
0.13193,0.2034,0.21727,0.04012,12.63323,22.88376,7.61802,15.14778,9.08932,11.92504,13.15681,0.02886,0.1864,0.31179,0.23469,0.31738,0.2708,0.02485,0.0592,0.07287,0.09712,0.13384
0.14531,0.17837,0.20079,0.0356,15.61442,18.62412,6.82724,10.27109,7.8994,8.68503,18.13218,0.03089,0.09303,0.09466,0.12882,0.17959,0.15035,0.01752,0.05805,0.07731,0.07619,0.07782
0.17078,0.17269,0.20815,0.03123,27.75982,71.67837,14.25279,30.22361,15.1995,35.45358,58.78581,0.04555,0.14847,0.13652,0.29854,0.24335,0.25295,0.04824,0.06749,0.08539,0.11003,0.10319
0.28055,0.19906,0.27954,0.02251,18.2705,17.37914,8.28076,10.95137,10.0352,16.13227,21.47818,0.05318,0.12194,0.09068,0.20924,0.20132,0.23406,0.02369,0.10394,0.09008,0.1042,0.08477
0.142,0.1372,0.17685,0.02531,20.78625,18.42155,10.6635,9.15621,42.61788,72.61011,22.09419,0.03592,0.09916,0.1123,0.15425,0.18636,0.18037,0.01532,0.04917,0.0521,0.08062,0.08032
0.25046,0.21589,0.28208,0.02323,16.06943,14.59366,7.23522,8.39103,10.55509,8.57,18.07897,0.03728,0.25705,0.22971,0.61817,0.38783,0.65925,0.02703,0.05705,0.07521,0.11635,0.13075
0.13115,0.12538,0.17436,0.02547,7.7591,9.65817,3.21543,5.11696,4.98093,5.61015,12.10519,0.02589,0.06994,0.07155,0.10649,0.12069,0.11645,0.02019,0.04719,0.05688,0.05598,0.07055
0.33026,1.02863,0.85412,0.02513,8.53025,17.11674,4.19508,7.58528,8.50215,13.25885,14.33398,0.05793,0.2188,0.50191,0.51968,1.24205,0.93398,0.0432,0.09399,0.19993,0.15063,0.33795
