"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
1.61275,1.48566,1.84951,0.11486,1.19705,1.26014,0.94305,1.02207,1.18633,1.46559,1.73086,1.0375,1.90936,1.27213,1.38623,1.66004,1.61725,0.72713,0.65813,0.56861,0.73605,0.63492
1.39729,1.46407,1.69142,0.12743,0.89525,1.0917,0.63995,0.8003,0.69505,0.98849,1.32803,0.34449,1.31726,1.11352,1.18921,1.56736,1.42035,0.37019,0.6567,0.62715,0.83601,0.84944
1.51716,1.56057,1.39053,0.11263,0.9005,1.35651,0.63148,0.86168,0.66263,0.98381,1.20591,0.34104,1.59986,1.11559,1.4149,1.62093,1.35059,0.32699,0.76966,0.54316,0.89243,0.74291
2.09843,2.40731,2.65434,0.10682,1.93168,2.56611,0.95127,1.28573,1.19075,1.83796,2.1529,0.41217,2.45879,1.4922,2.98149,2.68383,2.85617,0.49271,0.94228,0.91714,1.69852,1.20922
2.23634,2.464,2.8978,0.11939,1.67981,1.85247,1.26846,1.64068,1.46559,1.72531,2.33958,1.03137,3.39191,2.3903,2.41137,2.18302,2.26464,1.09852,1.14063,1.31874,1.66103,1.28133
2.28353,2.24032,3.05304,0.11271,1.55,1.73071,1.09781,0.98324,1.14292,1.48523,2.19324,0.58844,2.01387,1.57574,1.80477,2.74932,2.36872,0.46855,0.85514,0.80138,1.39649,1.16776
2.08364,2.19111,2.71831,0.10463,1.51811,1.60457,0.84873,0.99762,1.09631,1.4338,2.19954,0.41875,2.18958,2.06679,1.89626,3.1133,3.0639,0.45504,0.68171,0.83588,0.74283,1.11855
1.76729,1.39244,1.51578,0.10446,1.12638,1.63716,0.64949,1.17142,0.94972,1.24184,1.71834,0.34982,1.83973,1.54058,2.16888,1.4986,1.70956,0.45872,0.59881,0.66722,0.92225,0.81025
2.05443,1.45637,1.60278,0.09538,0.87107,1.2154,0.58601,0.84711,0.89426,1.19946,1.31834,0.36959,1.74314,1.54289,2.31428,1.68349,2.12553,0.42439,0.53084,0.49863,1.07614,0.72297
1.54895,1.98595,2.02106,0.11509,1.21231,1.49116,0.90327,1.15078,0.9944,1.30305,1.72761,0.41066,2.43655,2.20114,1.84749,3.14296,2.31253,0.52126,1.16633,5.26058,1.65163,1.53643
