"C3","C4","EMG","F3","F4","F7","F8","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
0.01012,0.0091,0.00316,0.00766,0.0093,0.00578,0.00453,0.00586,0.00928,0.00279,0.00818,0.00766,0.00809,0.00854,0.01002,0.00229,0.00588,0.00518,0.00674,0.00654
0.00855,0.00875,0.00317,0.00691,0.00709,0.00525,0.00425,0.00523,0.00826,0.00225,0.0081,0.00839,0.00814,0.00738,0.00924,0.00178,0.00564,0.00501,0.00765,0.00601
0.00904,0.00771,0.00348,0.00734,0.00749,0.00636,0.00509,0.00595,0.00845,0.00254,0.00879,0.00818,0.00806,0.00775,0.00851,0.00207,0.0055,0.00513,0.00673,0.007
0.0082,0.00822,0.00311,0.00662,0.00792,0.00488,0.00528,0.00687,0.0089,0.00204,0.00713,0.00714,0.00834,0.00734,0.00894,0.00192,0.00566,0.00481,0.00665,0.00619
0.01031,0.00812,0.00346,0.00798,0.00699,0.00575,0.00614,0.00642,0.00853,0.00235,0.0099,0.00828,0.00879,0.00841,0.01006,0.00223,0.0062,0.00446,0.00771,0.00747
0.01008,0.01031,0.00356,0.008,0.00751,0.00614,0.00595,0.00591,0.00886,0.00258,0.01111,0.01123,0.01074,0.01045,0.01219,0.00235,0.00663,0.00597,0.00837,0.00843
0.00697,0.00721,0.00309,0.00613,0.0065,0.00558,0.00462,0.00454,0.00679,0.00215,0.00696,0.00655,0.00772,0.00686,0.00797,0.00198,0.00564,0.00534,0.00672,0.00552
0.00871,0.00845,0.00321,0.0073,0.00765,0.00495,0.00481,0.00493,0.0074,0.00237,0.00874,0.00738,0.00919,0.00769,0.00953,0.00178,0.00544,0.00476,0.00738,0.00712
0.00806,0.00775,0.00303,0.00664,0.00656,0.00448,0.0046,0.00454,0.0072,0.00211,0.00584,0.00648,0.00637,0.00658,0.00787,0.00149,0.00513,0.00474,0.00583,0.00517
0.0092,0.00822,0.00331,0.00824,0.0072,0.00565,0.00499,0.00579,0.00787,0.00254,0.00845,0.00945,0.0079,0.00964,0.00923,0.00178,0.00614,0.00458,0.00675,0.00794
