"C3","C4","CZ","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
0.0999,0.02635,0.03505,0.08765,0.0848,0.0663,0.04935,0.05225,0.05255,0.0714,0.01625,0.0277,0.0248,0.02465,0.0275,0.0302,0.0291,0.01895,0.018,0.024,0.0163
0.0948,0.02018,0.02503,0.07419,0.06937,0.05253,0.04275,0.04106,0.04171,0.06056,0.01918,0.02269,0.02132,0.02507,0.02989,0.03555,0.019,0.02729,0.01089,0.02272,0.01583
0.07232,0.02245,0.03083,0.06122,0.05195,0.03006,0.02456,0.02801,0.02681,0.04865,0.12145,0.02281,0.02141,0.03018,0.02705,0.02673,0.03164,0.02954,0.0098,0.02171,0.01388
0.09881,0.02661,0.0352,0.04091,0.02806,0.0309,0.01937,0.02384,0.02298,0.02749,0.01356,0.02406,0.01836,0.0283,0.02979,0.03333,0.01641,0.0252,0.01265,0.02126,0.01562
0.07404,0.02913,0.03633,0.0558,0.03669,0.0308,0.019,0.02742,0.02266,0.04119,0.00822,0.02042,0.01999,0.03154,0.02535,0.02797,0.01633,0.02703,0.01186,0.02151,0.01478
0.08177,0.03495,0.04378,0.06803,0.06558,0.0323,0.03259,0.03219,0.03511,0.06411,0.00914,0.02375,0.0216,0.03091,0.02558,0.02769,0.01663,0.02109,0.01491,0.02551,0.01622
0.09531,0.04412,0.04827,0.04529,0.03818,0.02396,0.01781,0.01886,0.01933,0.03437,0.0133,0.02377,0.02636,0.03615,0.02583,0.02994,0.01813,0.02456,0.01872,0.02663,0.02033
0.08938,0.04042,0.05029,0.08868,0.05694,0.04072,0.02319,0.04339,0.0348,0.06647,0.01122,0.02482,0.02258,0.03853,0.02918,0.0393,0.01534,0.02032,0.01769,0.03083,0.01495
0.05925,0.02595,0.035,0.05474,0.04178,0.0337,0.01812,0.02752,0.02192,0.04163,0.00931,0.02937,0.02576,0.03424,0.03475,0.03245,0.01723,0.01725,0.01414,0.0282,0.01782
0.0716,0.02463,0.03073,0.17127,0.17356,0.06687,0.07199,0.07259,0.08076,0.16191,0.01325,0.0291,0.02418,0.02617,0.02617,0.03081,0.02389,0.02469,0.01252,0.02164,0.01794
0.09891,0.02827,0.03875,0.09961,0.06877,0.05153,0.03606,0.04786,0.046,0.07191,0.01087,0.0262,0.02542,0.02803,0.03493,0.03645,0.01742,0.02502,0.01201,0.02101,0.01729
0.08734,0.03974,0.04529,0.0404,0.02639,0.02631,0.01308,0.02429,0.01608,0.02631,0.00905,0.01873,0.01808,0.03869,0.02452,0.02803,0.01449,0.02803,0.01451,0.02741,0.01464
